"dci"	"dcirenommer"	"relation"	"code"	"substances"	"validation"
"AMPRENAVIR"		"same"	"85581"	"AMPRÉNAVIR"	"automatique"
"AMSACRINE"		"same"	"16948"	"AMSACRINE"	"automatique"
"ANAGRELIDE"		"same"	"69478"	"ANAGRÉLIDE"	"automatique"
"ANAGRELIDE"		"hasform"	"45102"	"ANAGRÉLIDE (CHLORHYDRATE D') MONOHYDRATÉ"	"semiautomatique"
"ANAKINRA"		"same"	"65595"	"ANAKINRA "	"automatique"
"ANDROSTANOLONE"		"same"	"50"	"ANDROSTANOLONE"	"automatique"
"APIXABAN"		"same"	"61321"	"APIXABAN"	"automatique"
"APOMORPHINE"		"hasform"	"52"	"CHLORHYDRATE D'APOMORPHINE"	"semiautomatique"
"APOMORPHINE"		"same"	"26824"	"APOMORPHINE BASE"	"semiautomatique"
"APREPITANT"		"same"	"84452"	"APRÉPITANT"	"automatique"
"ARGATROBAN"		"hasform"	"61676"	"ARGATROBAN MONOHYDRATÉ"	"semiautomatique"
"ARIPIPRAZOLE"		"same"	"96835"	"ARIPIPRAZOLE"	"automatique"
"ARSENIEUX"		"hasform"	"6247"	"ARSÉNIEUX (ANHYDRIDE)"	"semiautomatique"
"ARSENIEUX"		"hasform"	"6247"	"TRIOXYDE D'ARSENIC"	"semiautomatique"
"ARTENIMOL"		"same"	"84578"	"ARTÉNIMOL"	"automatique"
"ASENAPINE"		"same"	"32069"	"ASÉNAPINE"	"automatique"
"ASENAPINE"		"hasform"	"44594"	"MALÉATE D'ASÉNAPINE"	"semiautomatique"
"ASENAPINE"		"hasform"	"44594"	"ASÉNAPINE (MALÉATE D')"	"semiautomatique"
"ASPARAGINASE"		"same"	"57"	"ASPARAGINASE"	"automatique"
"ATALUREN"		"same"	"26023"	"ATALUREN"	"automatique"
"ATAZANAVIR"		"same"	"27570"	"ATAZANAVIR"	"automatique"
"ATAZANAVIR"		"hasform"	"87658"	"SULFATE D'ATAZANAVIR"	"semiautomatique"
"ATAZANAVIR"		"hasform"	"87658"	"ATAZANAVIR (SULFATE D')"	"semiautomatique"
"ATENOLOL"		"same"	"762"	"ATÉNOLOL"	"automatique"
"ATOMOXETINE"		"same"	"70797"	"ATOMOXÉTINE"	"automatique"
"ATOMOXETINE"		"hasform"	"81442"	"ATOMOXÉTINE (CHLORHYDRATE D')"	"semiautomatique"
"ATOMOXETINE"		"hasform"	"81442"	"CHLORHYDRATE D'ATOMOXÉTINE"	"semiautomatique"
"ATORVASTATINE"		"same"	"19809"	"ATORVASTATINE"	"automatique"
"ATORVASTATINE"		"hasform"	"56688"	"ATORVASTATINE MAGNÉSIUM TRIHYDRATÉ"	"semiautomatique"
"ATORVASTATINE"		"hasform"	"50091"	"ATORVASTATINE CALCIQUE"	"semiautomatique"
"ATORVASTATINE"		"hasform"	"50091"	"ATORVASTATINE CALCIQUE ANHYDRE"	"semiautomatique"
"ATORVASTATINE"		"hasform"	"82615"	"ATORVASTATINE CALCIQUE HÉMIHYDRATÉE"	"semiautomatique"
"ATORVASTATINE"		"hasform"	"92464"	"ATORVASTATINE CALCIQUE TRIHYDRATÉE"	"semiautomatique"
"ATOVAQUONE"		"same"	"3009"	"ATOVAQUONE"	"automatique"
"ATRACURIUM"		"same"	"34378"	"ATRACURIUM"	"automatique"
"ATRACURIUM"		"hasform"	"6492"	"ATRACURIUM (BÉSILATE D')"	"semiautomatique"
"ATRACURIUM"		"hasform"	"6492"	"BÉSILATE D'ATRACURIUM"	"semiautomatique"
"ATROPINE"		"same"	"10321"	"ATROPINE"	"automatique"
"ATROPINE"		"hasform"	"3753"	"CHLORHYDRATE D'ATROPINE OXYDE"	"semiautomatique"
"ATROPINE"		"hasform"	"4150"	"SULFATE D'ATROPINE"	"semiautomatique"
"ATROPINE"		"hasform"	"4150"	"ATROPINE (SULFATE D')"	"semiautomatique"
"ATROPINE"		"hasform"	"58336"	"ATROPINE N-OXYDE BASE"	"semiautomatique"
"AVANAFIL"		"same"	"92375"	"AVANAFIL"	"automatique"
"AVIZAFONE"		"hasform"	"28231"	"CHLORHYDRATE D'AVIZAFONE"	"semiautomatique"
"AXITINIB"		"same"	"46333"	"AXITINIB"	"automatique"
"AZACITIDINE"		"same"	"88044"	"AZACITIDINE"	"automatique"
"AZATHIOPRINE"		"same"	"1200"	"AZATHIOPRINE"	"automatique"
"AZELASTINE"		"same"	"75817"	"AZÉLASTINE"	"automatique"
"AZELASTINE"		"hasform"	"25329"	"CHLORHYDRATE D'AZÉLASTINE"	"semiautomatique"
"AZELASTINE"		"hasform"	"25329"	"AZÉLASTINE (CHLORHYDRATE D')"	"semiautomatique"
"AZILSARTAN"		"hasform"	"96646"	"AZILSARTAN MÉDOXOMIL"	"semiautomatique"
"AZILSARTAN"		"hasform"	"69332"	"AZILSARTAN MÉDOXOMIL POTASSIQUE"	"semiautomatique"
"AZITHROMYCINE"		"same"	"96035"	"AZITHROMYCINE ANHYDRE"	"automatique"
"AZITHROMYCINE"		"same"	"96035"	"AZITHROMYCINE"	"automatique"
"AZITHROMYCINE"		"hasform"	"43303"	"AZITHROMYCINE MONOHYDRATÉE"	"semiautomatique"
"AZITHROMYCINE"		"hasform"	"48539"	"AZITHROMYCINE DIHYDRATÉE"	"semiautomatique"
"AZTREONAM"		"same"	"79481"	"AZTRÉONAM"	"automatique"
"AZTREONAM"		"hasform"	"65045"	"AZTRÉONAM DE LYSINE"	"semiautomatique"
"BACAMPICILLINE"		"hasform"	"954"	"BACAMPICILLINE (CHLORHYDRATE DE)"	"semiautomatique"
"BACLOFENE"		"same"	"812"	"BACLOFÈNE"	"automatique"
"BAMBUTEROL"		"hasform"	"50858"	"CHLORHYDRATE DE BAMBUTÉROL"	"semiautomatique"
"BARNIDIPINE"		"same"	"32805"	"BARNIDIPINE BASE"	"semiautomatique"
"BARNIDIPINE"		"hasform"	"38879"	"CHLORHYDRATE DE BARNIDIPINE"	"semiautomatique"
"BCG"		"same"	"3181"	"VACCIN BCG CRYODESSÉCHÉ"	"semiautomatique"
"BCG"		"hasform"	"21658"	"BCG ATTÉNUÉ - SOUCHE CONNAUGHT "	"semiautomatique"
"BCG"		"hasform"	"82142"	"BCG (BACILLES DE CALMETTE-GUÉRIN), MYCOBACTÉRIUM BOVIS, SOUCHE DANOISE 1331, VIVANTE ATTÉNUÉE"	"semiautomatique"
"BEFUNOLOL"		"hasform"	"7862"	"BÉFUNOLOL (CHLORHYDRATE DE)"	"semiautomatique"
"BENAZEPRIL"		"hasform"	"14049"	"BÉNAZÉPRIL (CHLORHYDRATE DE)"	"semiautomatique"
"BENAZEPRIL"		"hasform"	"14049"	"CHLORHYDRATE DE BÉNAZÉPRIL"	"semiautomatique"
"BENDAMUSTINE"		"hasform"	"94401"	"CHLORHYDRATE DE BENDAMUSTINE"	"semiautomatique"
"BENDAMUSTINE"		"hasform"	"94401"	"BENDAMUSTINE (CHLORHYDRATE DE)"	"semiautomatique"
"BENDROFLUMETHIAZIDE"		"same"	"1215"	"BENDROFLUMÉTHIAZIDE"	"automatique"
"BENETHAMINE-PENICILLINE"		"same"	"443"	"BÉNÉTHAMINE PÉNICILLINE"	"automatique"
"BENZALKONIUM"		"hasform"	"4771"	"CHLORURE DE BENZALKONIUM"	"semiautomatique"
"BENZALKONIUM"		"hasform"	"4771"	"BENZALKONIUM (CHLORURE DE)"	"semiautomatique"
"BENZALKONIUM"		"hasform"	"24735"	"SOLUTION DE CHLORURE DE BENZALKONIUM"	"semiautomatique"
"BENZALKONIUM"		"hasform"	"24735"	"BENZALKONIUM (CHLORURE DE), SOLUTION DE"	"semiautomatique"
"BENZALKONIUM"		"hasform"	"4766"	"BROMURE DE BENZALKONIUM"	"semiautomatique"
"BENZBROMARONE"		"same"	"150"	"BENZBROMARONE"	"automatique"
"BENZOCAINE"		"same"	"1810"	"BENZOCAÏNE"	"automatique"
"BENZOCAINE"		"same"	"1810"	"ÉTHOFORME"	"automatique"
"BENZYLPENICILLINE"		"hasform"	"5033"	"BENZATHINE BENZYLPÉNICILLINE"	"semiautomatique"
"BENZYLPENICILLINE"		"hasform"	"4478"	"BENZYLPÉNICILLINE PROCAÏNE"	"semiautomatique"
"BENZYLPENICILLINE"		"hasform"	"5331"	"BENZYLPÉNICILLINE SODIQUE"	"semiautomatique"
"BENZYLPENICILLINE"		"hasform"	"5332"	"BENZYLPÉNICILLINE POTASSIQUE"	"semiautomatique"
"BEPRIDIL"		"same"	"34533"	"BEPRIDIL BASE"	"semiautomatique"
"BEPRIDIL"		"hasform"	"29384"	"CHLORHYDRATE DE BÉPRIDIL MONOHYDRATÉ"	"semiautomatique"
"BETAMETHASONE"		"same"	"1261"	"BÉTAMÉTHASONE"	"automatique"
"BETAMETHASONE"		"hasform"	"445"	"ACÉTATE DE BÉTAMÉTHASONE"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4509"	"BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4509"	"BÉTAMÉTHASONE (PHOSPHATE SODIQUE DE)"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4509"	"PHOSPHATE DISODIQUE DE BÉTAMÉTHASONE"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4184"	"VALÉRATE DE BÉTAMÉTHASONE"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4184"	"BÉTAMÉTHASONE (VALÉRATE DE)"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4509"	"BÉTAMÉTHASONE (PHOSPHATE DISODIQUE DE)"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4730"	"DIPROPIONATE DE BÉTAMÉTHASONE"	"semiautomatique"
"BETAMETHASONE"		"hasform"	"4730"	"BÉTAMÉTHASONE (DIPROPIONATE DE)"	"semiautomatique"
"BETA-PINENE"		"same"	"22617"	"BÊTA-PINÈNE"	"automatique"
"BETAXOLOL"		"same"	"36349"	"BÉTAXOLOL BASE"	"semiautomatique"
"BETAXOLOL"		"hasform"	"22466"	"BÉTAXOLOL (CHLORHYDRATE DE)"	"semiautomatique"
"BETAXOLOL"		"hasform"	"22466"	"CHLORHYDRATE DE BÉTAXOLOL"	"semiautomatique"
"BEZAFIBRATE"		"same"	"10803"	"BÉZAFIBRATE"	"automatique"
"BIPERIDENE"		"hasform"	"1274"	"CHLORHYDRATE DE BIPÉRIDÈNE"	"semiautomatique"
"BISACODYL"		"same"	"73"	"BISACODYL"	"automatique"
"BISOPROLOL"		"same"	"97658"	"BISOPROLOL"	"automatique"
"BISOPROLOL"		"hasform"	"7436"	"FUMARATE DE BISOPROLOL"	"semiautomatique"
"BISOPROLOL"		"hasform"	"7436"	"HÉMIFUMARATE DE BISOPROLOL"	"semiautomatique"
"BISOPROLOL"		"hasform"	"7436"	"BISOPROLOL (FUMARATE ACIDE DE)"	"semiautomatique"
"BISOPROLOL"		"hasform"	"7436"	"BISOPROLOL (FUMARATE DE)"	"semiautomatique"
"BISOPROLOL"		"hasform"	"7436"	"BISOPROLOL (HÉMIFUMARATE DE)"	"semiautomatique"
"BLEOMYCINE"		"same"	"55004"	"BLÉOMYCINE"	"automatique"
"BLEOMYCINE"		"hasform"	"2952"	"SULFATE DE BLÉOMYCINE"	"semiautomatique"
"BLEU DE METHYLENE"		"same"	"1281"	"BLEU DE MÉTHYLÈNE"	"automatique"
"BLEU DE METHYLENE"		"same"	"1281"	"CHLORURE DE MÉTHYLTHIONINIUM"	"automatique"
"BLEU DE METHYLENE"		"same"	"1281"	"BLEU DE MÉTHYLÈNE OFFICINAL"	"automatique"
"BOCEPREVIR"		"same"	"67851"	"BOCÉPRÉVIR"	"automatique"
"BOLDO"		"same"	"132"	"BOLDO (FEUILLE DE)"	"automatique"
"BOLDO"		"same"	"132"	"FEUILLE DE BOLDO"	"automatique"
"BOLDO"		"same"	"132"	"BOLDO"	"automatique"
"BOLDO"		"hasform"	"11422"	"BOLDO (EXTRAIT DE) MOU"	"semiautomatique"
"BOLDO"		"hasform"	"39881"	"BOLDO (EXTRAIT SEC DE)"	"semiautomatique"
"BOLDO"		"hasform"	"3131"	"BOLDO (TEINTURE DE)"	"semiautomatique"
"BOLDO"		"hasform"	"39881"	"BOLDO (FEUILLE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"BOLDO"		"hasform"	"8234"	"BOLDO POUR PRÉPARATIONS HOMÉOPATHIQUES"	"semiautomatique"
"BOLDO"		"hasform"	"8234"	"BOLDO (PEUMUS BOLDUS) "	"semiautomatique"
"BOLDO"		"hasform"	"98233"	"BOLDO (EXTRAIT DE) (FLUIDE)"	"semiautomatique"
"BOLDO"		"hasform"	"98233"	"BOLDO (FEUILLE DE) (EXTRAIT FLUIDE DE)"	"semiautomatique"
"BOLDO"		"hasform"	"97193"	"BOLDO (FEUILLE DE) (POUDRE DE)"	"semiautomatique"
"BORTEZOMIB"		"same"	"98525"	"BORTÉZOMIB"	"automatique"
"BOSENTAN"		"same"	"39357"	"BOSENTAN"	"automatique"
"BOSENTAN"		"same"	"39357"	"BOSENTAN BASE"	"automatique"
"BOSENTAN"		"hasform"	"74217"	"BOSENTAN MONOHYDRATÉ"	"semiautomatique"
"BOSUTINIB"		"same"	"36680"	"BOSUTINIB"	"automatique"
"BOSUTINIB"		"hasform"	"87288"	"BOSUTINIB MONOHYDRATÉ"	"semiautomatique"
"BOURDAINE"		"same"	"134"	"BOURDAINE (ÉCORCE DE)"	"automatique"
"BOURDAINE"		"same"	"134"	"BOURDAINE"	"automatique"
"BOURDAINE"		"hasform"	"39511"	"EXTRAIT SEC D'ÉCORCE DE BOURDAINE"	"semiautomatique"
"BOURDAINE"		"hasform"	"3998"	"BOURDAINE (ECORCE DE) (POUDRE D')"	"semiautomatique"
"BOURDAINE"		"hasform"	"3998"	"POUDRE D'ECORCE DE BOURDAINE"	"semiautomatique"
"BOURDAINE"		"hasform"	"42955"	"BOURDAINE (RACINE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"BOURDAINE"		"hasform"	"49951"	"BOURDAINE (ECORCE DE) (EXTRAIT FLUIDE D')"	"semiautomatique"
"BOURDAINE"		"hasform"	"59605"	"BOURDAINE (ECORCE DE) (EXTRAIT MOU D')"	"semiautomatique"
"BROMAZEPAM"		"same"	"907"	"BROMAZÉPAM"	"automatique"
"BROMOCRIPTINE"		"same"	"92297"	"BROMOCRIPTINE BASE"	"semiautomatique"
"BROMOCRIPTINE"		"hasform"	"328"	"MÉSILATE DE BROMOCRIPTINE"	"semiautomatique"
"BROMOCRIPTINE"		"hasform"	"328"	"BROMOCRIPTINE (MÉSILATE DE)"	"semiautomatique"
"BROMPHENIRAMINE"		"hasform"	"3178"	"MALÉATE DE BROMPHÉNIRAMINE"	"semiautomatique"
"BROMPHENIRAMINE"		"hasform"	"3178"	"BROMPHÉNIRAMINE (MALÉATE DE)"	"semiautomatique"
"BROTIZOLAM"		"same"	"11498"	"BROTIZOLAM"	"automatique"
"BUCLIZINE"		"hasform"	"1307"	"CHLORHYDRATE DE BUCLIZINE"	"semiautomatique"
"BUDESONIDE"		"same"	"24381"	"BUDÉSONIDE"	"automatique"
"BUFLOMEDIL"		"hasform"	"3620"	"BUFLOMÉDIL (CHLORHYDRATE DE)"	"semiautomatique"
"BUFLOMEDIL"		"hasform"	"3620"	"CHLORHYDRATE DE BUFLOMÉDIL"	"semiautomatique"
"BUMETANIDE"		"same"	"569"	"BUMÉTANIDE"	"automatique"
"BUPRENORPHINE"		"same"	"54459"	"BUPRÉNORPHINE"	"automatique"
"BUPRENORPHINE"		"hasform"	"21888"	"BUPRÉNORPHINE (CHLORHYDRATE DE)"	"semiautomatique"
"BUPRENORPHINE"		"hasform"	"21888"	"CHLORHYDRATE DE BUPRÉNORPHINE"	"semiautomatique"
"BUPROPION"	"bupropione"	"hasform"	"17194"	"CHLORHYDRATE DE BUPROPIONE"	"manuelle"
"BUPROPIONE"		"hasform"	"17194"	"CHLORHYDRATE DE BUPROPIONE"	"semiautomatique"
"BUSPIRONE"		"hasform"	"1354"	"CHLORHYDRATE DE BUSPIRONE"	"semiautomatique"
"BUSPIRONE"		"hasform"	"1354"	"BUSPIRONE (CHLORHYDRATE DE)"	"semiautomatique"
"BUSULFAN"		"same"	"1317"	"BUSULFAN"	"automatique"
"BUTOBARBITAL"		"same"	"1330"	"BUTOBARBITAL"	"automatique"
"CABAZITAXEL"		"same"	"97952"	"CABAZITAXEL"	"automatique"
"CABERGOLINE"		"same"	"32131"	"CABERGOLINE"	"automatique"
"CABOZANTINIB"		"same"	"97435"	"CABOZANTINIB"	"automatique"
"CABOZANTINIB"		"same"	"98546"	"CABOZANTINIB "	"semiautomatique"
"CABOZANTINIB"		"same"	"98546"	"(S)-MALATE DE CABOZANTINIB"	"semiautomatique"
"CABOZANTINIB"		"hasform"	"98546"	"CABOZANTINIB "	"semiautomatique"
"CABOZANTINIB"		"hasform"	"98546"	"(S)-MALATE DE CABOZANTINIB"	"semiautomatique"
"CAFEDRINE"		"hasform"	"3418"	"CAFÉDRINE (CHLORHYDRATE DE)"	"semiautomatique"
"CAFEINE"		"same"	"420"	"CAFÉINE"	"automatique"
"CAFEINE"		"hasform"	"3093"	"CAFÉINE MONOHYDRATÉE"	"semiautomatique"
"CAFEINE"		"hasform"	"4196"	"CAFÉINE (CITRATE DE)"	"semiautomatique"
"CAJEPUT"		"same"	"776"	"CAJEPUT (HUILE ESSENTIELLE DE)"	"semiautomatique"
"CALCITONINE"		"hasform"	"359"	"CALCITONINE DE SAUMON SYNTHÉTIQUE"	"semiautomatique"
"CALCITONINE"		"hasform"	"359"	"CALCITONINE DE SAUMON"	"semiautomatique"
"CALCITONINE"		"hasform"	"359"	"SALCATONINE"	"semiautomatique"
"CALCITONINE"		"hasform"	"359"	"CALCITONINE SALMINE SYNTHÉTIQUE"	"semiautomatique"
"CALCITONINE"		"hasform"	"28321"	"CALCITONINE HUMAINE SYNTHÉTIQUE"	"semiautomatique"
"CALCITRIOL"		"same"	"8112"	"CALCITRIOL"	"automatique"
"CALCIUM"		"same"	"72723"	"CALCIUM ÉLÉMENT"	"semiautomatique"
"CALCIUM"		"hasform"	"3767"	"CALCIUM (GLUCOHEPTOGLUCONATE DE)"	"semiautomatique"
"CALCIUM"		"hasform"	"430"	"CALCIUM (CHLORURE DE) DIHYDRATÉ"	"semiautomatique"
"CALCIUM"		"hasform"	"5394"	"CALCIUM (PANTOTHÉNATE DE)"	"semiautomatique"
"CALCIUM"		"hasform"	"5394"	"PANTOTHÉNATE DE CALCIUM"	"semiautomatique"
"CALCIUM"		"hasform"	"428"	"CARBONATE DE CALCIUM"	"semiautomatique"
"CALCIUM"		"hasform"	"428"	"CALCIUM (CARBONATE DE)"	"semiautomatique"
"CALCIUM"		"hasform"	"430"	"CHLORURE DE CALCIUM"	"semiautomatique"
"CALCIUM"		"hasform"	"430"	"CHLORURE DE CALCIUM DIHYDRATÉ"	"semiautomatique"
"CALCIUM"		"hasform"	"430"	"CALCIUM (CHLORURE DE)"	"semiautomatique"
"CALCIUM"		"hasform"	"76079"	"CALCIUM (LÉVOFOLINATE DE)"	"semiautomatique"
"CALCIUM"		"hasform"	"76079"	"LEVOFOLINATE CALCIQUE"	"semiautomatique"
"CALCIUM"		"hasform"	"76079"	"LÉVOFOLINATE DE CALCIUM"	"semiautomatique"
"CAMPHRE"		"same"	"436"	"CAMPHRE RACÉMIQUE"	"automatique"
"CAMPHRE"		"same"	"436"	"CAMPHRE"	"automatique"
"CAMPHRE"		"same"	"436"	"CAMPHRE SYNTHÉTIQUE"	"automatique"
"CAMPHRE"		"hasform"	"15095"	"D-CAMPHRE"	"semiautomatique"
"CANDESARTAN CILEXETIL"		"same"	"73594"	"CANDÉSARTAN CILEXÉTIL"	"automatique"
"CANRENOATE DE POTASSIUM"		"same"	"3102"	"CANRÉNOATE DE POTASSIUM"	"automatique"
"CAPECITABINE"		"same"	"91877"	"CAPÉCITABINE"	"automatique"
"CAPTODIAME"		"hasform"	"437"	"CAPTODIAME (CHLORHYDRATE DE)"	"semiautomatique"
"CAPTOPRIL"		"same"	"21053"	"CAPTOPRIL"	"automatique"
"CARBAMAZEPINE"		"same"	"1351"	"CARBAMAZÉPINE"	"automatique"
"CARBINOXAMINE"		"hasform"	"3205"	"CARBINOXAMINE (MALÉATE DE)"	"semiautomatique"
"CARBINOXAMINE"		"hasform"	"3205"	"MALÉATE DE CARBINOXAMINE"	"semiautomatique"
"CARBOPLATINE"		"same"	"5865"	"CARBOPLATINE"	"automatique"
"CARBUTAMIDE"		"same"	"1988"	"CARBUTAMIDE"	"automatique"
"CARMUSTINE"		"same"	"8011"	"CARMUSTINE"	"automatique"
"CARPIPRAMINE"		"same"	"24316"	"CARPIPRAMINE BASE"	"semiautomatique"
"CARPIPRAMINE"		"hasform"	"403"	"CARPIPRAMINE (DICHLORHYDRATE DE)"	"semiautomatique"
"CARTEOLOL"		"same"	"96827"	"CARTEOLOL BASE"	"semiautomatique"
"CARTEOLOL"		"hasform"	"18380"	"CHLORHYDRATE DE CARTÉOLOL"	"semiautomatique"
"CARTEOLOL"		"hasform"	"18380"	"CARTÉOLOL (CHLORHYDRATE DE)"	"semiautomatique"
"CARVEDILOL"		"same"	"27222"	"CARVÉDILOL"	"automatique"
"CASCARA"		"same"	"16514"	"CASCARA"	"automatique"
"CASCARA"		"hasform"	"49212"	"CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"CASCARA"		"hasform"	"49212"	"CASCARA (EXTRAIT SEC DE)"	"semiautomatique"
"CASCARA"		"hasform"	"4500"	"CASCARA (ECORCE DE) (POUDRE D')"	"semiautomatique"
"CASCARA"		"hasform"	"53707"	"CASCARA (RACINE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"CASCARA SAGRADA"		"same"	"9146"	"CASCARA SAGRADA POUR PRÉPARATIONS HOMÉOPATHIQUES"	"semiautomatique"
"CASCARA SAGRADA"		"hasform"	"49212"	"CASCARA (EXTRAIT SEC DE)"	"semiautomatique"
"CASCARA SAGRADA"		"hasform"	"53707"	"CASCARA (RACINE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"CASCARA SAGRADA"		"hasform"	"4500"	"CASCARA (ECORCE DE) (POUDRE D')"	"semiautomatique"
"CASCARA SAGRADA"		"hasform"	"49212"	"CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)"	"semiautomatique"
"CATIORESINE SULFO SODIQUE"	"sodium (polystyrene sulfonate de)"	"same"	"6379"	"SODIUM (POLYSTYRÈNE SULFONATE DE)"	"manuelle"
"CEFALOTINE"		"same"	"63303"	"CÉFALOTINE"	"automatique"
"CEFALOTINE"		"hasform"	"503"	"CÉFALOTINE SODIQUE"	"semiautomatique"
"CEFAMANDOLE"		"same"	"73366"	"CÉFAMANDOLE BASE"	"semiautomatique"
"CEFAMANDOLE"		"hasform"	"837"	"CÉFAMANDOLE (FORMIATE SODIQUE DE)"	"semiautomatique"
"CEFAMANDOLE"		"hasform"	"837"	"CÉFAMANDOLE (NAFATE DE)"	"semiautomatique"
"CEFOPERAZONE"		"same"	"62399"	"CÉFOPÉRAZONE"	"automatique"
"CEFOPERAZONE"		"hasform"	"28107"	"CÉFOPÉRAZONE SODIQUE"	"semiautomatique"
"CEFOTETAN"		"same"	"98532"	"CÉFOTÉTAN"	"automatique"
"CEFOTETAN"		"hasform"	"21156"	"CEFOTETAN SODIQUE"	"semiautomatique"
"CEFTRIAXONE"		"same"	"35232"	"CEFTRIAXONE BASE"	"automatique"
"CEFTRIAXONE"		"same"	"35232"	"CEFTRIAXONE"	"automatique"
"CEFTRIAXONE"		"hasform"	"19091"	"CEFTRIAXONE SODIQUE ANHYDRE"	"semiautomatique"
"CEFTRIAXONE"		"hasform"	"30925"	"CEFTRIAXONE DISODIQUE HÉMIHEPTAHYDRATÉ"	"semiautomatique"
"CEFTRIAXONE"		"hasform"	"30925"	"CEFTRIAXONE DISODIQUE"	"semiautomatique"
"CEFTRIAXONE"		"hasform"	"30925"	"CEFTRIAXONE SODIQUE"	"semiautomatique"
"CELECOXIB"		"same"	"63854"	"CÉLÉCOXIB"	"automatique"
"CELIPROLOL"		"same"	"78429"	"CÉLIPROLOL"	"automatique"
"CELIPROLOL"		"hasform"	"7958"	"CHLORHYDRATE DE CÉLIPROLOL"	"semiautomatique"
"CELIPROLOL"		"hasform"	"7958"	"CÉLIPROLOL (CHLORHYDRATE DE)"	"semiautomatique"
"CERTOLIZUMAB"		"hasform"	"77804"	"CERTOLIZUMAB PÉGOL "	"semiautomatique"
"CERTOLUZUMAB"	"CERTOLIZUMAB"	"hasform"	"77804"	"CERTOLIZUMAB PÉGOL "	"manuelle"
"CETALKONIUM"		"hasform"	"22114"	"CHLORURE DE CÉTALKONIUM"	"semiautomatique"
"CHARBON"	"CHARBON"	"hasform"	"4204"	"CHARBON ACTIVÉ"	"manuelle"
"CHARBON ACTIVE"		"same"	"4204"	"CHARBON ACTIVÉ"	"automatique"
"CHARBON VEGETAL OFFICINAL"		"same"	"447"	"CHARBON VÉGÉTAL OFFICINAL"	"automatique"
"CHLORAMBUCIL"		"same"	"1393"	"CHLORAMBUCIL"	"automatique"
"CHLORDIAZEPOXIDE"		"same"	"1400"	"CHLORDIAZÉPOXIDE"	"automatique"
"CHLORMADINONE"		"hasform"	"2245"	"CHLORMADINONE (ACÉTATE DE)"	"semiautomatique"
"CHLORMADINONE"		"hasform"	"2245"	"ACÉTATE DE CHLORMADINONE"	"semiautomatique"
"CHLORMETHINE"		"hasform"	"5290"	"CHLORHYDRATE DE CHLORMÉTHINE"	"semiautomatique"
"CHLOROQUINE"		"same"	"21497"	"CHLOROQUINE"	"automatique"
"CHLOROQUINE"		"hasform"	"4133"	"SULFATE DE CHLOROQUINE"	"semiautomatique"
"CHLOROQUINE"		"hasform"	"4133"	"CHLOROQUINE (SULFATE DE)"	"semiautomatique"
"CHLOROQUINE"		"hasform"	"3779"	"PHOSPHATE DE CHLOROQUINE"	"semiautomatique"
"CHLORPHENAMINE"		"hasform"	"3193"	"CHLORPHÉNAMINE (MALÉATE DE)"	"semiautomatique"
"CHLORPHENAMINE"		"hasform"	"3193"	"MALÉATE DE CHLORPHÉNAMINE"	"semiautomatique"
"CHLORPHENAMINE"		"hasform"	"3193"	"CHLORPHÉNIRAMINE (MALÉATE DE)"	"semiautomatique"
"CHLORPHENOXAMINE"		"hasform"	"1426"	"CHLORHYDRATE DE CHLORPHENOXAMINE"	"semiautomatique"
"CHLORPROETHAZINE"		"hasform"	"74046"	"CHLORHYDRATE DE CHLORPROÉTHAZINE"	"semiautomatique"
"CHLORPROMAZINE"		"same"	"1430"	"CHLORPROMAZINE"	"automatique"
"CHLORPROMAZINE"		"hasform"	"489"	"CHLORPROMAZINE (CHLORHYDRATE DE)"	"semiautomatique"
"CHLORPROPAMIDE"		"same"	"1431"	"CHLORPROPAMIDE"	"automatique"
"CHLORTALIDONE"		"same"	"1434"	"CHLORTALIDONE"	"automatique"
"CHLORTETRACYCLINE"		"hasform"	"3188"	"CHLORHYDRATE DE CHLORTÉTRACYCLINE"	"semiautomatique"
"CHOLECALCIFEROL"		"same"	"1525"	"VITAMINE D3"	"automatique"
"CHOLECALCIFEROL"		"same"	"1525"	"COLÉCALCIFÉROL"	"automatique"
"CHOLECALCIFEROL"		"same"	"1525"	"CHOLÉCALCIFÉROL"	"automatique"
"CHOLECALCIFEROL"		"hasform"	"50260"	"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME HYDRODISPERSIBLE"	"semiautomatique"
"CHOLECALCIFEROL"		"hasform"	"63291"	"CONCENTRAT DE CHOLECALCIFEROL, FORME HUILEUSE"	"semiautomatique"
