dci	dcirenommer	relation	code	substances	validation		
AMILORIDE			96013	CHLORHYDRATE D'AMILORIDE ANHYDRE	semiautomatique		
AMIODARONE			5386	AMIODARONE (CHLORHYDRATE D')	semiautomatique		
AMIODARONE			5386	CHLORHYDRATE D'AMIODARONE	semiautomatique		
AMITRIPTYLINE			788	CHLORHYDRATE D'AMITRIPTYLINE	semiautomatique		
AMITRIPTYLINE			788	AMITRIPTYLINE (CHLORHYDRATE D')	semiautomatique		
AMLODIPINE			93748	AMLODIPINE (BÉSILATE D')	semiautomatique		
AMLODIPINE			93748	BÉSILATE D'AMLODIPINE	semiautomatique		
AMOXICILLINE			28165	AMOXICILLINE TRIHYDRATÉE	semiautomatique		
AMOXICILLINE			872	AMOXICILLINE SODIQUE	semiautomatique		
AMPHOTERICINE B			2331	RIBOFLAVINE	semiautomatique		
AMPHOTERICINE B			1823	VITAMINE B1	semiautomatique		
AMPHOTERICINE B			1823	THIAMINE (CHLORHYDRATE DE)	semiautomatique		
AMPHOTERICINE B			1823	CHLORHYDRATE DE THIAMINE	semiautomatique		
AMPHOTERICINE B			2284	VITAMINE B6	semiautomatique		
AMPHOTERICINE B			2284	PYRIDOXINE	semiautomatique		
AMPHOTERICINE B			2331	DIMÉTHYL-7,8 (D-RIBITYL-1')-10 3H,10H-BENZO[G]PTERIDINEDIONE-2,4	semiautomatique		
AMPHOTERICINE B			2331	VITAMINE B2	semiautomatique		
AMPHOTERICINE B			3434	POLYMYXINE B (SULFATE DE)	semiautomatique		
AMPHOTERICINE B			3434	SULFATE DE POLYMYXINE B	semiautomatique		
AMPHOTERICINE B			4113	VITAMINE B5	semiautomatique		
AMPHOTERICINE B			4113	ACIDE PANTOTHÉNIQUE	semiautomatique		
AMPHOTERICINE B			4113	PANTOTHÉNIQUE (ACIDE)	semiautomatique		
AMPICILLINE			3155	AMPICILLINE TRIHYDRATÉE	semiautomatique		
AMPICILLINE			3158	AMPICILLINE SODIQUE	semiautomatique		
AMPICILLINE			84525	AMPICILLINE BASE	semiautomatique		
AMPICILLINE			84525	AMPICILLINE ANHYDRE	semiautomatique		
AMPICILLINE			84525	AMPICILLINE BASE	semiautomatique		
AMPICILLINE			84525	AMPICILLINE ANHYDRE	semiautomatique		
ANAGRELIDE			45102	ANAGRÉLIDE (CHLORHYDRATE D') MONOHYDRATÉ	semiautomatique		
APOMORPHINE			52	CHLORHYDRATE D'APOMORPHINE	semiautomatique		
APOMORPHINE			26824	APOMORPHINE BASE	semiautomatique		
ARGATROBAN			61676	ARGATROBAN MONOHYDRATÉ	semiautomatique		
ARSENIEUX			6247	ARSÉNIEUX (ANHYDRIDE)	semiautomatique		
ARSENIEUX			6247	TRIOXYDE D'ARSENIC	semiautomatique		
ASENAPINE			44594	MALÉATE D'ASÉNAPINE	semiautomatique		
ASENAPINE			44594	ASÉNAPINE (MALÉATE D')	semiautomatique		
ATAZANAVIR			87658	SULFATE D'ATAZANAVIR	semiautomatique		
ATAZANAVIR			87658	ATAZANAVIR (SULFATE D')	semiautomatique		
ATOMOXETINE			81442	ATOMOXÉTINE (CHLORHYDRATE D')	semiautomatique		
ATOMOXETINE			81442	CHLORHYDRATE D'ATOMOXÉTINE	semiautomatique		
ATORVASTATINE			56688	ATORVASTATINE MAGNÉSIUM TRIHYDRATÉ	semiautomatique		
ATORVASTATINE			50091	ATORVASTATINE CALCIQUE	semiautomatique		
ATORVASTATINE			50091	ATORVASTATINE CALCIQUE ANHYDRE	semiautomatique		
ATORVASTATINE			82615	ATORVASTATINE CALCIQUE HÉMIHYDRATÉE	semiautomatique		
ATORVASTATINE			92464	ATORVASTATINE CALCIQUE TRIHYDRATÉE	semiautomatique		
ATRACURIUM			6492	ATRACURIUM (BÉSILATE D')	semiautomatique		
ATRACURIUM			6492	BÉSILATE D'ATRACURIUM	semiautomatique		
ATROPINE			3753	CHLORHYDRATE D'ATROPINE OXYDE	semiautomatique		
ATROPINE			4150	SULFATE D'ATROPINE	semiautomatique		
ATROPINE			4150	ATROPINE (SULFATE D')	semiautomatique		
ATROPINE			58336	ATROPINE N-OXYDE BASE	semiautomatique		
AVIZAFONE			28231	CHLORHYDRATE D'AVIZAFONE	semiautomatique		
AZELASTINE			25329	CHLORHYDRATE D'AZÉLASTINE	semiautomatique		
AZELASTINE			25329	AZÉLASTINE (CHLORHYDRATE D')	semiautomatique		
AZILSARTAN			96646	AZILSARTAN MÉDOXOMIL	semiautomatique		
AZILSARTAN			69332	AZILSARTAN MÉDOXOMIL POTASSIQUE	semiautomatique		
AZITHROMYCINE			43303	AZITHROMYCINE MONOHYDRATÉE	semiautomatique		
AZITHROMYCINE			48539	AZITHROMYCINE DIHYDRATÉE	semiautomatique		
AZTREONAM			65045	AZTRÉONAM DE LYSINE	semiautomatique		
BACAMPICILLINE			954	BACAMPICILLINE (CHLORHYDRATE DE)	semiautomatique		
BAMBUTEROL			50858	CHLORHYDRATE DE BAMBUTÉROL	semiautomatique		
BARNIDIPINE			32805	BARNIDIPINE BASE	semiautomatique		
BARNIDIPINE			38879	CHLORHYDRATE DE BARNIDIPINE	semiautomatique		
BCG			3181	VACCIN BCG CRYODESSÉCHÉ	semiautomatique		
BCG			21658	BCG ATTÉNUÉ - SOUCHE CONNAUGHT 	semiautomatique		
BCG			82142	BCG (BACILLES DE CALMETTE-GUÉRIN), MYCOBACTÉRIUM BOVIS, SOUCHE DANOISE 1331, VIVANTE ATTÉNUÉE	semiautomatique		
BEFUNOLOL			7862	BÉFUNOLOL (CHLORHYDRATE DE)	semiautomatique		
BENAZEPRIL			14049	BÉNAZÉPRIL (CHLORHYDRATE DE)	semiautomatique		
BENAZEPRIL			14049	CHLORHYDRATE DE BÉNAZÉPRIL	semiautomatique		
BENDAMUSTINE			94401	CHLORHYDRATE DE BENDAMUSTINE	semiautomatique		
BENDAMUSTINE			94401	BENDAMUSTINE (CHLORHYDRATE DE)	semiautomatique		
BENZALKONIUM			4771	CHLORURE DE BENZALKONIUM	semiautomatique		
BENZALKONIUM			4771	BENZALKONIUM (CHLORURE DE)	semiautomatique		
BENZALKONIUM			24735	SOLUTION DE CHLORURE DE BENZALKONIUM	semiautomatique		
BENZALKONIUM			24735	BENZALKONIUM (CHLORURE DE), SOLUTION DE	semiautomatique		
BENZALKONIUM			4766	BROMURE DE BENZALKONIUM	semiautomatique		
BENZYLPENICILLINE			5033	BENZATHINE BENZYLPÉNICILLINE	semiautomatique		
BENZYLPENICILLINE			4478	BENZYLPÉNICILLINE PROCAÏNE	semiautomatique		
BENZYLPENICILLINE			5331	BENZYLPÉNICILLINE SODIQUE	semiautomatique		
BENZYLPENICILLINE			5332	BENZYLPÉNICILLINE POTASSIQUE	semiautomatique		
BEPRIDIL			34533	BEPRIDIL BASE	semiautomatique		
BEPRIDIL			29384	CHLORHYDRATE DE BÉPRIDIL MONOHYDRATÉ	semiautomatique		
BETAMETHASONE			445	ACÉTATE DE BÉTAMÉTHASONE	semiautomatique		
BETAMETHASONE			4509	BÉTAMETHASONE (PHOSPHATE DE) ET DE DISODIUM	semiautomatique		
BETAMETHASONE			4509	BÉTAMÉTHASONE (PHOSPHATE SODIQUE DE)	semiautomatique		
BETAMETHASONE			4509	PHOSPHATE DISODIQUE DE BÉTAMÉTHASONE	semiautomatique		
BETAMETHASONE			4184	VALÉRATE DE BÉTAMÉTHASONE	semiautomatique		
BETAMETHASONE			4184	BÉTAMÉTHASONE (VALÉRATE DE)	semiautomatique		
BETAMETHASONE			4509	BÉTAMÉTHASONE (PHOSPHATE DISODIQUE DE)	semiautomatique		
BETAMETHASONE			4730	DIPROPIONATE DE BÉTAMÉTHASONE	semiautomatique		
BETAMETHASONE			4730	BÉTAMÉTHASONE (DIPROPIONATE DE)	semiautomatique		
BETA-PINENE			29076	MÉTHOXY POLYÉTHYLÈNE GLYCOL-ÉPOÉTINE BÊTA 	semiautomatique		
BETA-PINENE			16860	ÉPOÉTINE BÊTA 	semiautomatique		
BETA-PINENE			39318	FOLLITROPINE BÊTA 	semiautomatique		
BETA-PINENE			40067	AGALSIDASE BÊTA 	semiautomatique		
BETA-PINENE			63229	PÉGINTERFÉRON BÊTA-1A 	semiautomatique		
BETA-PINENE			37634	INTERFÉRON BÊTA-1B	semiautomatique		
BETA-PINENE			47102	INTERFÉRON BÊTA-1A 	semiautomatique		
BETA-PINENE			54247	ESCINE BÊTA	semiautomatique		
BETAXOLOL			36349	BÉTAXOLOL BASE	semiautomatique		
BETAXOLOL			22466	BÉTAXOLOL (CHLORHYDRATE DE)	semiautomatique		
BETAXOLOL			22466	CHLORHYDRATE DE BÉTAXOLOL	semiautomatique		
BIPERIDENE			1274	CHLORHYDRATE DE BIPÉRIDÈNE	semiautomatique		
BISOPROLOL			7436	FUMARATE DE BISOPROLOL	semiautomatique		
BISOPROLOL			7436	HÉMIFUMARATE DE BISOPROLOL	semiautomatique		
BISOPROLOL			7436	BISOPROLOL (FUMARATE ACIDE DE)	semiautomatique		
BISOPROLOL			7436	BISOPROLOL (FUMARATE DE)	semiautomatique		
BISOPROLOL			7436	BISOPROLOL (HÉMIFUMARATE DE)	semiautomatique		
BLEOMYCINE			2952	SULFATE DE BLÉOMYCINE	semiautomatique		
BLEU DE METHYLENE			33959	CHLORHEXIDINE (DIGLUCONATE DE), SOLUTION DE	semiautomatique		
BLEU DE METHYLENE			27327	BADIANE DE CHINE (FRUIT DE) (POUDRE DE)	semiautomatique		
BLEU DE METHYLENE			3174	BLEU TRYPAN	semiautomatique		
BLEU DE METHYLENE			33959	DIGLUCONATE DE CHLORHEXIDINE, SOLUTION DE	semiautomatique		
BLEU DE METHYLENE			33959	SOLUTION DE DIGLUCONATE DE CHLORHEXIDINE	semiautomatique		
BLEU DE METHYLENE			66251	HAMAMELIS DE VIRGINIE (FEUILLE DE) (EXTRAIT DE)	semiautomatique		
BLEU DE METHYLENE			72162	BADIANE DE CHINE (FRUIT DE) (TEINTURE DE)	semiautomatique		
BLEU DE METHYLENE			5009	SODIUM (LACTATE DE), SOLUTION DE	semiautomatique		
BLEU DE METHYLENE			5009	SODIUM (LACTATE DE), SOLUTION CONCENTRÉE DE	semiautomatique		
BLEU DE METHYLENE			5009	LACTATE DE SODIUM, SOLUTION DE	semiautomatique		
BLEU DE METHYLENE			97193	BOLDO (FEUILLE DE) (POUDRE DE)	semiautomatique		
BOLDO			11422	BOLDO (EXTRAIT DE) MOU	semiautomatique		
BOLDO			39881	BOLDO (EXTRAIT SEC DE)	semiautomatique		
BOLDO			3131	BOLDO (TEINTURE DE)	semiautomatique		
BOLDO			39881	BOLDO (FEUILLE DE) (EXTRAIT SEC DE)	semiautomatique		
BOLDO			8234	BOLDO POUR PRÉPARATIONS HOMÉOPATHIQUES	semiautomatique		
BOLDO			8234	BOLDO (PEUMUS BOLDUS) 	semiautomatique		
BOLDO			98233	BOLDO (EXTRAIT DE) (FLUIDE)	semiautomatique		
BOLDO			98233	BOLDO (FEUILLE DE) (EXTRAIT FLUIDE DE)	semiautomatique		
BOLDO			97193	BOLDO (FEUILLE DE) (POUDRE DE)	semiautomatique		
BOSENTAN			74217	BOSENTAN MONOHYDRATÉ	semiautomatique		
BOSUTINIB			87288	BOSUTINIB MONOHYDRATÉ	semiautomatique		
BOTULIQUE (TOXINE)			62942	BOTULIQUE (TOXINE) TYPE B 	semiautomatique		
BOTULIQUE (TOXINE)			20052	TOXINE BOTULINIQUE TYPE A 	semiautomatique		
BOTULIQUE (TOXINE)			23835	SOUS UNITÉ B DE LA TOXINE CHOLÉRIQUE RECOMBINANTE 	semiautomatique		
BOURDAINE			39511	EXTRAIT SEC D'ÉCORCE DE BOURDAINE	semiautomatique		
BOURDAINE			3998	BOURDAINE (ECORCE DE) (POUDRE D')	semiautomatique		
BOURDAINE			3998	POUDRE D'ECORCE DE BOURDAINE	semiautomatique		
BOURDAINE			42955	BOURDAINE (RACINE DE) (EXTRAIT SEC DE)	semiautomatique		
BOURDAINE			49951	BOURDAINE (ECORCE DE) (EXTRAIT FLUIDE D')	semiautomatique		
BOURDAINE			59605	BOURDAINE (ECORCE DE) (EXTRAIT MOU D')	semiautomatique		
BROMOCRIPTINE			92297	BROMOCRIPTINE BASE	semiautomatique		
BROMOCRIPTINE			328	MÉSILATE DE BROMOCRIPTINE	semiautomatique		
BROMOCRIPTINE			328	BROMOCRIPTINE (MÉSILATE DE)	semiautomatique		
BROMPHENIRAMINE			3178	MALÉATE DE BROMPHÉNIRAMINE	semiautomatique		
BROMPHENIRAMINE			3178	BROMPHÉNIRAMINE (MALÉATE DE)	semiautomatique		
BUCLIZINE			1307	CHLORHYDRATE DE BUCLIZINE	semiautomatique		
BUFLOMEDIL			3620	BUFLOMÉDIL (CHLORHYDRATE DE)	semiautomatique		
BUFLOMEDIL			3620	CHLORHYDRATE DE BUFLOMÉDIL	semiautomatique		
BUPRENORPHINE			21888	BUPRÉNORPHINE (CHLORHYDRATE DE)	semiautomatique		
BUPRENORPHINE			21888	CHLORHYDRATE DE BUPRÉNORPHINE	semiautomatique		
BUPROPION	bupropione		17194	CHLORHYDRATE DE BUPROPIONE	manuelle		
BUPROPIONE			17194	CHLORHYDRATE DE BUPROPIONE	semiautomatique		
BUSPIRONE			1354	CHLORHYDRATE DE BUSPIRONE	semiautomatique		
BUSPIRONE			1354	BUSPIRONE (CHLORHYDRATE DE)	semiautomatique		
CABOZANTINIB			98546	CABOZANTINIB 	semiautomatique		
CABOZANTINIB			98546	(S)-MALATE DE CABOZANTINIB	semiautomatique		
CABOZANTINIB			98546	CABOZANTINIB 	semiautomatique		
CABOZANTINIB			98546	(S)-MALATE DE CABOZANTINIB	semiautomatique		
CAFEDRINE			3418	CAFÉDRINE (CHLORHYDRATE DE)	semiautomatique		
CAFEINE			3093	CAFÉINE MONOHYDRATÉE	semiautomatique		
CAFEINE			4196	CAFÉINE (CITRATE DE)	semiautomatique		
CAJEPUT			776	CAJEPUT (HUILE ESSENTIELLE DE)	semiautomatique		
CALCITONINE			359	CALCITONINE DE SAUMON SYNTHÉTIQUE	semiautomatique		
CALCITONINE			359	CALCITONINE DE SAUMON	semiautomatique		
CALCITONINE			359	SALCATONINE	semiautomatique		
CALCITONINE			359	CALCITONINE SALMINE SYNTHÉTIQUE	semiautomatique		
CALCITONINE			28321	CALCITONINE HUMAINE SYNTHÉTIQUE	semiautomatique		
CALCIUM			72723	CALCIUM ÉLÉMENT	semiautomatique		
CALCIUM			3767	CALCIUM (GLUCOHEPTOGLUCONATE DE)	semiautomatique		
CALCIUM			430	CALCIUM (CHLORURE DE) DIHYDRATÉ	semiautomatique		
CALCIUM			5394	CALCIUM (PANTOTHÉNATE DE)	semiautomatique		
CALCIUM			5394	PANTOTHÉNATE DE CALCIUM	semiautomatique		
CALCIUM			428	CARBONATE DE CALCIUM	semiautomatique		
CALCIUM			428	CALCIUM (CARBONATE DE)	semiautomatique		
CALCIUM			430	CHLORURE DE CALCIUM	semiautomatique		
CALCIUM			430	CHLORURE DE CALCIUM DIHYDRATÉ	semiautomatique		
CALCIUM			430	CALCIUM (CHLORURE DE)	semiautomatique		
CALCIUM			64768	FÉNOPROFÈNE CALCIUM	semiautomatique		
CALCIUM			76079	CALCIUM (LÉVOFOLINATE DE)	semiautomatique		
CALCIUM			76079	LEVOFOLINATE CALCIQUE	semiautomatique		
CALCIUM			76079	LÉVOFOLINATE DE CALCIUM	semiautomatique		
CALCIUM			88669	CALCIUM POLYCARBOPHILE	semiautomatique		
CAMPHRE			15095	D-CAMPHRE	semiautomatique		
CANRENOATE DE POTASSIUM			10427	POTASSIUM (PERRHÉNATE DE)	semiautomatique		
CANRENOATE DE POTASSIUM			2905	GAÏACOLSULFONATE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			2905	SULFOGAÏACOL	semiautomatique		
CANRENOATE DE POTASSIUM			29442	CLAVULANATE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			29442	POTASSIUM (CLAVULANATE DE)	semiautomatique		
CANRENOATE DE POTASSIUM			29442	CLAVULANATE POTASSIQUE	semiautomatique		
CANRENOATE DE POTASSIUM			93	POTASSIUM (CHLORURE DE)	semiautomatique		
CANRENOATE DE POTASSIUM			95	IODURE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			95	POTASSIUM (IODURE DE)	semiautomatique		
CANRENOATE DE POTASSIUM			93	CHLORURE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			65539	GLYCEROPHOSPHATE DE POTASSIUM ANHYDRE	semiautomatique		
CANRENOATE DE POTASSIUM			96	HYDROXYDE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			97	PERMANGANATE DE POTASSIUM	semiautomatique		
CANRENOATE DE POTASSIUM			96	POTASSIUM (HYDROXYDE DE)	semiautomatique		
CAPTODIAME			437	CAPTODIAME (CHLORHYDRATE DE)	semiautomatique		
CARBINOXAMINE			3205	CARBINOXAMINE (MALÉATE DE)	semiautomatique		
CARBINOXAMINE			3205	MALÉATE DE CARBINOXAMINE	semiautomatique		
CARPIPRAMINE			24316	CARPIPRAMINE BASE	semiautomatique		
CARPIPRAMINE			403	CARPIPRAMINE (DICHLORHYDRATE DE)	semiautomatique		
CARTEOLOL			96827	CARTEOLOL BASE	semiautomatique		
CARTEOLOL			18380	CHLORHYDRATE DE CARTÉOLOL	semiautomatique		
CARTEOLOL			18380	CARTÉOLOL (CHLORHYDRATE DE)	semiautomatique		
CASCARA			49212	CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)	semiautomatique		
CASCARA			49212	CASCARA (EXTRAIT SEC DE)	semiautomatique		
CASCARA			4500	CASCARA (ECORCE DE) (POUDRE D')	semiautomatique		
CASCARA			53707	CASCARA (RACINE DE) (EXTRAIT SEC DE)	semiautomatique		
CASCARA SAGRADA			9146	CASCARA SAGRADA POUR PRÉPARATIONS HOMÉOPATHIQUES	semiautomatique		
CASCARA SAGRADA			49212	CASCARA (EXTRAIT SEC DE)	semiautomatique		
CASCARA SAGRADA			53707	CASCARA (RACINE DE) (EXTRAIT SEC DE)	semiautomatique		
CASCARA SAGRADA			4500	CASCARA (ECORCE DE) (POUDRE D')	semiautomatique		
CASCARA SAGRADA			49212	CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)	semiautomatique		
CASCARA SAGRADA			49212	CASCARA (ÉCORCE DE) (EXTRAIT SEC DE)	semiautomatique		
CASCARA SAGRADA			49212	CASCARA (EXTRAIT SEC DE)	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		6379	SODIUM (POLYSTYRÈNE SULFONATE DE)	manuelle		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		3048	PHÉNYLBUTYRATE DE SODIUM	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		3048	SODIUM (PHÉNYLBUTYRATE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		2845	CATIORESINE SULFONATE DE PHENYLTOLOXAMINE	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		5558	TÉTRADÉCYL SULFATE DE SODIUM	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		32947	SODIUM (CITICOLINE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		473	SODIUM (CROMOGLICATE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE	sodium (polystyrene sulfonate de)		473	CROMOGLICATE DE SODIUM	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	NICOTINE POLACRILEX	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	NICOTINE (RÉSINATE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	NICOTINE (CATIORÉSINE CARBOXYLATE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE			2489	NORAMIDOPYRINE MÉTHANESULFONATE SODIQUE	semiautomatique		
CATIORESINE SULFO SODIQUE			2489	MÉTAMIZOLE SODIQUE	semiautomatique		
CATIORESINE SULFO SODIQUE			3595	CATIORÉSINE CARBOXYLATE DE PROMÉTHAZINE	semiautomatique		
CATIORESINE SULFO SODIQUE			2845	CATIORESINE SULFONATE DE PHENYLTOLOXAMINE	semiautomatique		
CATIORESINE SULFO SODIQUE			872	AMOXICILLINE SODIQUE	semiautomatique		
CATIORESINE SULFO SODIQUE			3087	SULFORUTOSIDE SODIQUE	semiautomatique		
CATIORESINE SULFO SODIQUE			3087	SODIUM (RUTINESULFATE DE)	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	NICOTINE (COMPLEXE AVEC LA POLACRILINE)	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	RÉSINATE DE NICOTINE	semiautomatique		
CATIORESINE SULFO SODIQUE			30981	CATIORÉSINE CARBOXYLATE DE NICOTINE	semiautomatique		
CATIORESINE SULFO SODIQUE			3202	CATIORÉSINE CARBOXYLATE DE NOSCAPINE	semiautomatique		
CATIORESINE SULFO SODIQUE			86162	MONTÉLUKAST SODIQUE	semiautomatique		
CEFALOTINE			503	CÉFALOTINE SODIQUE	semiautomatique		
CEFAMANDOLE			73366	CÉFAMANDOLE BASE	semiautomatique		
CEFAMANDOLE			837	CÉFAMANDOLE (FORMIATE SODIQUE DE)	semiautomatique		
CEFAMANDOLE			837	CÉFAMANDOLE (NAFATE DE)	semiautomatique		
CEFOPERAZONE			28107	CÉFOPÉRAZONE SODIQUE	semiautomatique		
CEFOTETAN			21156	CEFOTETAN SODIQUE	semiautomatique		
CEFTRIAXONE			19091	CEFTRIAXONE SODIQUE ANHYDRE	semiautomatique		
CEFTRIAXONE			30925	CEFTRIAXONE DISODIQUE HÉMIHEPTAHYDRATÉ	semiautomatique		
CEFTRIAXONE			30925	CEFTRIAXONE DISODIQUE	semiautomatique		
CEFTRIAXONE			30925	CEFTRIAXONE SODIQUE	semiautomatique		
CELIPROLOL			7958	CHLORHYDRATE DE CÉLIPROLOL	semiautomatique		
CELIPROLOL			7958	CÉLIPROLOL (CHLORHYDRATE DE)	semiautomatique		
CERTOLIZUMAB			77804	CERTOLIZUMAB PÉGOL 	semiautomatique		
CERTOLUZUMAB	CERTOLIZUMAB		77804	CERTOLIZUMAB PÉGOL 	manuelle		
CETALKONIUM			22114	CHLORURE DE CÉTALKONIUM	semiautomatique		
CHARBON ACTIVE			3308	FACTEUR VII ACTIVE DE COAGULATION HUMAIN 	semiautomatique		
CHARBON ACTIVE			71869	EPTACOG ALFA (ACTIVÉ) 	semiautomatique		
CHARBON VEGETAL OFFICINAL			21575	SCOLOPENDRE OFFICINAL POUR PRÉPARATIONS HOMÉOPATHIQUES	semiautomatique		
CHARBON VEGETAL OFFICINAL			26030	AMMONIUM (CARBONATE D') OFFICINAL	semiautomatique		
CHARBON VEGETAL OFFICINAL			3165	ACIDE TANNIQUE	semiautomatique		
CHARBON VEGETAL OFFICINAL			3165	TANIN OFFICINAL	semiautomatique		
CHARBON VEGETAL OFFICINAL			40182	CHIENDENT OFFICINAL	semiautomatique		
CHARBON VEGETAL OFFICINAL			4307	FORMALDEHYDE (SOLUTE OFFICINAL DE)	semiautomatique		
CHARBON VEGETAL OFFICINAL			4307	SOLUTION DE FORMALDÉHYDE À 35 POUR CENT	semiautomatique		
CHARBON VEGETAL OFFICINAL			4615	IODE (SOLUTE ALCOOLIQUE D') OFFICINAL	semiautomatique		
CHARBON VEGETAL OFFICINAL			7430	SULFATE DE SODIUM OFFICINAL	semiautomatique		
CHARBON VEGETAL OFFICINAL			7430	SODIUM (SULFATE DE) DÉCAHYDRATÉ	semiautomatique		
CHLORMADINONE			2245	CHLORMADINONE (ACÉTATE DE)	semiautomatique		
CHLORMADINONE			2245	ACÉTATE DE CHLORMADINONE	semiautomatique		
CHLORMETHINE			5290	CHLORHYDRATE DE CHLORMÉTHINE	semiautomatique		
CHLOROQUINE			4133	SULFATE DE CHLOROQUINE	semiautomatique		
CHLOROQUINE			4133	CHLOROQUINE (SULFATE DE)	semiautomatique		
CHLOROQUINE			3779	PHOSPHATE DE CHLOROQUINE	semiautomatique		
CHLORPHENAMINE			3193	CHLORPHÉNAMINE (MALÉATE DE)	semiautomatique		
CHLORPHENAMINE			3193	MALÉATE DE CHLORPHÉNAMINE	semiautomatique		
CHLORPHENAMINE			3193	CHLORPHÉNIRAMINE (MALÉATE DE)	semiautomatique		
CHLORPHENOXAMINE			1426	CHLORHYDRATE DE CHLORPHENOXAMINE	semiautomatique		
CHLORPROETHAZINE			74046	CHLORHYDRATE DE CHLORPROÉTHAZINE	semiautomatique		
CHLORPROMAZINE			489	CHLORPROMAZINE (CHLORHYDRATE DE)	semiautomatique		
CHLORTETRACYCLINE			3188	CHLORHYDRATE DE CHLORTÉTRACYCLINE	semiautomatique		
CHOLECALCIFEROL			50260	CONCENTRAT DE CHOLÉCALCIFÉROL, FORME HYDRODISPERSIBLE	semiautomatique		
CHOLECALCIFEROL			63291	CONCENTRAT DE CHOLECALCIFEROL, FORME HUILEUSE	semiautomatique		
CHOLECALCIFEROL			85054	CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE	semiautomatique		
CHOLECALCIFEROL			85054	CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE	semiautomatique		
CIBENZOLINE			27705	SUCCINATE DE CIBENZOLINE	semiautomatique		
CIBENZOLINE			27705	CIBENZOLINE (SUCCINATE DE)	semiautomatique		
CICLETANINE			7289	CHLORHYDRATE DE CICLÉTANINE	semiautomatique		
CICLETANINE			7289	CICLÉTANINE (CHLORHYDRATE DE)	semiautomatique		
CICLOPIROX			30911	CICLOPIROX OLAMINE	semiautomatique		
CIDOFOVIR			51900	CIDOFOVIR ANHYDRE	semiautomatique		
CIDOFOVIR			72714	CIDOFOVIR DIHYDRATÉ	semiautomatique		
CILAZAPRIL			15755	CILAZAPRIL MONOHYDRATÉ	semiautomatique		
CIMETIDINE			5543	CHLORHYDRATE DE CIMÉTIDINE	semiautomatique		
CIMETIDINE			5543	CIMÉTIDINE (CHLORHYDRATE DE)	semiautomatique		
CINACALCET			97362	CINACALCET (CHLORHYDRATE DE)	semiautomatique		
CINACALCET			97362	CHLORHYDRATE DE CINACALCET	semiautomatique		
CIPROFLOXACINE			65381	SULFATE DE CIPROFLOXACINE	semiautomatique		
CIPROFLOXACINE			79482	CIPROFLOXACINE (CHLORHYDRATE DE) MONOHYDRATÉ	semiautomatique		
CIPROFLOXACINE			76382	LACTATE DE CIPROFLOXACINE	semiautomatique		
CIPROFLOXACINE			79482	CIPROFLOXACINE (CHLORHYDRATE DE)	semiautomatique		
CIPROFLOXACINE			79482	CHLORHYDRATE DE CIPROFLOXACINE	semiautomatique		
CISAPRIDE			7846	CISAPRIDE MONOHYDRATÉ	semiautomatique		
CISAPRIDE			7846	CISAPRIDE (MONOHYDRATE DE)	semiautomatique		
CISAPRIDE			7846	MONOHYDRATE DE CISAPRIDE	semiautomatique		
CISAPRIDE			15205	CISAPRIDE ANHYDRE	semiautomatique		
CISATRACURIUM			62835	BÉSILATE DE CISATRACURIUM	semiautomatique		
CITALOPRAM			29250	BROMHYDRATE DE CITALOPRAM	semiautomatique		
CITALOPRAM			29250	CITALOPRAM (BROMHYDRATE DE)	semiautomatique		
CITALOPRAM			54506	CHLORHYDRATE DE CITALOPRAM	semiautomatique		
CITRATE DE GALLIUM [67GA]			44025	CITRATE DE GALLIUM [67GA]	semiautomatique		
CLIDINIUM			912	CLIDINIUM (BROMURE DE)	semiautomatique		
CLINDAMYCINE			2963	CHLORHYDRATE DE CLINDAMYCINE	semiautomatique		
CLINDAMYCINE			917	PHOSPHATE DE CLINDAMYCINE	semiautomatique		
