"CUI"	"synonymes"
"C0014695"	"vitamin d2 (ergocalciferol) (medication)"
"C0014695"	"vitamins ergocalciferol"
"C0014710"	"ergotamine"
"C0014710"	"ergotaman-3',6',18-trione, 12'-hydroxy-2'-methyl-5'-(phenylmethyl)-, (5'alpha)-"
"C0014710"	"ergotamine (product)"
"C0014710"	"ergotamine (substance)"
"C0014710"	"ergotamine [chemical/ingredient]"
"C0014710"	"ergotamine product"
"C0014710"	"ergotamine product (product)"
"C0014710"	"ergotamine product (substance)"
"C0014710"	"ergotamines"
"C0014710"	"ergotamines (medication)"
"C1135135"	"erlotinib"
"C1135135"	"erlotinib (product)"
"C1135135"	"erlotinib (substance)"
"C1135135"	"n-(3-ethynylphenyl)-6,7-bis(2-methoxyethoxy)quinazolin-4-amine"
"C1135135"	"erlotinib (medication)"
"C1120106"	"(4r,5r,6s)-3-((3s,5s)-5-((3-carboxyphenyl)carbamoyl)pyrrolidin-3-yl)sulfanyl-6-(1-hydroxyethyl)-4-methyl-7-oxo-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid"
"C1120106"	"ertapenem"
"C1120106"	"ertapenem (product)"
"C1120106"	"ertapenem (substance)"
"C1120106"	"ertapenem [chemical/ingredient]"
"C1099456"	"(s)-citalopram"
"C1099456"	"escitalopram"
"C1099456"	"escitalopram (product)"
"C1099456"	"escitalopram (substance)"
"C1099456"	"s(+)-citalopram"
"C0116569"	"esmolol"
"C0116569"	"esmolol (product)"
"C0116569"	"esmolol (substance)"
"C0116569"	"beta blockers esmolol"
"C0116569"	"esmolol (medication)"
"C0116569"	"esmolol [chemical/ingredient]"
"C0937846"	"esomeprazole"
"C0937846"	"esomeprazole (product)"
"C0937846"	"esomeprazole (substance)"
"C0937846"	"esomeprazole [chemical/ingredient]"
"C0937846"	"esomeprazole (medication)"
"C0014892"	"4h-(1,2,4)triazolo(4,3-a)(1,4)benzodiazepine, 8-chloro-6-phenyl-"
"C0014892"	"8-chloro-6-phenyl-4h-(1,2,4)triazolo-(4,3-a)(1,4)benzodiazepine"
"C0014892"	"estazolam"
"C0014892"	"estazolam (substance)"
"C0014892"	"estazolam [chemical/ingredient]"
"C0014892"	"estazolam product"
"C0014892"	"estazolam product (product)"
"C0014892"	"estazolam (medication)"
"C0014892"	"sedatives estazolam"
"C0014912"	"(17beta)-estra-1,3,5(10)-triene-3,17-diol"
"C0014912"	"17 beta-estradiol"
"C0014912"	"17 beta estradiol"
"C0014912"	"17 beta oestradiol"
"C0014912"	"17 beta-oestradiol"
"C0014912"	"17 beta-estradiol (substance)"
"C0014912"	"17 beta-estradiol preparation"
"C0014912"	"17 beta-estradiol preparation (product)"
"C0014912"	"17 beta-estradiol preparation (substance)"
"C0014912"	"17 beta-oestradiol preparation"
"C0014912"	"17-beta estradiol"
"C0014912"	"17-beta oestradiol"
"C0014912"	"17-beta-estradiol"
"C0014912"	"17beta estradiol"
"C0014912"	"beta estradiol 17"
"C0014912"	"e2 - estradiol"
"C0014912"	"e2 - oestradiol"
"C0014912"	"esdl"
"C0014912"	"estradiol"
"C0014912"	"estradiol 17-beta"
"C0014912"	"estradiol a 017 beta"
"C0014912"	"estra-1,3,5(10)-triene-3,17-diol (17beta)-"
"C0014912"	"estradiol (e2)"
"C0014912"	"estradiol (substance)"
"C0014912"	"estradiol -retired-"
"C0014912"	"estradiol 17 beta"
"C0014912"	"estradiol 17beta"
"C0014912"	"estradiol anhydrous"
"C0014912"	"estradiol [chemical/ingredient]"
"C0014912"	"estradiol [gynae]"
"C0014912"	"estradiol [gynae] (product)"
"C0014912"	"estradiol [gynae] (substance)"
"C0014912"	"estradiol [gyne]"
"C0014912"	"estradiol preparation"
"C0014912"	"estradiol preparation (product)"
"C0014912"	"estradiol preparation (substance)"
"C0014912"	"estradiol product"
"C0014912"	"estradiol-17 beta"
"C0014912"	"estradiol-17beta"
"C0014912"	"estraldine"
"C0014912"	"oestradiol"
"C0014912"	"oestradiol -retired-"
"C0014912"	"oestradiol [gynae]"
"C0014912"	"oestradiol preparation"
"C0014912"	"oestradiol product"
"C0014912"	"therapeutic estradiol"
"C0014912"	"estradiol (medication)"
"C0014912"	"estradiols"
"C0014921"	"17beta-(estra-1,3,5(10)-triene-3,17-diol 3-(bis(2-chloroethyl)carbamate))"
"C0014921"	"em"
"C0014921"	"estramustine"
"C0014921"	"estra-1,3,5(10)-triene-3,17-diol (17beta)-, 3-(bis(2-chloroethyl)carbamate)"
"C0014921"	"estradiol 3-[bis(2-chloroethyl)carbamate]"
"C0014921"	"estramustine (product)"
"C0014921"	"estramustine (substance)"
"C0014921"	"estramustine [chemical/ingredient]"
"C0014921"	"estra-1,3,5(10)triene-317beta-diol 3-[n,n-bis-(2-chloroethyl)carbamate]"
"C0014921"	"estradiol 3-bis(2-chloroethyl)carbamate"
"C0014927"	"(16alpha,17beta)-estra-1,3,5(10)-triene-3,16,17-triol"
"C0014927"	"16 alpha hydroxy estradiol"
"C0014927"	"16-alpha-hydroxy-estradiol"
"C0014927"	"16alpha,17beta estriol"
"C0014927"	"16alpha,17beta-estriol"
"C0014927"	"e3 - estriol"
"C0014927"	"e3 - oestriol"
"C0014927"	"estriol"
"C0014927"	"estra-1,3,5(10)-triene-3,16,17-triol, (16alpha,17beta)-"
"C0014927"	"estriol (e3)"
"C0014927"	"estriol (substance)"
"C0014927"	"estriol [chemical/ingredient]"
"C0014927"	"estriol [endocrine]"
"C0014927"	"estriol [endocrine] (product)"
"C0014927"	"estriol [endocrine] (substance)"
"C0014927"	"estriol [gynaecological use]"
"C0014927"	"estriol [gynecological use]"
"C0014927"	"estriol [gynecological use] (product)"
"C0014927"	"estriol [gynecological use] (substance)"
"C0014927"	"estriol product"
"C0014927"	"estriol product (product)"
"C0014927"	"estriol product (substance)"
"C0014927"	"estriol, unconjugated"
"C0014927"	"estriol, unconjugated (substance)"
"C0014927"	"estriol.unconjugated"
"C0014927"	"estriols"
"C0014927"	"oestratriol"
"C0014927"	"oestriol"
"C0014927"	"oestriol [endocrine]"
"C0014927"	"oestriol [gynaecological use]"
"C0014927"	"oestriol product"
"C0014927"	"oestriol, unconjugated"
"C0014927"	"oestriolum"
"C0014927"	"orestin"
"C0014927"	"ue3 - unconjugated estriol"
"C0014927"	"ue3 - unconjugated oestriol"
"C0014927"	"unconjugated estriol"
"C0014927"	"unconjugated oestriol"
"C0014927"	"estriol (medication)"
"C0014942"	"1,3,5(10)-estratrien-3-ol-17-one"
"C0014942"	"3-hydroxyestra-1,3,5(10)-trien-17-one"
"C0014942"	"e1 - estrone"
"C0014942"	"e1 - oestrone"
"C0014942"	"estrogens/estrone"
"C0014942"	"estrone"
"C0014942"	"estra-1,3,5(10)-trien-17-one, 3-hydroxy-"
"C0014942"	"estrone (e1)"
"C0014942"	"estrone (substance)"
"C0014942"	"estrone [chemical/ingredient]"
"C0014942"	"estrone preparation"
"C0014942"	"estrone preparation (product)"
"C0014942"	"estrone preparation (substance)"
"C0014942"	"oestrone"
"C0014942"	"oestrone preparation"
"C0014942"	"therapeutic estrone"
"C0014942"	"estrone (medication)"
"C0014942"	"estrones"
"C0717758"	"etanercept"
"C0717758"	"etn"
"C0717758"	"etanercept (product)"
"C0717758"	"etanercept (substance)"
"C0717758"	"etanercept [chemical/ingredient]"
"C0717758"	"tnfr:fc"
"C0717758"	"tumor necrosis factor receptor igg chimera"
"C0717758"	"etanercept (enbrel)"
"C0717758"	"etanercept (medication)"
"C0014964"	"1-butanol, 2,2'-(1,2-ethanediyldiimino)bis-, (s-(r*,r*))-"
"C0014964"	"ethambutol"
"C0014964"	"ethambutol (product)"
"C0014964"	"ethambutol (substance)"
"C0014964"	"ethambutol [chemical/ingredient]"
"C0014964"	"ethambutolol"
"C0015011"	"(17alpha)-19-norpregna-1,3,5(10)-trien-20-yne-3,17-diol"
"C0015011"	"19-norpregna-1,3,5(10)-trien-20-yne-3,17-diol, (17alpha)-"
"C0015011"	"combined o/c-ethinylestradiol"
"C0015011"	"combined o/c-ethinyloestradiol"
"C0015011"	"combined oral contraceptive - ethinylestradiol"
"C0015011"	"combined oral contraceptive - ethinylestradiol (product)"
"C0015011"	"combined oral contraceptive - ethinylestradiol (substance)"
"C0015011"	"combined oral contraceptive - ethinyloestradiol"
"C0015011"	"ee"
"C0015011"	"ethinyl estradiol"
"C0015011"	"estradiol, ethinyl"
"C0015011"	"estradiol, ethynyl"
"C0015011"	"ethinyl estradiol [chemical/ingredient]"
"C0015011"	"ethinyl estradiol (substance)"
"C0015011"	"ethinyl estradiol preparation"
"C0015011"	"ethinyl estradiol preparation (product)"
"C0015011"	"ethinyl estradiol preparation (substance)"
"C0015011"	"ethinyl estradiol preparation, nos"
"C0015011"	"ethinyl oestradiol preparation"
"C0015011"	"ethinylestradiol"
"C0015011"	"ethinylestradiol [endocrine]"
"C0015011"	"ethinylestradiol [endocrine] (product)"
"C0015011"	"ethinylestradiol [endocrine] (substance)"
"C0015011"	"ethinylestradiol [malignancy]"
"C0015011"	"ethinylestradiol [malignancy] (product)"
"C0015011"	"ethinylestradiol [malignancy] (substance)"
"C0015011"	"ethinylestradiol product"
"C0015011"	"ethinyloestradiol"
"C0015011"	"ethinyloestradiol [endocrine]"
"C0015011"	"ethinyloestradiol [malignancy]"
"C0015011"	"ethinyloestradiol product"
"C0015011"	"ethynyl estradiol"
"C0015011"	"estradiol ethinyl"
"C0015011"	"ethinyl estradiol (medication)"
"C0015011"	"ethynylestradiol"
"C0015011"	"oral contraceptives ethinyl estradiol"
"C0015043"	"2,5-pyrrolidinedione, 3-ethyl-3-methyl-"
"C0015043"	"3-ethyl-3-methylpyrrolidine-2,5-dione"
"C0015043"	"ethosuximide"
"C0015043"	"ethosuccimid"
"C0015043"	"ethosuximide (product)"
"C0015043"	"ethosuximide (substance)"
"C0015043"	"ethosuximide [chemical/ingredient]"
"C0015043"	"ethylmethylsuccimide"
"C0015043"	"ethosuximide (medication)"
"C0015109"	"(5alpha,6alpha)-7,8-didehydro-4,5-epoxy-3-ethoxy-17-methylmorphinan-6-ol"
"C0015109"	"codethyline"
"C0015109"	"ethylmorphine"
"C0015109"	"ethomorphine"
"C0015109"	"ethyl morphine"
"C0015109"	"ethyl morphine (substance)"
"C0015109"	"ethylmorphine (product)"
"C0015109"	"ethylmorphine [chemical/ingredient]"
"C0015109"	"morphinan-6-ol, 7,8-didehydro-4,5-epoxy-3-ethoxy-17-methyl-, (5alpha,6alpha)-"
"C0059678"	"2-ethylamino-6-chloro-4-methyl-4-phenyl-4h-3,1-benzoxazine"
"C0059678"	"etifoxine"
"C0059678"	"etifoxine (substance)"
"C0059678"	"etafenoxine"
"C0059678"	"etifoxin"
"C0015116"	"apha-((ethylamino)methyl)-3-hydroxybenzenemethanol"
"C0015116"	"benzenemethanol, alpha-((ethylamino)methyl)-3-hydroxy-"
"C0015116"	"etilefrine"
"C0015116"	"ethylnorphenylephrine"
"C0015116"	"ethylphenylephrine"
"C0015116"	"etilefrin"
"C0015116"	"etilefrine (substance)"
"C0015116"	"etilefrine [chemical/ingredient]"
"C0015116"	"s 40032"
"C0059865"	"1,3,4,9-tetrahydro-1,8-diethylpyrano(3,4-b)indole-1-acetic acid"
"C0059865"	"acid, etodolic"
"C0059865"	"etodolac"
"C0059865"	"etodolac (product)"
"C0059865"	"etodolac (substance)"
"C0059865"	"etodolac [chemical/ingredient]"
"C0059865"	"etodolac product"
"C0059865"	"etodolac product (substance)"
"C0059865"	"etodolic acid"
"C0059865"	"etodolic acid product"
"C0059865"	"pyrano(3,4-b)indole-1-acetic acid, 1,8-diethyl-1,3,4,9-tetrahydro-"
"C0059865"	"etodolac (medication)"
"C0047683"	"(17-alpha)-13-ethyl-17-hydroxy-11-methylene-18,19-dinorpregn-4-en-20-yn-3-one"
"C0047683"	"13-ethyl-17-hydroxy-11-methylene-18,19-dinor-17alpha-pregn-4-en-20-yn-3-one"
"C0047683"	"18,19-dinorpregn-4-en-20-yn-3-one, 13-ethyl-17-hydroxy-11-methylene-, (17-alpha)-"
"C0047683"	"3-keto-desogestrel"
"C0047683"	"3-ketodesogestrel"
"C0047683"	"3-oxo desogestrel"
"C0047683"	"3-oxodesogestrel"
"C0047683"	"etonogestrel"
"C0047683"	"etonogestrel (product)"
"C0047683"	"etonogestrel (substance)"
"C0047683"	"etonogestrel (medication)"
"C0047683"	"etonogestrel [chemical/ingredient]"
"C0015133"	"4'-demethylepipodophyllotoxin 9-[4,6-o-ethylidene-beta-d-glucopyranoside"
"C0015133"	"4'-demethylepipodophyllotoxin 9-[4,6-o-ethylidene-beta-d-glucopyranoside]"
"C0015133"	"9-[(4,6-o-ethylidene-beta-d-glucopyranosyl]-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5ah)-one"
"C0015133"	"9-[(4,6-o-ethylidene-beta-d-glucopyranosyl]oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)furo[3',4':6,7]naphtho[2,3-d]-1,3-dioxol-6(5ah)-one"
"C0015133"	"demethyl epipodophyllotoxin ethylidine glucoside"
"C0015133"	"epeg"
"C0015133"	"epeg - etoposide"
"C0015133"	"etoposide"
"C0015133"	"eposide"
"C0015133"	"etoposide (product)"
"C0015133"	"etoposide (substance)"
"C0015133"	"etoposide [chemical/ingredient]"
"C0015133"	"etoposide product"
"C0015133"	"furo(3',4':6,7)naphtho(2,3-d)-1,3-dioxol-6(5ah)-one, 9-((4,6-o-ethylidene-beta-d-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,5-dimethoxyphenyl)-, (5r-(5alpha,5abeta,8aalpha,9beta(r*)))-"
"C0015133"	"etoposide (medication)"
"C0972314"	"5-chloro-2-(6-methylpyridin-3-yl)-3-(4-methylsulfonylphenyl) pyridine"
"C0972314"	"etoricoxib"
"C0972314"	"etoricoxib (product)"
"C0972314"	"etoricoxib (substance)"
"C0972314"	"etoricoxib (medication)"
"C0015137"	"(2e,4e,6e,8e)-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethyl-2,4,6,8-nonatetraenoic acid, ethyl ester"
"C0015137"	"2,4,6,8-nonatetraenoic acid, 9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethyl-, ethyl ester, (all-e)-"
"C0015137"	"etretinate"
"C0015137"	"ethyl etrinoate"
"C0015137"	"ethyl-all-trans-9-(4-methoxy-2,3,6-trimethylphenyl)-3,7-dimethyl-2,4,6,8-nonatetraenoate"
"C0015137"	"etretinate (product)"
"C0015137"	"etretinate (substance)"
"C0015137"	"etretinate [chemical/ingredient]"
"C0015137"	"etrinoate, ethyl"
"C0015148"	"eucalyptus"
"C0015148"	"eucalyptus (organism)"
"C0015148"	"eucalyptus, nos"
"C0015153"	"1,3,4-eugenol"
"C0015153"	"2-methoxy-4-(2-propenyl)phenol"
"C0015153"	"4-allylguaiacol"
"C0015153"	"eugenol"
"C0015153"	"eugenol (product)"
"C0015153"	"eugenol (substance)"
"C0015153"	"eugenol [chemical/ingredient]"
"C0015153"	"phenol, 2-methoxy-4-(2-propenyl)-"
"C0541315"	"(1r,9s,12s,15r,16e,18r,19r,21r,23s,24e,26e,28e,30s,32s,35r)-1,18-dihydroxy-12-((1r)-2-((1s,3r,4r)-4-(2-hydroxyethoxy)-3-methoxycyclohexyl)-1-methylethyl)-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo(30.3.1.04,9)hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentaone"
"C0541315"	"40-o-(2-hydroxyethyl)-rapamycin"
"C0541315"	"42-o-(2-hydroxy)ethyl rapamycin"
"C0541315"	"everolimus"
"C0541315"	"everolimus (medication)"
"C0541315"	"everolimus (product)"
"C0541315"	"everolimus (substance)"
"C0541315"	"everolimus [chemical/ingredient]"
"C0541315"	"rad, sdz"
"C0541315"	"sdz rad"
"C0541315"	"sdz-rad"
"C0541315"	"chemotherapeutics growth-signaling inhibitors everolimus"
"C0015620"	"famotidine"
"C0015620"	"famotidine (product)"
"C0015620"	"famotidine (substance)"
"C0015620"	"famotidine [chemical/ingredient]"
"C0015620"	"propanimidamide, 3-(((2-((aminoiminomethyl)amino)-4-thiazolyl)methyl)thio)-n-(aminosulfonyl)-"
"C0015620"	"famotidine (medication)"
"C0015620"	"histamine-2 receptor antagonists famotidine"
"C0249529"	"2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methylthiazole-5-carboxylic acid"
"C0249529"	"5-thiazolecarboxylic acid, 2-(3-cyano-4-(2-methylpropoxy)phenyl)-4-methyl-"
"C0249529"	"febuxostat"
"C0249529"	"febuxostat (medication)"
"C0249529"	"febuxostat (product)"
"C0249529"	"febuxostat (substance)"
"C0249529"	"febuxostat [chemical/ingredient]"
"C0249529"	"anti-gout agents febuxostat"
"C0060135"	"(3-carbamoyloxy-2-phenyl-propyl) carbamate"
"C0060135"	"2-phenyl-1,3-propanediol dicarbamate"
"C0060135"	"carbamic acid, 2-phenyltrimethylene ester"
"C0060135"	"felbamate"
"C0060135"	"felbamate (substance)"
"C0060135"	"felbamate product"
"C0060135"	"felbamate product (product)"
"C0060135"	"felbamate (medication)"
"C0060135"	"felbamate [chemical/ingredient]"
"C0015772"	"3,5-pyridinedicarboxylic acid, 4-(2,3-dichlorophenyl)-1,4-dihydro-2,6-dimethyl-, ethyl methyl ester"
"C0015772"	"felodipine"
"C0015772"	"felodipine (product)"
"C0015772"	"felodipine (substance)"
"C0015772"	"felodipine er"
"C0015772"	"felodipine [chemical/ingredient]"
"C0015772"	"felodipine (medication)"
"C0033228"	"fenofibrate"
"C0033228"	"fenofibrate (product)"
"C0033228"	"fenofibrate (substance)"
"C0033228"	"fenofibrate [chemical/ingredient]"
"C0033228"	"phenofibrate"
"C0033228"	"procetofen"
"C0033228"	"procetofene"
"C0033228"	"propanoic acid, 2-(4-(4-chlorobenzoyl)phenoxy)-2-methyl-, 1-methylethyl ester"
"C0033228"	"fenofibrate (medication)"
"C0033228"	"fenofibrates"
"C0015837"	"benzeneacetic acid, alpha-methyl-3-phenoxy-, (+-)-"
"C0015837"	"fenoprofen"
"C0015837"	"fenoprofen (product)"
"C0015837"	"fenoprofen (substance)"
"C0015837"	"fenoprofen [chemical/ingredient]"
"C0015837"	"fenoprofen [analgesic]"
"C0015837"	"fenoprofen [analgesic] (product)"
"C0015837"	"fenoprofen [analgesic] (substance)"
"C0015837"	"fenoprofen [musc skel]"
"C0015837"	"fenoprofen [musculoskeletal use]"
"C0015837"	"fenoprofen [musculoskeletal use] (product)"
"C0015837"	"fenoprofen [musculoskeletal use] (substance)"
"C0015837"	"fenoprofen product"
"C0015837"	"fenoprofen product (substance)"
"C0015843"	"1-oxa-3,8-diazaspiro(4.5)decan-2-one, 8-(2-phenylethyl)-"
"C0015843"	"fenspiride"
"C0015843"	"fenspiride (substance)"
"C0015843"	"decaspiride"
"C0015846"	"fentanyl"
"C0015846"	"fentanyl (product)"
"C0015846"	"fentanyl (substance)"
"C0015846"	"fentanyl [chemical/ingredient]"
"C0015846"	"fentanyl product"
"C0015846"	"fentyl"
"C0015846"	"n-(1-phenethylpiperidin-4-yl)-n-phenylpropionamide"
"C0015846"	"phentanyl"
"C0015846"	"propanamide, n-phenyl-n-(1-(2-phenylethyl)-4-piperidinyl)-"
"C0015846"	"fentanyl (medication)"
"C0015846"	"fentanyls"
"C0015846"	"local anesthetic fentanyl"
"C0015846"	"local anesthetic fentanyl (medication)"
"C0302583"	"fe"
"C0302583"	"fe - iron"
"C0302583"	"fe element"
"C0302583"	"iron"
"C0302583"	"iron (substance)"
"C0302583"	"iron [chemical/ingredient]"
"C0302583"	"iron agent"
"C0302583"	"iron agent (substance)"
"C0302583"	"iron drug"
"C0302583"	"iron preparation"
"C0302583"	"iron preparation (product)"
"C0302583"	"iron preparation (substance)"
"C0302583"	"iron preparation, nos"
"C0302583"	"iron product"
"C0302583"	"iron product (product)"
"C0302583"	"iron, nos"
"C0302583"	"ferric ion"
"C0302583"	"hematinics iron preparations"
"C0302583"	"iron preparations"
"C0302583"	"iron preparations (medication)"
"C2343853"	"fesoterodine"
"C2343853"	"fesoterodine (product)"
"C2343853"	"fesoterodine (substance)"
"C2343853"	"propanoic acid, 2-methyl-, 2-((1r)-3-(bis(1-methylethyl)amino)-1-phenylpropyl)-4-(hydroxymethyl)phenyl ester"
"C2343853"	"fesoterodine [chemical/ingredient]"
"C0296800"	"fexofenadine"
"C0296800"	"fexofenadine (product)"
"C0296800"	"fexofenadine (substance)"
"C0296800"	"alpha-(4-(1-carboxy-1-methylethyl)phenyl)-4-hydroxydiphenylmethyl-1-piperidinebutanol"
"C0296800"	"fexofenadine [chemical/ingredient]"
"C0296800"	"fexofenadines"
"C0296800"	"fexofenadines (medication)"
"C0388087"	"2-amino-2-(2-(4-octylphenyl)ethyl)-1,3-propanediol hydrochloride"
"C0388087"	"2-amino-2-[2-(4-octylphenyl)ethyl]propan-1,3-diol hydrochloride"
"C0388087"	"fingolimod hydrochloride"
"C0388087"	"fingolimod hydrochloride [chemical/ingredient]"
"C0388087"	"fingolimod hydrochloride (substance)"
"C0388087"	"hydrochloride, fingolimod"
"C0388087"	"fingolimod hcl"
"C0016229"	"benzamide, n-(2-piperidinylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)-"
"C0016229"	"flecainide"
"C0016229"	"flecainide (product)"
"C0016229"	"flecainide (substance)"
"C0016229"	"flecainide [chemical/ingredient]"
"C0016229"	"flecainide (medication)"
"C0060473"	"4'-fluoro-4-(4-(o-methoxyphenyl)-1-piperazinyl)- butyrophenone"
"C0060473"	"fluanisone"
"C0060473"	"haloanisone"
"C0060473"	"haloanizone"
"C0016277"	"1h-1,2,4-triazole-1-ethanol, alpha-(2,4-difluorophenyl)-alpha-(1h-1,2,4-triazol-1-ylmethyl)-"
"C0016277"	"fcz"
"C0016277"	"fluconazole"
"C0016277"	"fluconazole (product)"
"C0016277"	"fluconazole (substance)"
"C0016277"	"fluconazole [chemical/ingredient]"
"C0016277"	"fluconazole product"
"C0016277"	"alpha-(2,4-difluorophenyl)-alpha- (1,2,4-triazol-1-ylmethyl)-1,2, 4- triazole-1-ethanol"
"C0016277"	"fluconazole (medication)"
"C0059985"	"2-fluoro-9-beta-arabinofuranosyladenine"
"C0059985"	"2-fluorovidarabine"
"C0059985"	"2-fluoroadenine arabinoside"
"C0059985"	"9-beta-d-arabinofuranosyl-2-fluoro-9h-purin-6-amine"
"C0059985"	"9-beta-d-arabinofuranosyl-2-fluoroadenine"
"C0059985"	"9h-purin-6-amine, 9-beta-d-arabinofuranosyl-2-fluoro-"
"C0059985"	"f ara a"
"C0059985"	"f-ara-a"
"C0059985"	"famp"
"C0059985"	"fludarabine"
"C0059985"	"fludarabine (product)"
"C0059985"	"fludarabine (substance)"
"C0059985"	"fludarabine [chemical/ingredient]"
"C0060485"	"1-methyl-5-(2-fluorophenyl)-7-chloro-1,3-dihydro-2h-(1,4)benzodiazepin-2-one"
"C0060485"	"7-chloro-5-(2-fluorophenyl)-1,3-dihydro-1-methyl-2h-1,4-benzodiazepin-2-one"
"C0060485"	"fludiazepam"
"C0060485"	"fludiazepan"
"C0016280"	"9 fluoro 17 hydroxycortisone"
"C0016280"	"9 fluorocortisol"
"C0016280"	"9 fluorohydrocortisone"
"C0016280"	"9 alpha fludrohydrocortisone"
"C0016280"	"9 alpha fluoro 17 hydroxycorticosterone"
"C0016280"	"9 alpha fluorohydrocortisone"
"C0016280"	"9 alpha-fluoro-17-hydroxycorticosterone"
"C0016280"	"9 alpha-fluorohydrocortisone"
"C0016280"	"9-fluoro-17-hydroxycortisone"
"C0016280"	"9-fluorocortisol"
"C0016280"	"9-fluorohydrocortisone"
"C0016280"	"fludrocortisone"
"C0016280"	"fluorocortisol 09"
"C0016280"	"fludrocortisone (substance)"
"C0016280"	"fludrocortisone [chemical/ingredient]"
"C0016280"	"fludrocortisone preparation"
"C0016280"	"fludrocortisone preparation (product)"
"C0016280"	"fludrocortisone preparation (substance)"
"C0016280"	"pregn-4-ene-3,20-dione, 9-fluoro-11,17,21-trihydroxy-, (11beta)-"
"C0117899"	"1h-indene-1,3(2h)-dione, 2-(4-fluorophenyl)-"
"C0117899"	"2-(4-fluorophenyl)-1,3-indanedione"
"C0117899"	"fluindione"
"C0016295"	"flunarizine"
"C0016295"	"flunarizin"
"C0016295"	"flunarizine (substance)"
"C0016295"	"flunarizine [chemical/ingredient]"
"C0016295"	"piperazine, 1-(bis(4-fluorophenyl)methyl)-4-(3-phenyl-2-propenyl)-, (e)-"
"C0016296"	"2h-1,4-benzodiazepin-2-one, 5-(2-fluorophenyl)-1,3-dihydro-1-methyl-7-nitro-"
"C0016296"	"5-(o-fluorophenyl)-1,3-dihydro-1-methyl-7-nitro-2h-1,4-benzodiazepin-2-one"
"C0016296"	"flunitrazepam"
"C0016296"	"flunitrazepam (product)"
"C0016296"	"flunitrazepam (substance)"
"C0016296"	"flunitrazepam [chemical/ingredient]"
"C0016296"	"fluridrazepam"
"C0016296"	"flunitrazepam (medication)"
"C0016330"	"f"
"C0016330"	"f - fluorine"
"C0016330"	"f element"
"C0016330"	"fluorine"
"C0016330"	"fluorine (substance)"
"C0016330"	"fluorine [chemical/ingredient]"
"C0016330"	"fluorine, nos"
"C0016330"	"fluorines"
"C0016360"	"2,4(1h,3h)-pyrimidinedione, 5-fluoro-"
"C0016360"	"2,4-dioxo-5-fluoropyrimidine"
"C0016360"	"5 fluorouracil"
"C0016360"	"5 fu"
"C0016360"	"5-fu"
"C0016360"	"5-fluoro-2,4(1h, 3h)-pyrimidinedione"
"C0016360"	"5-fluoro-2,4(1h,3h)-pyrimidinedione"
"C0016360"	"5-fluorouracil"
"C0016360"	"5-fluracil"
"C0016360"	"5-fluorouracil (medication)"
"C0016360"	"5fu"
"C0016360"	"5fu - fluorouracil"
"C0016360"	"5fluracil"
"C0016360"	"5fluorouracil"
"C0016360"	"fluorouracil"
"C0016360"	"fu"
"C0016360"	"fluoro uracil"
"C0016360"	"fluorouracil (product)"
"C0016360"	"fluorouracil (substance)"
"C0016360"	"fluorouracil [chemical/ingredient]"
"C0016360"	"fluorouracil®"
"C0016360"	"fluoruracil"
"C0016360"	"fluouracil"
"C0016365"	"benzenepropanamine, n-methyl-gamma-(4-(trifluoromethyl)phenoxy)-, (+-)-"
"C0016365"	"fluox"
"C0016365"	"fluoxetine"
"C0016365"	"fluoxetin"
"C0016365"	"fluoxetine (product)"
"C0016365"	"fluoxetine (substance)"
"C0016365"	"fluoxetine [chemical/ingredient]"
"C0016365"	"n-methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine"
"C0016365"	"n-methyl-gamma-(4-(trifluoromethyl) -phenoxy)-benzenepropanamine"
"C0016367"	"1-piperazineethanol, 4-(3-(2-(trifluoromethyl)-9h-thioxanthen-9-ylidene)propyl)-"
"C0016367"	"flupentixol"
"C0016367"	"flupenthixol"
"C0016367"	"flupenthixol [chemical/ingredient]"
"C0016367"	"flupenthixol [antidepressant]"
"C0016367"	"flupenthixol [antidepressant] (product)"
"C0016367"	"flupenthixol [antidepressant] (substance)"
"C0016367"	"flupenthixol [antipsychotic]"
"C0016367"	"flupenthixol [antipsychotic] (product)"
"C0016367"	"flupenthixol [antipsychotic] (substance)"
"C0016367"	"flupentixol (medication)"
"C0016367"	"flupentixol (product)"
"C0016367"	"flupentixol (substance)"
"C0016367"	"flupentixol [antidepressant]"
"C0016367"	"flupentixol [antipsychotic]"
"C0016367"	"alpha-flupenthixol"
"C0016367"	"antipsychotics flupentixol"
"C0016367"	"cis-flupenthixol"
