"CUI"	"synonymes"	"synonymes"
"C0006230"	"bromocriptine (substance)"	"bromocriptine substance "
"C0006230"	"bromocriptine [chemical/ingredient]"	"bromocriptine chemical ingredient "
"C0006230"	"bromocriptine [endocrine use]"	"bromocriptine endocrine use "
"C0006230"	"bromocriptine [endocrine use] (product)"	"bromocriptine endocrine use product "
"C0006230"	"bromocriptine [endocrine use] (substance)"	"bromocriptine endocrine use substance "
"C0006230"	"bromocriptine [endocrine]"	"bromocriptine endocrine "
"C0006230"	"bromocriptine [endocrine] (product)"	"bromocriptine endocrine product "
"C0006230"	"bromocriptine [endocrine] (substance)"	"bromocriptine endocrine substance "
"C0006230"	"bromocriptine [parkinsons]"	"bromocriptine parkinsons "
"C0006230"	"bromocriptine [parkinsons] (product)"	"bromocriptine parkinsons product "
"C0006230"	"bromocriptine [parkinsons] (substance)"	"bromocriptine parkinsons substance "
"C0006230"	"bromocryptin"	"bromocryptin"
"C0006230"	"bromocryptine"	"bromocryptine"
"C0006230"	"ergotaman-3',6',18-trione, 2-bromo-12'-hydroxy-2'-(1-methylethyl)-5'-(2-methylpropyl)-, (5'alpha)-"	"ergotaman 3 6 18 trione 2 bromo 12 hydroxy 2 1 methylethyl 5 2 methylpropyl 5 alpha "
"C0006230"	"ergotaman-3',6',18-trione, 2-bromo-12'-hydroxy-2'-(1-methylethyl)-5'alpha-(2-methylpropyl)-"	"ergotaman 3 6 18 trione 2 bromo 12 hydroxy 2 1 methylethyl 5 alpha 2 methylpropyl "
"C0006246"	"1-(p-bromophenyl)-1-(2-pyridyl)-3-dimethylaminopropane"	"1 p bromophenyl 1 2 pyridyl 3 dimethylaminopropane"
"C0006246"	"2-(p-bromo-alpha-(2-dimethylaminoethyl)benzyl)pyridine"	"2 p bromo alpha 2 dimethylaminoethyl benzyl pyridine"
"C0006246"	"2-pyridinepropanamine, gamma-(4-bromophenyl)-n,n-dimethyl-"	"2 pyridinepropanamine gamma 4 bromophenyl n n dimethyl "
"C0006246"	"bromdylamine p"	"bromdylamine p"
"C0006246"	"brompheniramine"	"brompheniramine"
"C0006246"	"brompheniramine (product)"	"brompheniramine product "
"C0006246"	"brompheniramine (substance)"	"brompheniramine substance "
"C0006246"	"brompheniramine [chemical/ingredient]"	"brompheniramine chemical ingredient "
"C0006246"	"parabromdylamine"	"parabromdylamine"
"C0006246"	"brompheniramines"	"brompheniramines"
"C0006246"	"brompheniramines (medication)"	"brompheniramines medication "
"C0006246"	"gamma-(4-bromophenyl)-n,n-dimethyl-2-pyridinepropanamine"	"gamma 4 bromophenyl n n dimethyl 2 pyridinepropanamine"
"C0006246"	"p bromdylamine"	"p bromdylamine"
"C0006246"	"p-bromdylamine"	"p bromdylamine"
"C0006246"	"para bromdylamine"	"para bromdylamine"
"C0006246"	"para-bromdylamine"	"para bromdylamine"
"C0054151"	"2-bromo-4-(o-chlorophenyl)-9-methyl-6h-thieno(3,2-f)-s-triazolo(4,3-a)(1,4)diazepine"	"2 bromo 4 o chlorophenyl 9 methyl 6h thieno 3 2 f s triazolo 4 3 a 1 4 diazepine"
"C0054151"	"2-bromo-4-(2-chlorophenyl)-9-methyl-6h-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine"	"2 bromo 4 2 chlorophenyl 9 methyl 6h thieno 3 2 f 1 2 4 triazolo 4 3 a 1 4 diazepine"
"C0054151"	"6h-thieno(3,2-f)(1,2,4)triazolo(4,3-a)(1,4)diazepine,2-bromo-4-(2-chlorophenyl)-9-methyl-"	"6h thieno 3 2 f 1 2 4 triazolo 4 3 a 1 4 diazepine 2 bromo 4 2 chlorophenyl 9 methyl "
"C0054151"	"brotizolam"	"brotizolam"
"C0054151"	"brotizolam (substance)"	"brotizolam substance "
"C0054151"	"brotizolam (medication)"	"brotizolam medication "
"C0054151"	"sedatives brotizolam"	"sedatives brotizolam"
"C0164386"	"1-((4-chlorophenyl)phenylmethyl)-4-((4-(1,1-dimethylethyl)phenyl)methyl)piperazine"	"1 4 chlorophenyl phenylmethyl 4 4 1 1 dimethylethyl phenyl methyl piperazine"
"C0164386"	"1-(p-tert-butylbenzyl)-4-(4-chloro-alpha-phenylbenzyl)piperazine"	"1 p tert butylbenzyl 4 4 chloro alpha phenylbenzyl piperazine"
"C0164386"	"aphilan-r base"	"aphilan r base"
"C0164386"	"buclizine"	"buclizine"
"C0164386"	"buclizine (product)"	"buclizine product "
"C0164386"	"buclizine (substance)"	"buclizine substance "
"C0164386"	"histabutizine"	"histabutizine"
"C0164386"	"buclizine [chemical/ingredient]"	"buclizine chemical ingredient "
"C0054201"	"(rs)-11beta,16alpha,17,21,-tetrahydroxypregna-1,4-diene-3,20-dione cyclic 16,17-acetal w/ butyraldehyde"	"rs 11beta 16alpha 17 21 tetrahydroxypregna 1 4 diene 3 20 dione cyclic 16 17 acetal w butyraldehyde"
"C0054201"	"budesonide"	"budesonide"
"C0054201"	"budesonide (product)"	"budesonide product "
"C0054201"	"budesonide (substance)"	"budesonide substance "
"C0054201"	"budesonide [chemical/ingredient]"	"budesonide chemical ingredient "
"C0054201"	"budesonide [gastro-intestinal]"	"budesonide gastro intestinal "
"C0054201"	"budesonide [gastro-intestinal] (product)"	"budesonide gastro intestinal product "
"C0054201"	"budesonide [gastro-intestinal] (substance)"	"budesonide gastro intestinal substance "
"C0054201"	"budesonide [nose]"	"budesonide nose "
"C0054201"	"budesonide [nose] (product)"	"budesonide nose product "
"C0054201"	"budesonide [nose] (substance)"	"budesonide nose substance "
"C0054201"	"budesonide [respiratory use]"	"budesonide respiratory use "
"C0054201"	"budesonide [respiratory use] (product)"	"budesonide respiratory use product "
"C0054201"	"budesonide [respiratory use] (substance)"	"budesonide respiratory use substance "
"C0054201"	"budesonide product"	"budesonide product"
"C0054201"	"pregna-1,4-diene-3,20-dione,16,17-(butylidenebis(oxy))-11,21-dihydroxy-, (11beta,16alpha)-"	"pregna 1 4 diene 3 20 dione 16 17 butylidenebis oxy 11 21 dihydroxy 11beta 16alpha "
"C0054201"	"budesonide (medication)"	"budesonide medication "
"C0006376"	"bumetanide"	"bumetanide"
"C0006376"	"benzoic acid, 3-(aminosulfonyl)-5-(butylamino)-4-phenoxy-"	"benzoic acid 3 aminosulfonyl 5 butylamino 4 phenoxy "
"C0006376"	"bumetanide (product)"	"bumetanide product "
"C0006376"	"bumetanide (substance)"	"bumetanide substance "
"C0006376"	"bumetanide [chemical/ingredient]"	"bumetanide chemical ingredient "
"C0006376"	"bumethanide"	"bumethanide"
"C0006376"	"bumetanide (medication)"	"bumetanide medication "
"C0006405"	"6,14-ethenomorphinan-7-methanol, 17-(cyclopropylmethyl)-alpha-(1,1-dimethylethyl)-4,5-epoxy-18,19-dihydro-3-hydroxy-6-methoxy-alpha-methyl-, (5alpha,7alpha(s))-"	"6 14 ethenomorphinan 7 methanol 17 cyclopropylmethyl alpha 1 1 dimethylethyl 4 5 epoxy 18 19 dihydro 3 hydroxy 6 methoxy alpha methyl 5alpha 7alpha s "
"C0006405"	"buprenorphine"	"buprenorphine"
"C0006405"	"buprenorphine (product)"	"buprenorphine product "
"C0006405"	"buprenorphine (substance)"	"buprenorphine substance "
"C0006405"	"buprenorphine [chemical/ingredient]"	"buprenorphine chemical ingredient "
"C0006405"	"buprenorphine product"	"buprenorphine product"
"C0006405"	"buprenorphine product (product)"	"buprenorphine product product "
"C0085208"	"(+-)-1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-1-propanone"	"+ 1 3 chlorophenyl 2 1 1 dimethylethyl amino 1 propanone"
"C0085208"	"1-propanone, 1-(3-chlorophenyl)-2-((1,1-dimethylethyl)amino)-"	"1 propanone 1 3 chlorophenyl 2 1 1 dimethylethyl amino "
"C0085208"	"amfebutamon"	"amfebutamon"
"C0085208"	"amfebutamone"	"amfebutamone"
"C0085208"	"bup"	"bup"
"C0085208"	"bupropion"	"bupropion"
"C0085208"	"bupropion (product)"	"bupropion product "
"C0085208"	"bupropion (substance)"	"bupropion substance "
"C0085208"	"bupropion [chemical/ingredient]"	"bupropion chemical ingredient "
"C0085208"	"bupropion [dup] (substance)"	"bupropion dup substance "
"C0085208"	"bupropion (medication)"	"bupropion medication "
"C0006463"	"1, 4-bis[methanesulfonoxy]butane"	"1 4 bis methanesulfonoxy butane"
"C0006463"	"1,4-bis(methanesulfonoxy)butane"	"1 4 bis methanesulfonoxy butane"
"C0006463"	"1,4-bitanediol dimethanesulfonate esters"	"1 4 bitanediol dimethanesulfonate esters"
"C0006463"	"1,4-butanediol dimethylsulfonate"	"1 4 butanediol dimethylsulfonate"
"C0006463"	"1,4-butanediol, dimethanesulfonate"	"1 4 butanediol dimethanesulfonate"
"C0006463"	"1,4-di(methanesulfonyloxy)butane"	"1 4 di methanesulfonyloxy butane"
"C0006463"	"1,4-di(methylsulfonyloxy)butane"	"1 4 di methylsulfonyloxy butane"
"C0006463"	"bsf"	"bsf"
"C0006463"	"bu"	"bu"
"C0006463"	"bus"	"bus"
"C0006463"	"busulfan"	"busulfan"
"C0006463"	"bussulfam"	"bussulfam"
"C0006463"	"busulfan (product)"	"busulfan product "
"C0006463"	"busulfan (substance)"	"busulfan substance "
"C0006463"	"busulfan [chemical/ingredient]"	"busulfan chemical ingredient "
"C0006463"	"busulfanum"	"busulfanum"
"C0006463"	"busulphan"	"busulphan"
"C0006463"	"methanesulfonic acid tetramethylene ester"	"methanesulfonic acid tetramethylene ester"
"C0006463"	"methanesulfonic acid, tetramethylene ester"	"methanesulfonic acid tetramethylene ester"
"C0006463"	"myeleukon"	"myeleukon"
"C0006463"	"sulfabutin"	"sulfabutin"
"C0006463"	"tetramethylene bis(methanesulfonate)"	"tetramethylene bis methanesulfonate "
"C0006463"	"tetramethylene bis[methanesulfonate]"	"tetramethylene bis methanesulfonate "
"C0006463"	"busulfan (medication)"	"busulfan medication "
"C0054234"	"2,4,6(1h,3h,5h)-pyrimidinetrione, 5-(2-methylpropyl)-5-(2-propenyl)-"	"2 4 6 1h 3h 5h pyrimidinetrione 5 2 methylpropyl 5 2 propenyl "
"C0054234"	"5-allyl-5-isobutylbarbituric acid"	"5 allyl 5 isobutylbarbituric acid"
"C0054234"	"allylbarbital"	"allylbarbital"
"C0054234"	"allylbarbituric acid"	"allylbarbituric acid"
"C0054234"	"butalbital"	"butalbital"
"C0054234"	"butalbital (product)"	"butalbital product "
"C0054234"	"butalbital (substance)"	"butalbital substance "
"C0054234"	"butalbital (medication)"	"butalbital medication "
"C0054234"	"butalbital [chemical/ingredient]"	"butalbital chemical ingredient "
"C0054249"	"5-butyl-5-ethylbarbituric acid"	"5 butyl 5 ethylbarbituric acid"
"C0054249"	"butethal"	"butethal"
"C0054249"	"butobarbital"	"butobarbital"
"C0054249"	"butobarbital (substance)"	"butobarbital substance "
"C0054249"	"butobarbitone"	"butobarbitone"
"C0054249"	"butobarbitone (product)"	"butobarbitone product "
"C0054249"	"butobarbitone (substance)"	"butobarbitone substance "
"C0054249"	"butethal (medication)"	"butethal medication "
"C2830183"	"1-hydroxy-7beta,10beta-dimethoxy-9-oxo-5beta,20-epoxytax-11-ene-2alpha,4,13alpha-triyl 4-acetate 2-benzoate 13-[(2r,3s)-3-{[(tertbutoxy)carbonyl]amino}-2-hydroxy-3-phenylpropanoate]"	"1 hydroxy 7beta 10beta dimethoxy 9 oxo 5beta 20 epoxytax 11 ene 2alpha 4 13alpha triyl 4 acetate 2 benzoate 13 2r 3s 3 tertbutoxy carbonyl amino 2 hydroxy 3 phenylpropanoate "
"C2830183"	"4-acetoxy-13-((3-((tert-butoxycarbonyl)amino)-2-hydroxy-3-phenylpropanoyl)oxy)-1-hydroxy-7,10-dimethoxy-9-oxo-5,20-epoxytax-11-en-2-yl benzoate"	"4 acetoxy 13 3 tert butoxycarbonyl amino 2 hydroxy 3 phenylpropanoyl oxy 1 hydroxy 7 10 dimethoxy 9 oxo 5 20 epoxytax 11 en 2 yl benzoate"
"C2830183"	"cabazitaxel"	"cabazitaxel"
"C2830183"	"cabazitaxel (product)"	"cabazitaxel product "
"C2830183"	"cabazitaxel (substance)"	"cabazitaxel substance "
"C2830183"	"cabazitaxel (medication)"	"cabazitaxel medication "
"C2830183"	"chemotherapeutics cabazitaxel"	"chemotherapeutics cabazitaxel"
"C0107994"	"1-((6-allylergolin-8beta-yl)carbonyl)-1-(3-(dimethylamino)propyl)-3-ethylurea"	"1 6 allylergolin 8beta yl carbonyl 1 3 dimethylamino propyl 3 ethylurea"
"C0107994"	"cabergoline"	"cabergoline"
"C0107994"	"cabergoline (product)"	"cabergoline product "
"C0107994"	"cabergoline (substance)"	"cabergoline substance "
"C0107994"	"cabergoline [parkinsons]"	"cabergoline parkinsons "
"C0107994"	"cabergoline [parkinsons] (product)"	"cabergoline parkinsons product "
"C0107994"	"cabergoline [parkinsons] (substance)"	"cabergoline parkinsons substance "
"C0107994"	"cabergoline (medication)"	"cabergoline medication "
"C0107994"	"cabergoline [chemical/ingredient]"	"cabergoline chemical ingredient "
"C0107994"	"cabergoline parkinsons"	"cabergoline parkinsons"
"C0107994"	"dopamine agonists cabergoline"	"dopamine agonists cabergoline"
"C3181682"	"1,1-cyclopropanedicarboxamide, n'-[4-[(6,7-dimethoxy-4-quinolinyl)oxy]phenyl]-n-(4- fluorophenyl)-"	"1 1 cyclopropanedicarboxamide n 4 6 7 dimethoxy 4 quinolinyl oxy phenyl n 4 fluorophenyl "
"C3181682"	"cabozantinib"	"cabozantinib"
"C3181682"	"n-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]phenyl}-n'-(4-fluorophenyl)cyclopropane-1,1- dicarboxamide"	"n 4 6 7 dimethoxyquinolin 4 yl oxy phenyl n 4 fluorophenyl cyclopropane 1 1 dicarboxamide"
"C3181682"	"cabozantinib (medication)"	"cabozantinib medication "
"C3181682"	"chemotherapeutics cabozantinib"	"chemotherapeutics cabozantinib"
"C0068978"	"7-(2-(1-methyl-2-hydroxy-2-phenylethylamino)ethyl)theophylline"	"7 2 1 methyl 2 hydroxy 2 phenylethylamino ethyl theophylline"
"C0068978"	"cafedrine"	"cafedrine"
"C0068978"	"norephendrinetheophylline"	"norephendrinetheophylline"
"C0376274"	"cajeput"	"cajeput"
"C0376274"	"cajuput oil"	"cajuput oil"
"C0376274"	"cajuput oil miscell oil (ml)"	"cajuput oil miscell oil ml "
"C0376274"	"cajuput oil@@miscell@oil (ml)"	"cajuput oil miscell oil ml "
"C0376274"	"cajeput oil"	"cajeput oil"
"C0376274"	"cajeput oil oil"	"cajeput oil oil"
"C0376274"	"calamus volatile oil"	"calamus volatile oil"
"C0376274"	"oil of cajuput"	"oil of cajuput"
"C0376274"	"oil of cajuput (substance)"	"oil of cajuput substance "
"C0376274"	"cajuput oil (obsolete)"	"cajuput oil obsolete "
"C0376274"	"cajuput oil [chemical/ingredient]"	"cajuput oil chemical ingredient "
"C0006674"	"(1alpha,3beta,5z,7e)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol"	"1alpha 3beta 5z 7e 9 10 secocholesta 5 7 10 19 triene 1 3 25 triol"
"C0006674"	"1 alpha,25 dihydroxycholecalciferol"	"1 alpha 25 dihydroxycholecalciferol"
"C0006674"	"1 alpha,25 dihydroxyvitamin d3"	"1 alpha 25 dihydroxyvitamin d3"
"C0006674"	"1 alpha,25-dihydroxycholecalciferol"	"1 alpha 25 dihydroxycholecalciferol"
"C0006674"	"1 alpha,25-dihydroxyvitamin d3"	"1 alpha 25 dihydroxyvitamin d3"
"C0006674"	"1 alpha,25-dihydroxyvitamin d3 preparation"	"1 alpha 25 dihydroxyvitamin d3 preparation"
"C0006674"	"1 alpha,25-dihydroxyvitamin d<sub>3</sub> preparation"	"1 alpha 25 dihydroxyvitamin d<sub>3< sub> preparation"
"C0006674"	"1 alpha,25-dihydroxyvitamin d>3< preparation"	"1 alpha 25 dihydroxyvitamin d>3< preparation"
"C0006674"	"1, 25-dihydroxy cholecalciferol"	"1 25 dihydroxy cholecalciferol"
"C0006674"	"1,25 dihydroxycholecalciferol"	"1 25 dihydroxycholecalciferol"
"C0006674"	"1,25 dihydroxyvitamin d3"	"1 25 dihydroxyvitamin d3"
"C0006674"	"1,25(oh)2 d3 preparation"	"1 25 oh 2 d3 preparation"
"C0006674"	"1,25(oh)2-d3"	"1 25 oh 2 d3"
"C0006674"	"1,25(oh)2d3 preparation"	"1 25 oh 2d3 preparation"
"C0006674"	"1,25(oh)<sub>2</sub>d<sub>3</sub> preparation"	"1 25 oh <sub>2< sub>d<sub>3< sub> preparation"
"C0006674"	"1,25(oh)>2<d>3< preparation"	"1 25 oh >2<d>3< preparation"
"C0006674"	"1,25-dhcc - 1,25-dihydroxycholecalciferol"	"1 25 dhcc 1 25 dihydroxycholecalciferol"
"C0006674"	"1,25-dhcc preparation"	"1 25 dhcc preparation"
"C0006674"	"1,25-dhcc-1,25-diohcholecalc"	"1 25 dhcc 1 25 diohcholecalc"
"C0006674"	"1,25-dihydroxy cholecalciferol"	"1 25 dihydroxy cholecalciferol"
"C0006674"	"1,25-dihydroxy cholecalciferol (substance)"	"1 25 dihydroxy cholecalciferol substance "
"C0006674"	"1,25-dihydroxycholecalciferol"	"1 25 dihydroxycholecalciferol"
"C0006674"	"1,25-dihydroxycholecalciferol preparation"	"1 25 dihydroxycholecalciferol preparation"
"C0006674"	"1,25-dihydroxyvitamin d3"	"1 25 dihydroxyvitamin d3"
"C0006674"	"1,25-dihydroxyvitamin d3 (substance)"	"1 25 dihydroxyvitamin d3 substance "
"C0006674"	"1,25-diohc preparation"	"1 25 diohc preparation"
"C0006674"	"1,25-diohcc - 1,25-dihydroxycholecalciferol"	"1 25 diohcc 1 25 dihydroxycholecalciferol"
"C0006674"	"1,25-diohcc-1,25-diohcholecalc"	"1 25 diohcc 1 25 diohcholecalc"
"C0006674"	"1-alpha, 25-dihydroxy cholecalciferol"	"1 alpha 25 dihydroxy cholecalciferol"
"C0006674"	"9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol, (1alpha,3beta,5z,7e)-"	"9 10 secocholesta 5 7 10 19 triene 1 3 25 triol 1alpha 3beta 5z 7e "
"C0006674"	"calcitriol"	"calcitriol"
"C0006674"	"caltrol"	"caltrol"
"C0006674"	"calcitriol [chemical/ingredient]"	"calcitriol chemical ingredient "
"C0006674"	"calcitriol preparation"	"calcitriol preparation"
"C0006674"	"calcitriol preparation (product)"	"calcitriol preparation product "
"C0006674"	"calcitriol preparation (substance)"	"calcitriol preparation substance "
"C0006674"	"calcitriol product"	"calcitriol product"
"C0006674"	"d3, 1 alpha,25-dihydroxyvitamin"	"d3 1 alpha 25 dihydroxyvitamin"
"C0006674"	"d3, 1,25-dihydroxyvitamin"	"d3 1 25 dihydroxyvitamin"
"C0006674"	"dihydroxycholecalciferol 01 25"	"dihydroxycholecalciferol 01 25"
"C0006674"	"dihydroxycholecalciferol 01 alpha 25"	"dihydroxycholecalciferol 01 alpha 25"
"C0006674"	"dihydroxyvitamin d3 01 25"	"dihydroxyvitamin d3 01 25"
"C0006674"	"dihydroxyvitamin d3 01 alpha 25"	"dihydroxyvitamin d3 01 alpha 25"
"C0006674"	"alpha,25-dihydroxyvitamin d3, 1"	"alpha 25 dihydroxyvitamin d3 1"
"C0006795"	"3-n,n-dimethylcarbamoyloxy-7-chloro-5-phenyl-1-methyl-1,3-dihydro-2h-1,4-benzodiazepin-2-one"	"3 n n dimethylcarbamoyloxy 7 chloro 5 phenyl 1 methyl 1 3 dihydro 2h 1 4 benzodiazepin 2 one"
"C0006795"	"camazepam"	"camazepam"
"C0006795"	"carbamic acid, dimethyl-, 7-chloro-2,3-dihydro-1-methyl-2-oxo-5-phenyl-1h-1,4-benzodiazepin-3-yl ester"	"carbamic acid dimethyl 7 chloro 2 3 dihydro 1 methyl 2 oxo 5 phenyl 1h 1 4 benzodiazepin 3 yl ester"
"C0006809"	"2-bornanone"	"2 bornanone"
"C0006809"	"2-camphanone"	"2 camphanone"
"C0006809"	"bicyclo(2.2.1)heptan-2-one, 1,7,7-trimethyl-"	"bicyclo 2 2 1 heptan 2 one 1 7 7 trimethyl "
"C0006809"	"camphor"	"camphor"
"C0006809"	"camphor miscell gum (gram)"	"camphor miscell gum gram "
"C0006809"	"camphor, (+/-)-"	"camphor + "
"C0006809"	"camphor@@miscell@gum (gram)"	"camphor miscell gum gram "
"C0006809"	"camphor (product)"	"camphor product "
"C0006809"	"camphor (substance)"	"camphor substance "
"C0006809"	"camphor lump"	"camphor lump"
"C0006809"	"camphor [chemical/ingredient]"	"camphor chemical ingredient "
"C0006809"	"dl-camphor"	"dl camphor"
"C0006809"	"camphor (medication)"	"camphor medication "
"C2718773"	"canakinumab"	"canakinumab"
"C2718773"	"canakinumab (product)"	"canakinumab product "
"C2718773"	"canakinumab (substance)"	"canakinumab substance "
"C2718773"	"canakinumab (medication)"	"canakinumab medication "
"C2718773"	"immunosuppressives canakinumab"	"immunosuppressives canakinumab"
"C0527379"	"1-(cyclohexylocarbonyloxy)ethyl-2-ethoxy-1-(2'-(1h-tetrazol-5-yl)biphenyl-4-yl)-1h-benzimidazole-7-carboxylate"	"1 cyclohexylocarbonyloxy ethyl 2 ethoxy 1 2 1h tetrazol 5 yl biphenyl 4 yl 1h benzimidazole 7 carboxylate"
"C0527379"	"1h-benzimidazolium, 7-carboxy-1-(2-((cyclohexylcarbonyl)oxy)ethyl)-2-ethoxy-1-(2'-(1h-tetrazol-5-yl)(1,1'-biphenyl)-4-yl)-, hydroxide, inner salt, (+-)-"	"1h benzimidazolium 7 carboxy 1 2 cyclohexylcarbonyl oxy ethyl 2 ethoxy 1 2 1h tetrazol 5 yl 1 1 biphenyl 4 yl hydroxide inner salt + "
"C0527379"	"candesartan cilexetil"	"candesartan cilexetil"
"C0527379"	"candesartan cilexetil (product)"	"candesartan cilexetil product "
"C0527379"	"candesartan cilexetil (substance)"	"candesartan cilexetil substance "
"C0527379"	"candesartan cilexetil (medication)"	"candesartan cilexetil medication "
"C0527379"	"candesartan cilexetil [chemical/ingredient]"	"candesartan cilexetil chemical ingredient "
"C0527379"	"candesartan cilexitil"	"candesartan cilexitil"
"C0671970"	"5'-deoxy-5-fluoro-n-[(pentyloxy)carbonyl]-cytidine"	"5 deoxy 5 fluoro n pentyloxy carbonyl cytidine"
"C0671970"	"cape"	"cape"
"C0671970"	"capecitabine"	"capecitabine"
"C0671970"	"capecitabine (product)"	"capecitabine product "
"C0671970"	"capecitabine (substance)"	"capecitabine substance "
"C0671970"	"capecitabine [chemical/ingredient]"	"capecitabine chemical ingredient "
"C0671970"	"n(4)-pentyloxycarbonyl-5'-deoxy-5-fluorocytidine"	"n 4 pentyloxycarbonyl 5 deoxy 5 fluorocytidine"
"C0671970"	"capecitabine (medication)"	"capecitabine medication "
"C0301409"	"2-((p-(butylthio)-alpha-phenylbenzyl)thio)-n,n-dimethylethylamine"	"2 p butylthio alpha phenylbenzyl thio n n dimethylethylamine"
"C0301409"	"captodiame"	"captodiame"
"C0301409"	"captodiamine"	"captodiamine"
"C0301409"	"captodiamine (substance)"	"captodiamine substance "
"C0006938"	"(s)-1-(3-mercapto-2-methyl-1-oxopropyl)-l-proline"	"s 1 3 mercapto 2 methyl 1 oxopropyl l proline"
"C0006938"	"captopril"	"captopril"
"C0006938"	"cpt"	"cpt"
"C0006938"	"captopril (product)"	"captopril product "
"C0006938"	"captopril (substance)"	"captopril substance "
"C0006938"	"captopril [chemical/ingredient]"	"captopril chemical ingredient "
"C0006938"	"l-proline, 1-(3-mercapto-2-methyl-1-oxopropyl)-, (s)-"	"l proline 1 3 mercapto 2 methyl 1 oxopropyl s "
"C0006938"	"captopril (medication)"	"captopril medication "
"C0006949"	"5h-dibenz(b,f)azepine-5-carboxamide"	"5h dibenz b f azepine 5 carboxamide"
"C0006949"	"carbamazepine"	"carbamazepine"
"C0006949"	"carbamazepine (product)"	"carbamazepine product "
"C0006949"	"carbamazepine (substance)"	"carbamazepine substance "
"C0006949"	"carbamazepine - chemical"	"carbamazepine chemical"
"C0006949"	"carbamazepine - chemical (substance)"	"carbamazepine chemical substance "
"C0006949"	"carbamazepine anhydrous"	"carbamazepine anhydrous"
"C0006949"	"carbamazepine [chemical/ingredient]"	"carbamazepine chemical ingredient "
"C0006949"	"carbamazepine product"	"carbamazepine product"
"C0006949"	"carbamazepine (medication)"	"carbamazepine medication "
"C0006949"	"carbamazepines"	"carbamazepines"
"C0054672"	"carbinoxamine"	"carbinoxamine"
"C0054672"	"carbinoxamine (product)"	"carbinoxamine product "
"C0054672"	"carbinoxamine (substance)"	"carbinoxamine substance "
"C0054672"	"n,n-dimethyl-2-(p-chloro-alpha-(2-pyridyl)benzyloxy)ethylamine"	"n n dimethyl 2 p chloro alpha 2 pyridyl benzyloxy ethylamine"
"C0054672"	"carbinoxamine [chemical/ingredient]"	"carbinoxamine chemical ingredient "
"C0079083"	"(sp-4-2)-diammine[1,1-cyclobutanedicarboxylato(2--)-o,o']platinum"	"sp 4 2 diammine 1 1 cyclobutanedicarboxylato 2 o o platinum"
"C0079083"	"1,1-cyclobutanedicarboxylic acid platinum complex"	"1 1 cyclobutanedicarboxylic acid platinum complex"
"C0079083"	"carboplatin"	"carboplatin"
"C0079083"	"cbdca"	"cbdca"
"C0079083"	"cbdca - carboplatin"	"cbdca carboplatin"
"C0079083"	"carboplatin (product)"	"carboplatin product "
"C0079083"	"carboplatin (substance)"	"carboplatin substance "
"C0079083"	"carboplatin [chemical/ingredient]"	"carboplatin chemical ingredient "
"C0079083"	"carboplatino"	"carboplatino"
"C0079083"	"cis-diammine(cyclobutane-1,1-dicarboxylato)platinum"	"cis diammine cyclobutane 1 1 dicarboxylato platinum"
"C0079083"	"diamminecyclobutanedicarboxylatoplatinum ii"	"diamminecyclobutanedicarboxylatoplatinum ii"
"C0079083"	"platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (sp-4-2)-"	"platinum diammine 1 1 cyclobutanedicarboxylato 2 sp 4 2 "
"C0079083"	"carboplat"	"carboplat"
"C0079083"	"carboplatin (medication)"	"carboplatin medication "
"C0079083"	"cis-diammine(cyclobutanedicarboxylato)platinum ii"	"cis diammine cyclobutanedicarboxylato platinum ii"
"C0079083"	"cis-diammine(1,1-cyclobutanedicarboxylato) platinum(ii)"	"cis diammine 1 1 cyclobutanedicarboxylato platinum ii "
"C0079083"	"platinum, diammine(1,1-cyclobutanedicarboxylato(2-))-, (sp-4-2)"	"platinum diammine 1 1 cyclobutanedicarboxylato 2 sp 4 2 "
"C0007080"	"aminophenurobutane"	"aminophenurobutane"
"C0007080"	"benzenesulfonamide, 4-amino-n-((butylamino)carbonyl)-"	"benzenesulfonamide 4 amino n butylamino carbonyl "
"C0007080"	"carbutamide"	"carbutamide"
"C0007080"	"carbutamide [chemical/ingredient]"	"carbutamide chemical ingredient "
"C0007080"	"diabetal"	"diabetal"
"C0007080"	"glybutamide"	"glybutamide"
"C0007080"	"sulfaninylbutylurea"	"sulfaninylbutylurea"
"C0007257"	"1,3-bis(2-chloroethyl)-1-nitrosourea"	"1 3 bis 2 chloroethyl 1 nitrosourea"
"C0007257"	"1,3-bis(beta-chloroethyl)-1-nitrosourea"	"1 3 bis beta chloroethyl 1 nitrosourea"
"C0007257"	"bcnu"	"bcnu"
"C0007257"	"bcnu (bis chloroethylnitrosourea)"	"bcnu bis chloroethylnitrosourea "
"C0007257"	"bcnu - carmustine"	"bcnu carmustine"
"C0007257"	"bis(chloroethyl) nitrosourea"	"bis chloroethyl nitrosourea"
"C0007257"	"bis-chloronitrosourea"	"bis chloronitrosourea"
"C0007257"	"camustine"	"camustine"
"C0007257"	"carmustine"	"carmustine"
"C0007257"	"carmustin"	"carmustin"
"C0007257"	"carmustine (product)"	"carmustine product "
