"PHA_CIP_C13"	"PHA_NOM_PA"	"PHA_ATC_L07"	"PHA_MED_COM"	"PHA_FRM_LIB"	"total"
"3400934237416"	"MEBEVERINE"	"MEBEVERINE"	"COLOPRIV"	""	138
"3400934237706"	"OLANZAPINE"	"OLANZAPINE"	"ZYPREXA"	"COMPRIME"	2850
"3400934238017"	"OLANZAPINE"	"OLANZAPINE"	"ZYPREXA"	"COMPRIME"	3376
"3400934238307"	"FENTANYL"	"FENTANYL"	"DUROGESIC"	"DISPOSITIF"	4559
"3400934238475"	"FENTANYL"	"FENTANYL"	"DUROGESIC"	"DISPOSITIF"	2633
"3400934238536"	"FENTANYL"	"FENTANYL"	"DUROGESIC"	"DISPOSITIF"	1385
"3400934238765"	"FENTANYL"	"FENTANYL"	"DUROGESIC"	"DISPOSITIF"	1226
"3400934239076"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"NUTRIVISC"	"COLLYRE"	5316
"3400934239656"	"MEBEVERINE"	"MEBEVERINE"	"MEBEVERINE MYLAN"	""	3673
"3400934239946"	"ESTRADIOL"	"ESTRADIOL"	"DELIDOSE"	"GEL"	145
"3400934240195"	"ESTRADIOL"	"ESTRADIOL"	"DELIDOSE"	"GEL"	262
"3400934240485"	"PIROXICAM"	"PIROXICAM"	"ZOFORA"	"SOLUTION"	589
"3400934241956"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"CIVIGEL"	"GEL"	810
"3400934242908"	"TERAZOSINE"	"TERAZOSINE"	"DYSALFA"	"COMPRIME"	8
"3400934243158"	"TERAZOSINE"	"TERAZOSINE"	"DYSALFA"	"COMPRIME"	142
"3400934243448"	"ERYTHROMYCINE EN ASSOCIATION"	"ERYTHROMYCINE EN ASSOCIATION"	"ERYLIK"	"GEL"	2727
"3400934243677"	"ESTRADIOL"	"ESTRADIOL"	"OROMONE"	"COMPRIME"	1755
"3400934244100"	"OCTREOTIDE"	"OCTREOTIDE"	"SANDOSTATINE"	"SOLUTION"	11
"3400934244278"	"OCTREOTIDE"	"OCTREOTIDE"	"SANDOSTATINE"	"SOLUTION"	43
"3400934244339"	"OCTREOTIDE"	"OCTREOTIDE"	"SANDOSTATINE"	"SOLUTION"	10
"3400934248412"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE RPG"	""	16
"3400934249013"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE BIOGARAN"	"COMPRIME"	748
"3400934249822"	"RANITIDINE"	"RANITIDINE"	"AZANTAC"	"COMPRIME"	210
"3400934250071"	"MULTIENZYMES (LIPASE, PROTEASE...)"	"MULTIENZYMES (LIPASE, PROTEASE...)"	"EUROBIOL"	""	450
"3400934251603"	"METRONIDAZOLE"	"METRONIDAZOLE"	"ROSICED"	"GEL"	135
"3400934252891"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"LACRYVISC"	"GEL"	3147
"3400934254093"	"P-AMINOSALICYLATE DE SODIUM DIHYDRATE"	"ACIDE AMINOSALICYLIQUE ET ANALOGUES"	"QUADRASA"	"POUDRE"	163
"3400934259357"	"DILTIAZEM"	"DILTIAZEM"	"DILTIAZEM RATIOPHARM"	""	31
"3400934259708"	"DILTIAZEM"	"DILTIAZEM"	"DILTIAZEM RATIOPHARM"	""	45
"3400934263729"	"VERAPAMIL"	"VERAPAMIL"	"VERAPAMIL BIOGARAN"	"GELULE"	3252
"3400934263958"	"CARVEDILOL"	"CARVEDILOL"	"KREDEX"	"COMPRIME"	604
"3400934287732"	"IRBESARTAN"	"IRBESARTAN"	"IRBESARTAN ARROW LAB"	"COMPRIME"	223
"3400934288333"	"IRBESARTAN"	"IRBESARTAN"	"IRBESARTAN ARROW LAB"	"COMPRIME"	94
"3400934291234"	"MORPHINE"	"MORPHINE"	"MORPHINE LAVOISIER"	"SOLUTION"	12
"3400934291463"	"MORPHINE"	"MORPHINE"	"MORPHINE LAVOISIER"	"SOLUTION"	46
"3400934292125"	"KETOPROFENE"	"KETOPROFENE"	"PROFENID"	"SOLUTION"	4663
"3400934292293"	"TRIAMCINOLONE"	"TRIAMCINOLONE"	"NASACORT"	"SUSPENSION"	25029
"3400934297557"	"CALCITONINE (SYNTHETIQUE DE SAUMON)"	"CALCITONINE (SYNTHETIQUE DE SAUMON)"	"CADENS (ex STAPOROS radié 01/2005)"	""	5
"3400934300141"	"ACETYLSALICYLIQUE ACIDE"	"ACETYLSALICYLIQUE ACIDE"	"ASPIRINE PROTECT"	"COMPRIME"	311
"3400934301261"	"MOMETASONE"	"MOMETASONE"	"NASONEX"	"SUSPENSION"	60484
"3400934301322"	"PIROXICAM"	"PIROXICAM"	"PIROXICAM BIOGARAN"	"GELULE"	106
"3400934301490"	"PIROXICAM"	"PIROXICAM"	"PIROXICAM BIOGARAN"	"GELULE"	1550
"3400934301551"	"GRANISETRON"	"GRANISETRON"	"KYTRIL"	"COMPRIME"	256
"3400934302091"	"GADOPENTETIQUE ACIDE"	"GADOPENTETIQUE ACIDE"	"MAGNEVIST"	"SOLUTION"	3
"3400934302152"	"GADOPENTETIQUE ACIDE"	"GADOPENTETIQUE ACIDE"	"MAGNEVIST"	"SOLUTION"	29
"3400934302213"	"GADOPENTETIQUE ACIDE"	"GADOPENTETIQUE ACIDE"	"MAGNEVIST"	"SOLUTION"	13
"3400934303043"	"AMOXICILLINE"	"AMOXICILLINE"	"AMOXICILLINE MYLAN"	"GELULE"	12366
"3400934303333"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANZOR"	"GELULE"	4
"3400934303562"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANZOR"	"GELULE"	54
"3400934304163"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"OGAST"	"GELULE"	103
"3400934304392"	"POTASSIUM GLUCONATE"	"POTASSIUM GLUCONATE"	"POTASSIUM GLUCONATE H3 SANTE"	"SIROP"	271
"3400934305283"	"GENTAMICINE"	"GENTAMICINE"	"GENTAMICINE CHAUVIN"	"POMMADE"	18
"3400934306754"	"ATORVASTATINE"	"ATORVASTATINE"	"TAHOR"	"COMPRIME"	38256
"3400934306815"	"ATORVASTATINE"	"ATORVASTATINE"	"TAHOR"	"COMPRIME"	16341
"3400934306983"	"ATORVASTATINE"	"ATORVASTATINE"	"TAHOR"	"COMPRIME"	16433
"3400934307065"	"NITROGLYCERINE"	"NITROGLYCERINE"	"NATISPRAY"	"SOLUTION"	4991
"3400934308475"	"BUFLOMEDIL"	"BUFLOMEDIL"	"BUFLOMEDIL MYLAN"	"COMPRIME"	926
"3400934309885"	"LOPERAMIDE"	"LOPERAMIDE"	"LOPERAMIDE SANDOZ"	"GELULE"	3320
"3400934313219"	"HELICOBACTER"	"AUTRES MEDICAMENTS POUR DIAGNOSTIC"	"HELIKIT"	"POUDRE"	3222
"3400934313387"	"MINOCYCLINE"	"MINOCYCLINE"	"MINOCYCLINE BIOGARAN"	"COMPRIME"	8
"3400934314278"	"TRAMADOL"	"TRAMADOL"	"TOPALGIC"	"COMPRIME"	4741
"3400934314568"	"TRAMADOL"	"TRAMADOL"	"TOPALGIC"	"COMPRIME"	2561
"3400934314797"	"TRAMADOL"	"TRAMADOL"	"TOPALGIC"	"COMPRIME"	2741
"3400934315800"	"ALPROSTADIL"	"ALPROSTADIL"	"EDEX"	"POUDRE"	1547
"3400934316340"	"GENTAMICINE"	"GENTAMICINE"	"GENTAMICINE CHAUVIN"	"COLLYRE"	15
"3400934318061"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"SPIRONOLACTONE PFIZER (ex Practon Gé)"	"COMPRIME"	464
"3400934318351"	"ERGOLOIDE (DIHYDROERGOCRYPTINE A) MESYLATE + CAFEINE"	"ERGOLOIDE MESYLATES EN ASSOCIATION"	"VASOBRAL"	"COMPRIME"	525
"3400934318580"	"ALPROSTADIL"	"ALPROSTADIL"	"EDEX"	"POUDRE"	1830
"3400934323263"	"INTERFERON BETA-1A"	"INTERFERON BETA-1A"	"AVONEX"	"SOLUTION"	1038
"3400934323492"	"DIPYRIDAMOLE + ACIDE ACETYLSALICYLIQUE"	"ASSOCIATIONS"	"ASASANTINE"	"GELULE"	1455
"3400934324215"	"ASSOCIATIONS DE DIFFERENTS ANTIBIOTIQUES OPHTALMOLOGIE"	"ASSOCIATIONS DE DIFFERENTS ANTIBIOTIQUES EN OPHTALMOLOGIE"	"CEBEMYXINE"	"COLLYRE"	1352
"3400934326165"	"TROPICAMIDE"	"TROPICAMIDE"	"MYDRIATICUM"	"COLLYRE"	3152
"3400934329296"	"IRBESARTAN"	"IRBESARTAN"	"IRBESARTAN ARROW LAB"	"COMPRIME"	83
"3400934331138"	"OXYBUTYNINE"	"OXYBUTYNINE"	"OXYBUTYNINE EG"	"COMPRIME"	731
"3400934333729"	"AZITHROMYCINE"	"AZITHROMYCINE"	"AZADOSE"	"COMPRIME"	44
"3400934335501"	"BENZOYLE PEROXYDE"	"BENZOYLE PEROXYDE"	"PANNOGEL"	"GEL"	130
"3400934335679"	"BENZOYLE PEROXYDE"	"BENZOYLE PEROXYDE"	"PANNOGEL"	"GEL"	581
"3400934338113"	"SUMATRIPTAN"	"SUMATRIPTAN"	"IMIGRANE"	"SOLUTION"	1154
"3400934338342"	"SUMATRIPTAN"	"SUMATRIPTAN"	"IMIGRANE"	"SOLUTION"	253
"3400934340871"	"RANITIDINE"	"RANITIDINE"	"AZANTAC"	""	4
"3400934341243"	"RANITIDINE"	"RANITIDINE"	"AZANTAC"	""	20
"3400934341304"	"RANITIDINE"	"RANITIDINE"	"AZANTAC"	"COMPRIME"	90
"3400934343483"	"RANITIDINE"	"RANITIDINE"	"RANIPLEX"	"COMPRIME"	1
"3400934348518"	"CALCIUM + VITAMINE D3"	"CALCIUM EN ASSOCIATION AVEC VITAMINE D ET/OU AUTRES MEDICAMENTS"	"DENSICAL VITAMINE D3"	""	2
"3400934359743"	"SPIRAMYCINE"	"SPIRAMYCINE"	"ROVAMYCINE"	"COMPRIME"	850
"3400934361692"	"LOPERAMIDE"	"LOPERAMIDE"	"LOPERAMIDE TEVA"	"COMPRIME"	1105
"3400934362064"	"PIROXICAM"	"PIROXICAM"	"PROXALYOC"	""	920
"3400934362415"	"DICLOFENAC"	"DICLOFENAC"	"DICLOFENAC EG"	"COMPRIME"	1107
"3400934363306"	"SELEGILINE"	"SELEGILINE"	"SELEGILINE BIOGARAN"	""	28
"3400934364884"	"QUININE, QUINIDINE, CINCHONINE, CINCHONIDINE"	"QUININE, QUINIDINE, CINCHONINE, CINCHONIDINE"	"QUINIMAX"	"COMPRIME"	8
"3400934366147"	"CEFUROXIME"	"CEFUROXIME"	"ZINNAT"	"COMPRIME"	153
"3400934366376"	"CEFUROXIME"	"CEFUROXIME"	"CEFUROXIME BIOGARAN"	"COMPRIME"	837
"3400934368219"	"LEVODOPA, CARBIDOPA"	"LEVODOPA ET INHIBITEUR DE LA DECARBOXYLASE"	"CARBIDOPA LEVODOPA TEVA"	"COMPRIME"	81
"3400934368509"	"LEVODOPA, CARBIDOPA"	"LEVODOPA ET INHIBITEUR DE LA DECARBOXYLASE"	"CARBIDOPA LEVODOPA TEVA"	"COMPRIME"	438
"3400934368967"	"PROGESTERONE"	"PROGESTERONE"	"PROGESTERONE BESINS INTERNATIONAL"	""	40
"3400934369568"	"RANITIDINE"	"RANITIDINE"	"RANIPLEX"	"COMPRIME"	323
"3400934373299"	"ROXITHROMYCINE"	"ROXITHROMYCINE"	"RULID"	"COMPRIME"	426
"3400934373350"	"ROXITHROMYCINE"	"ROXITHROMYCINE"	"RULID"	"COMPRIME"	145
"3400934373640"	"DIDANOSINE"	"DIDANOSINE"	"VIDEX"	"COMPRIME"	5
"3400934373930"	"INSULINE LISPRO"	"INSULINE LISPRO"	"HUMALOG"	"SOLUTION"	781
"3400934375590"	"ECONAZOLE"	"ECONAZOLE"	"ECONAZOLE G GAM"	""	1
"3400934375651"	"ECONAZOLE"	"ECONAZOLE"	"ECONAZOLE G GAM"	"EMULSION"	1
"3400934376313"	"ADAPALENE"	"ADAPALENE"	"DIFFERINE"	"CREME"	4225
"3400934376542"	"NICOTINE"	"NICOTINE"	"NIQUITIN"	"DISPOSITIF"	1
"3400934376603"	"NICOTINE"	"NICOTINE"	"NIQUITIN"	"DISPOSITIF"	1
"3400934380563"	"CARTEOLOL"	"CARTEOLOL"	"CARTEOL"	"COLLYRE"	9
"3400934380792"	"CARTEOLOL"	"CARTEOLOL"	"CARTEOL"	"COLLYRE"	554
"3400934380914"	"CARTEOLOL"	"CARTEOLOL"	"CARTEOL"	"COLLYRE"	802
"3400934384066"	"LATANOPROST"	"LATANOPROST"	"XALATAN"	"COLLYRE"	19757
"3400934384127"	"LATANOPROST"	"LATANOPROST"	"XALATAN"	"COLLYRE"	4626
"3400934384417"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	8
"3400934384585"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	5
"3400934384646"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	10
"3400934384707"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"SOLVANT"	4
"3400934384875"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	5
"3400934384936"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	1
"3400934385186"	"SOMATROPINE"	"SOMATROPINE"	"GENOTONORM"	"POUDRE"	4
"3400934385247"	"DYDROGESTERONE, ESTRADIOL"	"DYDROGESTERONE ET ESTROGENE"	"CLIMASTON"	"COMPRIME"	1381
"3400934387258"	"MORPHINE"	"MORPHINE"	"ORAMORPH"	"SOLUTION"	215
"3400934387487"	"MORPHINE"	"MORPHINE"	"ORAMORPH"	"SOLUTION"	69
"3400934387609"	"MORPHINE"	"MORPHINE"	"ORAMORPH"	"SOLUTION"	2
"3400934388088"	"ONDANSETRON"	"ONDANSETRON"	"ZOPHREN"	"SUPPOSITOIRE"	52
"3400934391910"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE MYLAN"	"GELULE"	1
"3400934392511"	"AMOXICILLINE/ACIDE CLAVULANIQUE"	"AMOXICILLINE ET INHIBITEUR D'ENZYME"	"AUGMENTIN"	"POUDRE"	1766
"3400934392689"	"THIOCOLCHICOSIDE"	"THIOCOLCHICOSIDE"	"MYOPLEGE"	""	63
"3400934392979"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE EG"	"COMPRIME"	143
"3400934394232"	"NARATRIPTAN"	"NARATRIPTAN"	"NARAMIG"	"COMPRIME"	428
"3400934394461"	"ONDANSETRON"	"ONDANSETRON"	"ZOPHREN"	"LYOPHILISAT"	50
"3400934394522"	"ONDANSETRON"	"ONDANSETRON"	"ZOPHREN"	"LYOPHILISAT"	120
"3400934394812"	"ONDANSETRON"	"ONDANSETRON"	"ZOPHREN"	"LYOPHILISAT"	778
"3400934394980"	"ONDANSETRON"	"ONDANSETRON"	"ZOPHREN"	"LYOPHILISAT"	1268
"3400934398025"	"RISPERIDONE"	"RISPERIDONE"	"RISPERDAL"	"SOLUTION"	370
"3400934398193"	"RISPERIDONE"	"RISPERIDONE"	"RISPERDAL"	"SOLUTION"	849
"3400934398483"	"RISPERIDONE"	"RISPERIDONE"	"RISPERDAL"	"SOLUTION"	355
"3400934400247"	"IRBESARTAN"	"IRBESARTAN"	"IRBESARTAN ARROW LAB"	"COMPRIME"	35
"3400934405969"	"DICLOFENAC"	"DICLOFENAC"	"DICLOFENAC ARROW"	"GEL"	2347
"3400934407512"	"RITONAVIR"	"RITONAVIR"	"NORVIR"	"COMPRIME"	4214
"3400934408571"	"METOCLOPRAMIDE"	"METOCLOPRAMIDE"	"PRIMPERAN"	""	116
"3400934408632"	"METOCLOPRAMIDE"	"METOCLOPRAMIDE"	"PRIMPERAN"	""	180
"3400934410413"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANSOPRAZOLE ACTAVIS"	"GELULE"	13
"3400934410642"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANSOPRAZOLE ACTAVIS"	"GELULE"	44
"3400934410932"	"MORPHINE"	"MORPHINE"	"MORPHINE LAVOISIER"	"SOLUTION"	168
"3400934415555"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANSOPRAZOLE ACTAVIS"	""	5
"3400934415784"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANSOPRAZOLE ACTAVIS"	""	60
"3400934416446"	"PRAVASTATINE"	"PRAVASTATINE"	"PRAVASTATINE ACCORD"	"COMPRIME"	7
"3400934419409"	"CIPROFLOXACINE"	"CIPROFLOXACINE"	"CIFLOX"	"GRANULES"	122
"3400934423079"	"COLECALCIFEROL"	"COLECALCIFEROL"	"ADRIGYL"	"SOLUTION"	183
"3400934424021"	"MACROGOL EN ASSOCIATION"	"MACROGOL EN ASSOCIATION"	"TRANSIPEG"	"POUDRE"	19371
"3400934424779"	"MESALAZINE"	"MESALAZINE"	"PENTASA"	"GRANULES"	805
"3400934426551"	"ATENOLOL"	"ATENOLOL"	"TENORMINE"	""	6
"3400934427381"	"RISPERIDONE"	"RISPERIDONE"	"RISPERDAL"	"COMPRIME"	828
"3400934428043"	"CALCIUM + VITAMINE D3"	"CALCIUM EN ASSOCIATION AVEC VITAMINE D ET/OU AUTRES MEDICAMENTS"	"OROCAL VITAMINE D3"	"COMPRIME"	20702
"3400934428272"	"CLONAZEPAM"	"CLONAZEPAM"	"RIVOTRIL"	"SOLUTION"	51
"3400934429804"	"PROGUANIL + ATOQUAVONE"	"PROGUANIL EN ASSOCIATION"	"MALARONE"	"COMPRIME"	6
"3400934429972"	"DEXAMETHASONE ET ANTIINFECTIEUX"	"DEXAMETHASONE ET ANTIINFECTIEUX"	"TOBRADEX"	"COLLYRE"	14849
"3400934430572"	"INSULINE LISPRO"	"INSULINE LISPRO"	"HUMALOG"	"SOLUTION"	99
"3400934432125"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE MYLAN"	"GELULE"	143
"3400934432644"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE"	"ISOSORBIDE DINITRATE MYLAN"	""	46
"3400934433306"	"DOXYCYCLINE"	"DOXYCYCLINE"	"GRANUDOXY"	"COMPRIME"	12
"3400934433474"	"DOXYCYCLINE"	"DOXYCYCLINE"	"GRANUDOXY"	"COMPRIME"	206
"3400934433535"	"DOXYCYCLINE"	"DOXYCYCLINE"	"GRANUDOXY"	"COMPRIME"	2874
"3400934433825"	"AMOXICILLINE"	"AMOXICILLINE"	"AMODEX"	"COMPRIME"	1242
"3400934433993"	"AMOXICILLINE"	"AMOXICILLINE"	"AMODEX"	"COMPRIME"	663
"3400934436147"	"VERAPAMIL"	"VERAPAMIL"	"VERAPAMIL TEVA"	"COMPRIME"	724
"3400934436376"	"CARBAMAZEPINE"	"CARBAMAZEPINE"	"CARBAMAZEPINE SANDOZ"	"COMPRIME"	777
"3400934436895"	"CARBAMAZEPINE"	"CARBAMAZEPINE"	"CARBAMAZEPINE SANDOZ"	"COMPRIME"	990
"3400934438738"	"SALBUTAMOL"	"SALBUTAMOL"	"VENTOLINE"	"SUSPENSION"	112342
"3400934444470"	"KETOPROFENE"	"KETOPROFENE"	"KETUM"	"GEL"	2
"3400934444760"	"KETOPROFENE"	"KETOPROFENE"	"KETUM"	"GEL"	9545
"3400934446023"	"SODIUM CHLORURE"	"ELECTROLYTES"	"SODIUM CHLORURE FRESENIUS"	""	1
"3400934449093"	"DONEPEZIL"	"DONEPEZIL"	"ARICEPT"	"COMPRIME"	1234
"3400934449505"	"DONEPEZIL"	"DONEPEZIL"	"ARICEPT"	"COMPRIME"	4296
"3400934450853"	"AMOXICILLINE/ACIDE CLAVULANIQUE"	"AMOXICILLINE ET INHIBITEUR D'ENZYME"	"AUGMENTIN"	"POUDRE"	765
"3400934451164"	"AMOXICILLINE/ACIDE CLAVULANIQUE"	"AMOXICILLINE ET INHIBITEUR D'ENZYME"	"AUGMENTIN"	"POUDRE"	1472
"3400934453984"	"ZOLMITRIPTAN"	"ZOLMITRIPTAN"	"ZOMIG"	"COMPRIME"	409
"3400934454127"	"MIRTAZAPINE"	"MIRTAZAPINE"	"NORSET"	"COMPRIME"	3405
"3400934455186"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"OGAST"	"GELULE"	2998
"3400934455247"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"OGAST"	"GELULE"	12
"3400934455827"	"PANTOPRAZOLE"	"PANTOPRAZOLE"	"EUPANTOL"	""	19
"3400934456138"	"TENOXICAM"	"TENOXICAM"	"TILCOTIL"	"COMPRIME"	4472
"3400934458088"	"MANNITOL"	"MANNITOL"	"MANNITOL AGUETTANT"	""	17
"3400934464171"	"CHLORHEXIDINE"	"CHLORHEXIDINE"	"PAROEX"	"SOLUTION"	26365
"3400934464751"	"TAZAROTENE"	"TAZAROTENE"	"ZORAC"	""	9
"3400934465062"	"TAZAROTENE"	"TAZAROTENE"	"ZORAC"	"GEL"	20
"3400934465352"	"TAZAROTENE"	"TAZAROTENE"	"ZORAC"	""	8
"3400934465642"	"TAZAROTENE"	"TAZAROTENE"	"ZORAC"	"GEL"	28
"3400934466304"	"SPIRONOLACTONE"	"SPIRONOLACTONE"	"ALDACTONE"	"COMPRIME"	5639
"3400934466823"	"ESTRADIOL"	"ESTRADIOL"	"OESCLIM"	"DISPOSITIF"	1106
"3400934472916"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE RPG"	""	1
"3400934473975"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE MERCK"	"COMPRIME"	15
"3400934474347"	"RANITIDINE"	"RANITIDINE"	"RANITIDINE MERCK"	"COMPRIME"	16
"3400934475528"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANZOR"	""	2
"3400934475696"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANZOR"	"GELULE"	2017
"3400934475818"	"PANTOPRAZOLE"	"PANTOPRAZOLE"	"INIPOMP"	"COMPRIME"	109
"3400934483561"	"LAMOTRIGINE"	"LAMOTRIGINE"	"LAMICTAL"	"COMPRIME"	290
"3400934499760"	"DEXTROPROPOXYPHENE + PARACETAMOL"	"DEXTROPROPOXYPHENE EN ASSOCIATION SAUF AUX PSYCHOLEPTIQUES"	"DIALGIREX"	"GELULE"	2959
"3400934499821"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"LARMES ARTIFICIELLES ET DIVERSES AUTRES PREPARATIONS"	"NUTRIVISC"	"COLLYRE"	784
"3400934502064"	"ITRACONAZOLE"	"ITRACONAZOLE"	"SPORANOX"	"SOLUTION"	55
"3400934502125"	"CEFADROXIL"	"CEFADROXIL"	"CEFADROXIL MYLAN"	"GELULE"	293
"3400934503535"	"AMOXICILLINE/ACIDE CLAVULANIQUE"	"AMOXICILLINE ET INHIBITEUR D'ENZYME"	"CIBLOR"	""	1
"3400934503764"	"AMOXICILLINE/ACIDE CLAVULANIQUE"	"AMOXICILLINE ET INHIBITEUR D'ENZYME"	"CIBLOR"	""	1
"3400934505317"	"FLUOXETINE"	"FLUOXETINE"	"PROZAC"	"COMPRIME"	3223
"3400934507038"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"PRETERAX"	"COMPRIME"	9
"3400934507328"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"BIPRETERAX"	"COMPRIME"	7
"3400934507786"	"PARACETAMOL"	"PARACETAMOL"	"DOLIPRANE"	"GELULE"	33184
"3400934508677"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"PERINDOPRIL/INDAPAMIDE BIOGARAN"	"COMPRIME"	1189
"3400934508967"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"PERINDOPRIL/INDAPAMIDE BIOGARAN"	"COMPRIME"	381
"3400934509100"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"PERINDOPRIL/INDAPAMIDE BIOGARAN"	"COMPRIME"	1666
"3400934509339"	"PERINDOPRIL + INDAPAMIDE"	"PERINDOPRIL ET DIURETIQUES"	"PERINDOPRIL/INDAPAMIDE BIOGARAN"	"COMPRIME"	517
"3400934509858"	"ETIDRONIQUE ACIDE"	"ETIDRONIQUE ACIDE"	"DIDRONEL"	"COMPRIME"	18
"3400934521393"	"BUMETANIDE"	"BUMETANIDE"	"BURINEX"	"COMPRIME"	1561
"3400934534812"	"ASSOCIATIONS ANTITUSSIVES"	"ASSOCIATIONS ANTITUSSIVES"	"DIMETANE"	""	4
"3400934535932"	"CAFEINE"	"CAFEINE"	"CAFEINE COOPER"	"SOLUTION"	69
"3400934539725"	"METHOTREXATE"	"METHOTREXATE"	"METHOTREXATE BELLON"	""	92
"3400934541445"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"NISISCO"	"COMPRIME"	1
"3400934542916"	"PARACETAMOL"	"PARACETAMOL"	"PARACETAMOL RPG"	"GELULE"	3
"3400934543456"	"PARACETAMOL"	"PARACETAMOL"	"PARACETAMOL RPG"	"COMPRIME"	101
"3400934543807"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL MYLAN"	"COMPRIME"	14118
"3400934543975"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL MYLAN"	"COMPRIME"	15410
"3400934544057"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL MYLAN"	"COMPRIME"	5882
"3400934544118"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL RPG"	"COMPRIME"	38
"3400934544286"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL RPG"	"COMPRIME"	58
"3400934544408"	"AMIODARONE"	"AMIODARONE"	"AMIODARONE MERCK"	"COMPRIME"	10779
"3400934544576"	"AMIODARONE"	"AMIODARONE"	"AMIODARONE MYLAN"	"COMPRIME"	43
"3400934544927"	"FEXOFENADINE"	"FEXOFENADINE"	"TELFAST"	"COMPRIME"	795
"3400934545467"	"FEXOFENADINE"	"FEXOFENADINE"	"TELFAST"	"COMPRIME"	2422
"3400934545818"	"FEXOFENADINE"	"FEXOFENADINE"	"FEXOFENADINE ZENTIVA"	"COMPRIME"	351
"3400934546297"	"FEXOFENADINE"	"FEXOFENADINE"	"FEXOFENADINE ZENTIVA"	"COMPRIME"	1739
"3400934546648"	"TOLCAPONE"	"TOLCAPONE"	"TASMAR"	"COMPRIME"	66
"3400934547300"	"BRIMONIDINE"	"BRIMONIDINE"	"ALPHAGAN"	"COLLYRE"	4075
"3400934548420"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"OGAST"	"GELULE"	2332
"3400934549021"	"LANSOPRAZOLE"	"LANSOPRAZOLE"	"LANZOR"	"GELULE"	1672
"3400934549311"	"DOXYCYCLINE"	"DOXYCYCLINE"	"DOXY"	"COMPRIME"	29
"3400934549540"	"DOXYCYCLINE"	"DOXYCYCLINE"	"DOXY"	"COMPRIME"	531
"3400934549779"	"DOXYCYCLINE"	"DOXYCYCLINE"	"DOXY"	"COMPRIME"	65
"3400934549830"	"DOXYCYCLINE"	"DOXYCYCLINE"	"DOXY"	"COMPRIME"	1118
