code	termino	synonyme	"synonyme"
DB03038	drugbank	LY341770	"ly341770"
DB03039	drugbank	4-(Aminosulfonyl)-N-[(2,5-Difluorophenyl)Methyl]-Benzamide	"4 aminosulfonyl n 2 5 difluorophenyl methyl benzamide"
DB03040	drugbank	Nitrilotriacetic Acid	"nitrilotriacetic acid"
DB03041	drugbank	UDP-alpha-D-glucuronic acid	"udp alpha d glucuronic acid"
DB03042	drugbank	5-Phosphoarabinonic Acid	"5 phosphoarabinonic acid"
DB03043	drugbank	(S)-2-Amino-3-(6h-Selenolo[2,3-B]-Pyrrol-4-Yl)-Propionic Acid	" s 2 amino 3 6h selenolo 2 3 b pyrrol 4 yl propionic acid"
DB03044	drugbank	1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea	"1 5 tert butyl 2 p tolyl 2h pyrazol 3 yl 3 4 2 morpholin 4 yl ethoxy naphthalen 1 yl urea"
DB03045	drugbank	Pantothenyl-Aminoethanol-Acetate Pivalic Acid	"pantothenyl aminoethanol acetate pivalic acid"
DB03046	drugbank	7-Methoxy-8-[1-(Methylsulfonyl)-1h-Pyrazol-4-Yl]Naphthalene-2-Carboximidamide	"7 methoxy 8 1 methylsulfonyl 1h pyrazol 4 yl naphthalene 2 carboximidamide"
DB03047	drugbank	L-Alpha-Phosphatidyl-Beta-Oleoyl-Gamma-Palmitoyl-Phosphatidylethanolamine	"l alpha phosphatidyl beta oleoyl gamma palmitoyl phosphatidylethanolamine"
DB03048	drugbank	6-Carboxymethyluracil	"6 carboxymethyluracil"
DB03049	drugbank	S-Selanyl Cysteine	"s selanyl cysteine"
DB03051	drugbank	Tetrahydrofuran-2-Carboxylic Acid	"tetrahydrofuran 2 carboxylic acid"
DB03052	drugbank	Dazoxiben	"dazoxiben"
DB03053	drugbank	1-Aminocyclopropylphosphonate	"1 aminocyclopropylphosphonate"
DB03054	drugbank	Tribromomethane	"tribromomethane"
DB03056	drugbank	4-Piperidino-Piperidine	"4 piperidino piperidine"
DB03057	drugbank	Malonaldehyde	"malonaldehyde"
DB03058	drugbank	2-Aminobenzyl alcohol	"2 aminobenzyl alcohol"
DB03059	drugbank	Acetoacetyl-Coenzyme A	"acetoacetyl coenzyme a"
DB03060	drugbank	Sri-9662	"sri 9662"
DB03061	drugbank	(R)-N-(1-Methyl-Hexyl)-Formamide	" r n 1 methyl hexyl formamide"
DB03062	drugbank	(1-Methyl-1h-Imidazol-2-Yl)-(3-Methyl-4-{3-[(Pyridin-3-Ylmethyl)-Amino]-Propoxy}-Benzofuran-2-Yl)-Methanone	" 1 methyl 1h imidazol 2 yl 3 methyl 4 3 pyridin 3 ylmethyl amino propoxy benzofuran 2 yl methanone"
DB03063	drugbank	N-(1-Benzyl-3-{[3-(1,3-Dioxo-1,3-Dihydro-Isoindol-2-Yl)-Propionyl]-[2-(Hexahydro-Benzo[1,3]Dioxol-5-Yl)-Ethyl]-Amino}-2-Hydroxy-Propyl)-4-Benzyloxy-3,5-Dimethoxy-Benzamide	"n 1 benzyl 3 3 1 3 dioxo 1 3 dihydro isoindol 2 yl propionyl 2 hexahydro benzo 1 3 dioxol 5 yl ethyl amino 2 hydroxy propyl 4 benzyloxy 3 5 dimethoxy benzamide"
DB03064	drugbank	3-Decyl-2,5-Dioxo-4-Hydroxy-3-Pyrroline	"3 decyl 2 5 dioxo 4 hydroxy 3 pyrroline"
DB03065	drugbank	7-Nitroindazole-2-Carboxamidine	"7 nitroindazole 2 carboxamidine"
DB03066	drugbank	D-Lactic Acid	"d lactic acid"
DB03067	drugbank	4-{2,4-Bis[(3-Nitrobenzoyl)Amino]Phenoxy}Phthalic Acid	"4 2 4 bis 3 nitrobenzoyl amino phenoxy phthalic acid"
DB03068	drugbank	Zebularine	"zebularine"
DB03069	drugbank	Cytidine-5'-Diphospho-Beta-D-Xylose	"cytidine 5 diphospho beta d xylose"
DB03070	drugbank	Selenazole-4-Carboxyamide-Adenine Dinucleotide	"selenazole 4 carboxyamide adenine dinucleotide"
DB03071	drugbank	4-Methylidene-5-One	"4 methylidene 5 one"
DB03072	drugbank	2-{3-[4-(4-Fluorophenyl)-3,6-Dihydro-1(2h)-Pyridinyl]Propyl}-8-Methyl-4(3h)-Quinazolinone	"2 3 4 4 fluorophenyl 3 6 dihydro 1 2h pyridinyl propyl 8 methyl 4 3h quinazolinone"
DB03073	drugbank	3-Methoxybenzamide	"3 methoxybenzamide"
DB03074	drugbank	7-Deaza-7-Cyano-Guanine	"7 deaza 7 cyano guanine"
DB03075	drugbank	(Diphosphono)Aminophosphonic Acid	" diphosphono aminophosphonic acid"
DB03076	drugbank	AHA047	"aha047"
DB03077	drugbank	3-Amino-4-{3-[2-(2-Propoxy-Ethoxy)-Ethoxy]-Propylamino}-Cyclobut-3-Ene-1,2-Dione	"3 amino 4 3 2 2 propoxy ethoxy ethoxy propylamino cyclobut 3 ene 1 2 dione"
DB03078	drugbank	PASBN	"pasbn"
DB03079	drugbank	Alpha-Ribazole-5'-Phosphate Derivative	"alpha ribazole 5 phosphate derivative"
DB03080	drugbank	17-Dmag	"17 dmag"
DB03081	drugbank	Crc200 (Chiron-Behring)	"crc200 chiron behring "
DB03082	drugbank	6-[(Z)-Amino(Imino)Methyl]-N-[4-(Aminomethyl)Phenyl]-4-(Pyrimidin-2-Ylamino)-2-Naphthamide	"6 z amino imino methyl n 4 aminomethyl phenyl 4 pyrimidin 2 ylamino 2 naphthamide"
DB03083	drugbank	IC261	"ic261"
DB03084	drugbank	Cyclopropyl-{4-[5-(3,4-Dichlorophenyl)-2-[(1-Methyl)-Piperidin]-4-Yl-3-Propyl-3h-Imidazol-4-Yl]-Pyrimidin-2-Yl}Amine	"cyclopropyl 4 5 3 4 dichlorophenyl 2 1 methyl piperidin 4 yl 3 propyl 3h imidazol 4 yl pyrimidin 2 yl amine"
DB03085	drugbank	Hydroxyacetic Acid	"hydroxyacetic acid"
DB03086	drugbank	N'-(2s,3r)-3-Amino-4-Cyclohexyl-2-Hydroxy-Butano-N-(4-Methylphenyl)Hydrazide	"n 2s 3r 3 amino 4 cyclohexyl 2 hydroxy butano n 4 methylphenyl hydrazide"
DB03087	drugbank	2-(Sec-Butyl)Thiazole	"2 sec butyl thiazole"
DB03088	drugbank	Pyroglutamic Acid	"pyroglutamic acid"
DB03089	drugbank	L-Iso-Aspartate	"l iso aspartate"
DB03090	drugbank	Ethylaminobenzylmethylcarbonyl Group	"ethylaminobenzylmethylcarbonyl group"
DB03091	drugbank	4-Amido-4-Carbamoyl-Butyric Acid	"4 amido 4 carbamoyl butyric acid"
DB03092	drugbank	5-Hydroxymethyl-Chonduritol	"5 hydroxymethyl chonduritol"
DB03093	drugbank	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9h-Purin-6-Ylamine	"8 2 5 dimethoxy benzyl 2 fluoro 9h purin 6 ylamine"
DB03094	drugbank	3,5-Dihydro-5-Methylidene-4h-Imidazol-4-On	"3 5 dihydro 5 methylidene 4h imidazol 4 on"
DB03095	drugbank	Tetramethylammonium Ion	"tetramethylammonium ion"
DB03096	drugbank	N-Aminoethylmorpholine	"n aminoethylmorpholine"
DB03097	drugbank	Pmp-Hydroxyisoxazole, Pyridoxamine-5-Phosphate-Hydroxyisoxazole	"pmp hydroxyisoxazole pyridoxamine 5 phosphate hydroxyisoxazole"
DB03098	drugbank	[Methylseleno]Acetate	" methylseleno acetate"
DB03099	drugbank	5-Amino 6-Nitro Uracil	"5 amino 6 nitro uracil"
DB03100	drugbank	6-Nitroindazole	"6 nitroindazole"
DB03101	drugbank	Ribose-1-Phosphate	"ribose 1 phosphate"
DB03102	drugbank	2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid	"2 oxalyl amino 4 7 dihydro 5h thieno 2 3 c pyran 3 carboxylic acid"
DB03103	drugbank	Thymidine-5'- Diphosphate	"thymidine 5 diphosphate"
DB03104	drugbank	RU82129	"ru82129"
DB03105	drugbank	5-Hydroxy Norvaline	"5 hydroxy norvaline"
DB03106	drugbank	Myo-Inositol	"myo inositol"
DB03107	drugbank	Beta-Alanine	"beta alanine"
DB03108	drugbank	4-Phospho-D-Erythronate	"4 phospho d erythronate"
DB03109	drugbank	N-Acetyl-D-Allosamine	"n acetyl d allosamine"
DB03110	drugbank	2-Chlorophenol	"2 chlorophenol"
DB03111	drugbank	Glucosamine 1-Phosphate	"glucosamine 1 phosphate"
DB03112	drugbank	6-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Hexanoic Acid	"6 2 oxo hexahydro thieno 3 4 d imidazol 4 yl hexanoic acid"
DB03113	drugbank	3-Fluoro-2-(Phosphonooxy)Propanoic Acid	"3 fluoro 2 phosphonooxy propanoic acid"
DB03114	drugbank	PAS219	"pas219"
DB03115	drugbank	5-Bromo-N-(2,3-Dihydroxypropoxy)-3,4-Difluoro-2-[(2-Fluoro-4-Iodophenyl)Amino]Benzamide	"5 bromo n 2 3 dihydroxypropoxy 3 4 difluoro 2 2 fluoro 4 iodophenyl amino benzamide"
DB03116	drugbank	5-(1-Carboxy-1-Phosphonooxy-Ethoxyl)-Shikimate-3-Phosphate	"5 1 carboxy 1 phosphonooxy ethoxyl shikimate 3 phosphate"
DB03117	drugbank	2-Carboxypropyl-Coenzyme A	"2 carboxypropyl coenzyme a"
DB03118	drugbank	1-(5-Chloroindol-3-Yl)-3-Hydroxy-3-(2h-Tetrazol-5-Yl)-Propenone	"1 5 chloroindol 3 yl 3 hydroxy 3 2h tetrazol 5 yl propenone"
DB03120	drugbank	Para-Toluene Sulfonate	"para toluene sulfonate"
DB03121	drugbank	1-Benzyl-5-Methoxy-2-Methyl-1h-Indol-3-Yl)-Acetic Acid	"1 benzyl 5 methoxy 2 methyl 1h indol 3 yl acetic acid"
DB03124	drugbank	5-[4-(1-Carboxymethyl-2-Oxo-Propylcarbamoyl)-Benzylsulfamoyl]-2-Hydroxy-Benzoic Acid	"5 4 1 carboxymethyl 2 oxo propylcarbamoyl benzylsulfamoyl 2 hydroxy benzoic acid"
DB03125	drugbank	2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium	"2 4 diamino 5 3 4 5 trimethoxy benzyl pyrimidin 1 ium"
DB03126	drugbank	Mant-Adp	"mant adp"
DB03127	drugbank	Benzamidine	"benzamidine"
DB03128	drugbank	Acetylcholine	"acetylcholine"
DB03129	drugbank	[3-(1,3,2-Dioxaborolan-2-Yloxy)Propyl]Guanidine	" 3 1 3 2 dioxaborolan 2 yloxy propyl guanidine"
DB03130	drugbank	S-P-Nitrobenzyloxycarbonylglutathione	"s p nitrobenzyloxycarbonylglutathione"
DB03132	drugbank	3-(2-Benzothiazolylthio)-1-Propanesulfonic Acid	"3 2 benzothiazolylthio 1 propanesulfonic acid"
DB03133	drugbank	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,2,3-Benzimidazole	"2 beta d glucopyranosyl 5 methyl 1 2 3 benzimidazole"
DB03134	drugbank	2-Aminopimelic Acid	"2 aminopimelic acid"
DB03135	drugbank	[2(Formyl-Hydroxy-Amino)-Ethyl]-Phosphonic Acid	" 2 formyl hydroxy amino ethyl phosphonic acid"
DB03136	drugbank	4-Iodobenzo[B]Thiophene-2-Carboxamidine	"4 iodobenzo b thiophene 2 carboxamidine"
DB03137	drugbank	8-(2,5-Dimethoxy-Benzyl)-2-Fluoro-9-Pent-9h-Purin-6-Ylamine	"8 2 5 dimethoxy benzyl 2 fluoro 9 pent 9h purin 6 ylamine"
DB03138	drugbank	Perchlorate Ion	"perchlorate ion"
DB03139	drugbank	6-[5-(2-Oxo-Hexahydro-Thieno[3,4-D]Imidazol-4-Yl)-Pentanoylamino]-Hexanoic Acid	"6 5 2 oxo hexahydro thieno 3 4 d imidazol 4 yl pentanoylamino hexanoic acid"
DB03140	drugbank	4-Carboxyphenylboronic Acid	"4 carboxyphenylboronic acid"
DB03141	drugbank	3-({5-Benzyl-6-Hydroxy-2,4-Bis-(4-Hydroxy-Benzyl)-3-Oxo-[1,2,4]-Triazepane-1-Sulfonyl)-Benzonitrile	"3 5 benzyl 6 hydroxy 2 4 bis 4 hydroxy benzyl 3 oxo 1 2 4 triazepane 1 sulfonyl benzonitrile"
DB03142	drugbank	Alpha-L-Arabinose	"alpha l arabinose"
DB03143	drugbank	Nonan-1-Ol	"nonan 1 ol"
DB03144	drugbank	N-Omega-Hydroxy-L-Arginine	"n omega hydroxy l arginine"
DB03145	drugbank	4-Methyl-5-Hydroxyethylthiazole Phosphate	"4 methyl 5 hydroxyethylthiazole phosphate"
DB03146	drugbank	2-Deazo-6-Thiophosphate Guanosine-5'-Monophosphate	"2 deazo 6 thiophosphate guanosine 5 monophosphate"
DB03147	drugbank	Flavin adenine dinucleotide	"flavin adenine dinucleotide"
DB03148	drugbank	Phosphomethylphosphonic Acid Adenosyl Ester	"phosphomethylphosphonic acid adenosyl ester"
DB03149	drugbank	Phenylalanylmethane	"phenylalanylmethane"
DB03150	drugbank	2',3'-Dideoxythymidine-5'-Monophosphate	"2 3 dideoxythymidine 5 monophosphate"
DB03151	drugbank	(Mu-4-Sulfido)-Tetra-Nuclear Copper Ion	" mu 4 sulfido tetra nuclear copper ion"
DB03152	drugbank	B-2-Octylglucoside	"b 2 octylglucoside"
DB03153	drugbank	3h-Pyrazolo[4,3-D]Pyrimidin-7-Ol	"3h pyrazolo 4 3 d pyrimidin 7 ol"
DB03154	drugbank	{[7-(Difluoro-Phosphono-Methyl)-Naphthalen-2-Yl]-Difluoro-Methyl}-Phosphonic Acid	" 7 difluoro phosphono methyl naphthalen 2 yl difluoro methyl phosphonic acid"
DB03155	drugbank	1-(2-Deoxy-2-Fluoro-3-O-Phosphono-Beta-L-Ribofuranosyl)Pyrimidine-2,4(1h,3h)-Dione	"1 2 deoxy 2 fluoro 3 o phosphono beta l ribofuranosyl pyrimidine 2 4 1h 3h dione"
DB03156	drugbank	D-Glucuronic Acid	"d glucuronic acid"
DB03157	drugbank	N,O-Didansyl-L-Tyrosine	"n o didansyl l tyrosine"
DB03158	drugbank	D-Myo-Inositol-1,4-Bisphosphate	"d myo inositol 1 4 bisphosphate"
DB03159	drugbank	CRA_8696	"cra 8696"
DB03160	drugbank	N-Pyridoxyl-7-Keto-8-Aminopelargonic Acid-5'-Monophosphate	"n pyridoxyl 7 keto 8 aminopelargonic acid 5 monophosphate"
DB03161	drugbank	Thymidine-5'-Diphospho-Beta-D-Xylose	"thymidine 5 diphospho beta d xylose"
DB03162	drugbank	4-Hydroxy-1,2,5-Thiadiazole-3-Carboxylic Acid	"4 hydroxy 1 2 5 thiadiazole 3 carboxylic acid"
DB03163	drugbank	(2-[2-Ketopropylthio]Ethanesulfonate	" 2 2 ketopropylthio ethanesulfonate"
DB03164	drugbank	6-Amino-1-Methylpurine	"6 amino 1 methylpurine"
DB03165	drugbank	2-Dimethylamino-Ethyl-Diphosphate	"2 dimethylamino ethyl diphosphate"
DB03166	drugbank	Acetic acid	"acetic acid"
DB03167	drugbank	Pentabromophenol	"pentabromophenol"
DB03168	drugbank	Nicotinamide Adenine Dinucleotide Cyclohexanone	"nicotinamide adenine dinucleotide cyclohexanone"
DB03169	drugbank	(S)-Hmg-Coa	" s hmg coa"
DB03170	drugbank	Dephospho Coenzyme A	"dephospho coenzyme a"
DB03171	drugbank	Indole-3-Propanol Phosphate	"indole 3 propanol phosphate"
DB03172	drugbank	Tubercidin	"tubercidin"
DB03173	drugbank	CRA_10433	"cra 10433"
DB03174	drugbank	Phosphonoacetaldehyde	"phosphonoacetaldehyde"
DB03175	drugbank	1-Proponol	"1 proponol"
DB03176	drugbank	3,5-Dichloro-4-[(4-Hydroxy-3-Isopropylphenoxy)Phenylacetic Acid	"3 5 dichloro 4 4 hydroxy 3 isopropylphenoxy phenylacetic acid"
DB03177	drugbank	5-methylbenzimidazole	"5 methylbenzimidazole"
DB03178	drugbank	Guanosine-2',3'-Cyclophosphorothioate	"guanosine 2 3 cyclophosphorothioate"
DB03179	drugbank	Sinapoyl Coenzyme A	"sinapoyl coenzyme a"
DB03180	drugbank	4,5-Dimethyl-1,2-Phenylenediamine	"4 5 dimethyl 1 2 phenylenediamine"
DB03181	drugbank	2-[4-(4-Hydroxy-3-Isopropyl-Phenoxy)-3,5-Dimethyl-Phenyl]-2h-[1,2,4]Triazine-3,5-Dione	"2 4 4 hydroxy 3 isopropyl phenoxy 3 5 dimethyl phenyl 2h 1 2 4 triazine 3 5 dione"
DB03182	drugbank	Alpha-Fluoro-Carboxymethyldethia Coenzyme a Complex	"alpha fluoro carboxymethyldethia coenzyme a complex"
DB03183	drugbank	1-(4-Aminophenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester	"1 4 aminophenyl 3 5 dimethyl 1h pyrazole 4 carboxylic acid ethyl ester"
DB03184	drugbank	5-Amino-3-Methyl-Pyrrolidine-2-Carboxylic Acid	"5 amino 3 methyl pyrrolidine 2 carboxylic acid"
DB03185	drugbank	1-Beta-Ribofuranosyl-1,3-Diazepinone	"1 beta ribofuranosyl 1 3 diazepinone"
DB03186	drugbank	U-Pi-a-Pi	"u pi a pi"
DB03187	drugbank	6-(Hydroxyethyldithio)-8-(Aminomethylthio)Octanoic Acid	"6 hydroxyethyldithio 8 aminomethylthio octanoic acid"
DB03188	drugbank	4-Thio-Beta-D-Glucopyranose	"4 thio beta d glucopyranose"
DB03189	drugbank	Cu-Cyclam	"cu cyclam"
DB03190	drugbank	N-Octanoyl-B-D-Fructofuranosyl-a-D-Glucopyranoside,Sucrose Monocaproylate	"n octanoyl b d fructofuranosyl a d glucopyranoside sucrose monocaproylate"
DB03191	drugbank	3-Oxiran-2ylalanine	"3 oxiran 2ylalanine"
DB03192	drugbank	3r-Hydroxydecanoyl-Coa	"3r hydroxydecanoyl coa"
DB03193	drugbank	Stearic acid	"stearic acid"
DB03194	drugbank	Beta-L-Methyl-Fucose	"beta l methyl fucose"
DB03195	drugbank	Phosphoric Acid Mono-[3-Fluoro-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahyro-Furan-2-Ylmethyl] Ester	"phosphoric acid mono 3 fluoro 5 5 methyl 2 4 dioxo 3 4 dihydro 2h pyrimidin 1 yl tetrahyro furan 2 ylmethyl ester"
DB03196	drugbank	4-Nitrophenyl-Ara	"4 nitrophenyl ara"
DB03197	drugbank	6-Hydroxymethylpterin	"6 hydroxymethylpterin"
DB03198	drugbank	Thio-Maltohexaose	"thio maltohexaose"
DB03199	drugbank	4-Methoxy-E-Rhodomycin T	"4 methoxy e rhodomycin t"
DB03200	drugbank	7-Alpha-D-Ribofuranosyl-Purine-5'-Phosphate	"7 alpha d ribofuranosyl purine 5 phosphate"
DB03201	drugbank	D-Cysteine	"d cysteine"
DB03202	drugbank	2-[5-Methanesulfonylamino-2-(4-Aminophenyl)-6-Oxo-1,6-Dihydro-1-Pyrimidinyl]-N-(3,3,3-Trifluoro-1-Isopropyl-2-Oxopropyl)Acetamide	"2 5 methanesulfonylamino 2 4 aminophenyl 6 oxo 1 6 dihydro 1 pyrimidinyl n 3 3 3 trifluoro 1 isopropyl 2 oxopropyl acetamide"
DB03203	drugbank	Sphingosine	"sphingosine"
DB03204	drugbank	5-(Aminomethyl)-2-Methylpyrimidin-4-Amine	"5 aminomethyl 2 methylpyrimidin 4 amine"
DB03205	drugbank	Pyrroloquinoline Quinone	"pyrroloquinoline quinone"
DB03206	drugbank	Duvoglustat	"duvoglustat"
DB03207	drugbank	2-(Biphenyl-4-Sulfonyl)-1,2,3,4-Tetrahydro-Isoquinoline-3-Carboxylic Acid	"2 biphenyl 4 sulfonyl 1 2 3 4 tetrahydro isoquinoline 3 carboxylic acid"
DB03208	drugbank	Beta-1,2,3,4,6-Penta-O-Galloyl-D-Glucopyranose	"beta 1 2 3 4 6 penta o galloyl d glucopyranose"
DB03209	drugbank	Oteracil	"oteracil"
DB03210	drugbank	4-Aminohydrocinnamic Acid	"4 aminohydrocinnamic acid"
DB03211	drugbank	(3-Formyl-but-3-Enyl)-Phosphonic Acid	" 3 formyl but 3 enyl phosphonic acid"
DB03212	drugbank	4-Deoxyglucarate	"4 deoxyglucarate"
DB03213	drugbank	Bis(5-Amidino-2-Benzimidazolyl)Methane Ketone	"bis 5 amidino 2 benzimidazolyl methane ketone"
DB03214	drugbank	Vinylglycine	"vinylglycine"
DB03215	drugbank	(2s,5s)-5-Carboxymethylproline	" 2s 5s 5 carboxymethylproline"
DB03216	drugbank	(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine	" 1 r 2 s 9 2 hydroxy 3 keto cyclopenten 1 yl adenine"
DB03217	drugbank	DPI59	"dpi59"
DB03218	drugbank	N-Acetyl-N'-Beta-D-Glucopyranosyl Urea	"n acetyl n beta d glucopyranosyl urea"
DB03219	drugbank	11-Deoxy-Beta-Rhodomycin	"11 deoxy beta rhodomycin"
DB03220	drugbank	FR233623	"fr233623"
DB03221	drugbank	AL7099A	"al7099a"
DB03222	drugbank	2'-Deoxyadenosine 5'-Triphosphate	"2 deoxyadenosine 5 triphosphate"
DB03223	drugbank	Diphthamide	"diphthamide"
DB03224	drugbank	2-Formyl-Protoporphryn Ix	"2 formyl protoporphryn ix"
DB03225	drugbank	D-Tryptophan	"d tryptophan"
DB03226	drugbank	Trifluoroethanol	"trifluoroethanol"
DB03227	drugbank	Nicotinamide Mononucleotide	"nicotinamide mononucleotide"
DB03228	drugbank	5-[Bis-2(Chloro-Ethyl)-Amino]-2,4-Dintro-Benzamide	"5 bis 2 chloro ethyl amino 2 4 dintro benzamide"
DB03229	drugbank	2-Oxo-4-Methylpentanoic Acid	"2 oxo 4 methylpentanoic acid"
DB03230	drugbank	Adenosine-5'-Propylphosphate	"adenosine 5 propylphosphate"
DB03231	drugbank	3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-N-[2-(2-(Hydroxymethyl-Phenylsulfanyl)-Benzyl]-Benzamide	"3 5 amino 7 hydroxy 1 2 3 triazolo 4 5 d pyrimidin 2 yl n 2 2 hydroxymethyl phenylsulfanyl benzyl benzamide"
DB03232	drugbank	2-[(2e,6e,10e,14e,18e,22e,26e)-3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-Octaenyl]Phenol	"2 2e 6e 10e 14e 18e 22e 26e 3 7 11 15 19 23 27 31 octamethyldotriaconta 2 6 10 14 18 22 26 30 octaenyl phenol"
DB03233	drugbank	Phosphoric Acid Mono-[3-Amino-5-(5-Methyl-2,4-Dioxo-3,4-Dihydro-2h-Pyrimidin-1-Yl)-Tetrahydro-Furan-2-Ylmethyl] Ester	"phosphoric acid mono 3 amino 5 5 methyl 2 4 dioxo 3 4 dihydro 2h pyrimidin 1 yl tetrahydro furan 2 ylmethyl ester"
DB03234	drugbank	(4'-{[Allyl(Methyl)Amino]Methyl}-1,1'-Biphenyl-4-Yl)(4-Bromophenyl)Methanone	" 4 allyl methyl amino methyl 1 1 biphenyl 4 yl 4 bromophenyl methanone"
DB03235	drugbank	N-{3-[4-(3-Amino-Propyl)-Piperazin-1-Yl]-Propyl}-3-Nitro-5-(Galactopyranosyl)-Alpha-Benzamide	"n 3 4 3 amino propyl piperazin 1 yl propyl 3 nitro 5 galactopyranosyl alpha benzamide"
DB03236	drugbank	(2s)-4-(Beta-Alanylamino)-2-Aminobutanoic Acid	" 2s 4 beta alanylamino 2 aminobutanoic acid"
DB03237	drugbank	2,3-Dihydroxy-5-Oxo-Hexanedioate	"2 3 dihydroxy 5 oxo hexanedioate"
DB03238	drugbank	3,5-Difluoroaniline	"3 5 difluoroaniline"
DB03239	drugbank	3',5'-Dinitro-N-Acetyl-L-Thyronine	"3 5 dinitro n acetyl l thyronine"
DB03240	drugbank	(S)-2-Amino-3-(1,3,5,7-Pentahydro-2,4-Dioxo-Cyclopenta[E]Pyrimidin-1-Yl) Proionic Acid	" s 2 amino 3 1 3 5 7 pentahydro 2 4 dioxo cyclopenta e pyrimidin 1 yl proionic acid"
DB03241	drugbank	1-Amino-1-Carbonyl Pentane	"1 amino 1 carbonyl pentane"
DB03242	drugbank	P-Aminophenyl-Alpha-D-Galactopyranoside	"p aminophenyl alpha d galactopyranoside"
DB03243	drugbank	4-Fluorobenzylamine	"4 fluorobenzylamine"
DB03244	drugbank	(S)-2-[4-(Aminomethyl)-1h-1,2,3-Triazol-1-Yl]-4-Methylpentanoic Acid	" s 2 4 aminomethyl 1h 1 2 3 triazol 1 yl 4 methylpentanoic acid"
DB03245	drugbank	S-4-Nitrobutyryl-Coa	"s 4 nitrobutyryl coa"
DB03246	drugbank	Beta-L-Arabinose	"beta l arabinose"
DB03247	drugbank	Riboflavin Monophosphate	"riboflavin monophosphate"
DB03248	drugbank	2-(Phosphonooxy)Butanoic Acid	"2 phosphonooxy butanoic acid"
DB03249	drugbank	2'-O-Methyl-3'-Methyl-3'-Deoxy-Arabinofuranosyl-Thymine-5'-Phosphate	"2 o methyl 3 methyl 3 deoxy arabinofuranosyl thymine 5 phosphate"
DB03250	drugbank	2-(Beta-D-Glucopyranosyl)-5-Methyl-1,3,4-Benzothiazole	"2 beta d glucopyranosyl 5 methyl 1 3 4 benzothiazole"
DB03251	drugbank	RWJ-51084	"rwj 51084"
DB03252	drugbank	D-Lysine	"d lysine"
DB03253	drugbank	(2s)-Pyrrolidin-2-Ylmethylamine	" 2s pyrrolidin 2 ylmethylamine"
DB03254	drugbank	4-Phenyl-1h-Imidazole	"4 phenyl 1h imidazole"
DB03255	drugbank	Phenol	"phenol"
DB03256	drugbank	(6R)-Folinic acid	" 6r folinic acid"
DB03257	drugbank	5-[1-(Acetylamino)-3-Methylbutyl]-2,5-Anhydro-3,4-Dideoxy-4-(Methoxycarbonyl)Pentonic Acid	"5 1 acetylamino 3 methylbutyl 2 5 anhydro 3 4 dideoxy 4 methoxycarbonyl pentonic acid"
DB03258	drugbank	2'-Deoxycytidine-5'-Triphosphate	"2 deoxycytidine 5 triphosphate"
DB03259	drugbank	2',6'-Dichloro-Biphenyl-2,6-Diol	"2 6 dichloro biphenyl 2 6 diol"
DB03260	drugbank	1,6-Diaminohexane	"1 6 diaminohexane"
DB03262	drugbank	Al-6619, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Hydroxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]	"al 6619 2h thieno 3 2 e 1 2 thiazine 6 sulfonamide 2 3 hydroxyphenyl 3 4 morpholinyl 1 1 dioxide "
DB03263	drugbank	Thiocellobiose	"thiocellobiose"
DB03264	drugbank	Dodecyl-Coa	"dodecyl coa"
DB03266	drugbank	Pentanedial	"pentanedial"
DB03267	drugbank	1-Allyl-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine	"1 allyl 3 butyl 8 n acetyl 4 aminobenzyl xanthine"
DB03268	drugbank	RU82197	"ru82197"
DB03269	drugbank	4-Deoxy-4-((5-Hydroxymethyl-2,3,4-Trihydroxycyclohex-5,6-Enyl)Amino)Fructose	"4 deoxy 4 5 hydroxymethyl 2 3 4 trihydroxycyclohex 5 6 enyl amino fructose"
DB03270	drugbank	2,6-Difluorobenzenesulfonamide	"2 6 difluorobenzenesulfonamide"
DB03272	drugbank	4-Bromo-3-(5'-Carboxy-4'-Chloro-2'-Fluorophenyl)-1-Methyl-5-Trifluoromethyl-Pyrazol	"4 bromo 3 5 carboxy 4 chloro 2 fluorophenyl 1 methyl 5 trifluoromethyl pyrazol"
