code	termino	synonyme
DB05786	drugbank	MGI-114
DB05787	drugbank	LM-609
DB05789	drugbank	MX6
DB05790	drugbank	SR 140333
DB05791	drugbank	Perflubron emulsion
DB05792	drugbank	SR 31747
DB05793	drugbank	PRO-542
DB05794	drugbank	recombinant human relaxin
DB05795	drugbank	YKP-10A
DB05796	drugbank	SLV 306
DB05797	drugbank	TNX-901
DB05798	drugbank	GEM-231
DB05799	drugbank	NOX-100
DB05800	drugbank	beta alethine
DB05801	drugbank	GTI 2040
DB05802	drugbank	MLN-02
DB05803	drugbank	ISIS 14803
DB05804	drugbank	dehydroepiandrosterone sulfate
DB05805	drugbank	NS-2359
DB05806	drugbank	BNP 1350
DB05807	drugbank	HGTV-43
DB05808	drugbank	PI-88
DB05809	drugbank	TA-CIN
DB05810	drugbank	99mTc-glucarate
DB05811	drugbank	HSV-2 theracine
DB05812	drugbank	Abiraterone
DB05813	drugbank	autologous activated macrophage therapy
DB05814	drugbank	GPI-1485
DB05815	drugbank	GnRH pharmaccine
DB05816	drugbank	intranasal apomorphine
DB05817	drugbank	VNP 40101M
DB05818	drugbank	SGN-15
DB05819	drugbank	NBI-6024
DB05820	drugbank	DP-b99
DB05821	drugbank	DP-VPA
DB05822	drugbank	NCX 4016
DB05824	drugbank	CNS-5161
DB05825	drugbank	NCX 1015
DB05826	drugbank	Prolease-r-hFSH
DB05827	drugbank	G207
DB05828	drugbank	LU-31130
DB05829	drugbank	Parathyroid hormone
DB05830	drugbank	7a-methyl-19-nortestosterone
DB05831	drugbank	ING-1
DB05832	drugbank	PPI-1019
DB05833	drugbank	lymphotoxin beta receptor
DB05834	drugbank	OC-1012
DB05835	drugbank	NS-3728
DB05836	drugbank	AG-702
DB05837	drugbank	OSI-7836
DB05838	drugbank	OPC-51803
DB05839	drugbank	BG-777
DB05840	drugbank	AGI-1096
DB05841	drugbank	AI-128
DB05842	drugbank	AI-850
DB05843	drugbank	trans NV-04
DB05844	drugbank	MX-1094
DB05845	drugbank	NV-07a
DB05846	drugbank	Mito-4509
DB05847	drugbank	heat-activated liposome technology
DB05848	drugbank	humanized SMART Anti-IL-12 Antibody
DB05849	drugbank	NCX 950
DB05851	drugbank	Biomed 101
DB05852	drugbank	cryopreserved human liver cells
DB05854	drugbank	CLX-0921
DB05855	drugbank	Rivanicline
DB05856	drugbank	CPD 923
DB05857	drugbank	Q-Derp1
DB05858	drugbank	BI-K0376
DB05859	drugbank	PI-166
DB05860	drugbank	PEG-Infergen
DB05861	drugbank	Tasquinimod
DB05862	drugbank	ISV-403
DB05863	drugbank	TRX1
DB05864	drugbank	PPI-2458
DB05865	drugbank	VIT-100
DB05866	drugbank	ETC-1001
DB05867	drugbank	99mTc-14 F7 Mab
DB05868	drugbank	BILN 2061
DB05869	drugbank	CTI-01
DB05870	drugbank	anti-alpha5Beta1-integrin antibody
DB05871	drugbank	UC-781
DB05872	drugbank	PA mAb
DB05873	drugbank	AVI-4020
DB05874	drugbank	AEOL 10150
DB05875	drugbank	substance P
DB05876	drugbank	PDE4
DB05877	drugbank	PYY3-36
DB05879	drugbank	AME-527
DB05880	drugbank	MBT-0312
DB05881	drugbank	EHT 0202
DB05882	drugbank	CHF 4227
DB05883	drugbank	ABX-PTH
DB05884	drugbank	HCV-086
DB05885	drugbank	UCB 44212
DB05886	drugbank	NV-18
DB05887	drugbank	TAFA-93
DB05888	drugbank	MEM 1414
DB05889	drugbank	CMC-544
DB05890	drugbank	VEGF-AS
DB05891	drugbank	HD-O
DB05892	drugbank	RI 624
DB05894	drugbank	GT 389-255
DB05895	drugbank	HGS-TR2J
DB05896	drugbank	Sirna-027
DB05897	drugbank	rhIGFBP-3
DB05898	drugbank	CERE-110
DB05899	drugbank	IT-101
DB05900	drugbank	INSM-18
DB05901	drugbank	ABR-215757
DB05902	drugbank	dust mite allergen extracts
DB05903	drugbank	KOS-1584
DB05904	drugbank	BLX-883
DB05905	drugbank	TD-2749
DB05906	drugbank	CCR5 mAb
DB05907	drugbank	AL-108
DB05909	drugbank	cat hair allergenic extracts
DB05910	drugbank	ALS-357
DB05911	drugbank	RUS 3108
DB05912	drugbank	REN-850
DB05913	drugbank	OSI-930
DB05914	drugbank	mesenchymal stem cells
DB05915	drugbank	MYO-029
DB05916	drugbank	CT-011
DB05917	drugbank	EP-1572
DB05918	drugbank	LS11
DB05919	drugbank	DDP-200
DB05920	drugbank	RTA 744
DB05921	drugbank	CRA-024781
DB05922	drugbank	Hedgehog pathway inhibitor
DB05923	drugbank	ECO-4601
DB05924	drugbank	NLX-P101
DB05925	drugbank	alprazolam lingual spray
DB05926	drugbank	Actyve hormone therapy
DB05928	drugbank	CHIR-258
DB05929	drugbank	GPI-0100
DB05930	drugbank	SB-559448
DB06016	drugbank	Cariprazine
DB06038	drugbank	ITMN-191
DB06039	drugbank	PA-1050040
DB06042	drugbank	ZEN-012
DB06058	drugbank	XTL-6865
DB06060	drugbank	ADX-48621
DB06061	drugbank	AZD-8330
DB06062	drugbank	XOMA 052
DB06063	drugbank	CAM-2029
DB06064	drugbank	KAI-1455
DB06066	drugbank	ARD-07
DB06069	drugbank	XMT-1001
DB06070	drugbank	SNX-5422
DB06071	drugbank	DTS-201
DB06073	drugbank	CTS-21166
DB06077	drugbank	Lumateperone
DB06080	drugbank	ABT-869
DB06089	drugbank	ICA-105665
DB06090	drugbank	Bradanicline
DB06093	drugbank	ABT-560
DB06094	drugbank	OGX-427
DB06096	drugbank	NXN-188
DB06097	drugbank	GSK-923295
DB06098	drugbank	PRLX 93936
DB06101	drugbank	IMC-1C11
DB06103	drugbank	VX-148
DB06127	drugbank	KRP-104
DB06129	drugbank	SVV-001
DB06130	drugbank	FAV-201
DB06144	drugbank	Sertindole
DB06147	drugbank	Sulfathiazole
DB06148	drugbank	Mianserin
DB06149	drugbank	Teicoplanin
DB06150	drugbank	Sulfadimethoxine
DB06151	drugbank	Acetylcysteine
DB06155	drugbank	Rimonabant
DB06168	drugbank	Canakinumab
DB06176	drugbank	Romidepsin
DB06186	drugbank	Ipilimumab
DB06190	drugbank	Solabegron
DB06193	drugbank	Pixantrone
DB06196	drugbank	Icatibant
DB06201	drugbank	Rufinamide
DB06203	drugbank	Alogliptin
DB06204	drugbank	Tapentadol
DB06205	drugbank	Hyaluronidase (Human Recombinant)
DB06206	drugbank	Sugammadex
DB06207	drugbank	Silodosin
DB06209	drugbank	Prasugrel
DB06210	drugbank	Eltrombopag
DB06211	drugbank	Doripenem
DB06212	drugbank	Tolvaptan
DB06213	drugbank	Regadenoson
DB06216	drugbank	Asenapine
DB06218	drugbank	Lacosamide
DB06219	drugbank	Dalbavancin
DB06228	drugbank	Rivaroxaban
DB06237	drugbank	Avanafil
DB06243	drugbank	Eflornithine
DB06255	drugbank	Incadronic acid
DB06261	drugbank	Hexaminolevulinate
DB06262	drugbank	Droxidopa
DB06267	drugbank	Udenafil
DB06268	drugbank	Sitaxentan
DB06271	drugbank	Sulodexide
DB06273	drugbank	Tocilizumab
DB06274	drugbank	Alvimopan
DB06282	drugbank	Levocetirizine
DB06283	drugbank	Ziconotide
DB06285	drugbank	Teriparatide
DB06287	drugbank	Temsirolimus
DB06288	drugbank	Amisulpride
DB06290	drugbank	Simeprevir
DB06292	drugbank	Dapagliflozin
DB06317	drugbank	Elotuzumab
DB06335	drugbank	Saxagliptin
DB06366	drugbank	Pertuzumab
DB06372	drugbank	Rilonacept
DB06401	drugbank	Bazedoxifene
DB06402	drugbank	Telavancin
DB06403	drugbank	Ambrisentan
DB06404	drugbank	C1 Esterase Inhibitor (Human)
DB06410	drugbank	Doxercalciferol
DB06412	drugbank	Oxymetholone
DB06413	drugbank	Armodafinil
DB06414	drugbank	Etravirine
DB06415	drugbank	Calfactant
DB06419	drugbank	Cethromycin
DB06439	drugbank	Tyloxapol
DB06441	drugbank	Cangrelor
DB06480	drugbank	Prucalopride
DB06554	drugbank	Gaboxadol
DB06581	drugbank	Bevirimat
DB06589	drugbank	Pazopanib
DB06590	drugbank	Ceftaroline fosamil
DB06594	drugbank	Agomelatine
DB06603	drugbank	Panobinostat
DB06605	drugbank	Apixaban
DB06612	drugbank	Mepolizumab
DB06614	drugbank	Peramivir
DB06616	drugbank	Bosutinib
DB06623	drugbank	Flupirtine
DB06626	drugbank	Axitinib
DB06636	drugbank	Isavuconazonium
DB06637	drugbank	Dalfampridine
DB06643	drugbank	Denosumab
DB06650	drugbank	Ofatumumab
DB06655	drugbank	Liraglutide
DB06663	drugbank	Pasireotide
DB06674	drugbank	golimumab
DB06678	drugbank	Esmirtazapine
DB06681	drugbank	Belatacept
DB06684	drugbank	Vilazodone
DB06685	drugbank	Laquinimod
DB06688	drugbank	Sipuleucel-T
DB06689	drugbank	Ethanolamine Oleate
DB06690	drugbank	Nitrous oxide
DB06691	drugbank	Mepyramine
DB06692	drugbank	Aprotinin
DB06693	drugbank	Mevastatin
DB06694	drugbank	Xylometazoline
DB06695	drugbank	Dabigatran etexilate
DB06696	drugbank	Arbekacin
DB06697	drugbank	Artemether
DB06698	drugbank	Betahistine
DB06699	drugbank	Degarelix
DB06700	drugbank	Desvenlafaxine
DB06701	drugbank	Dexmethylphenidate
DB06702	drugbank	Fesoterodine
DB06703	drugbank	Gadobutrol
DB06704	drugbank	Iobenguane
DB06705	drugbank	Gadofosveset trisodium
DB06706	drugbank	Isometheptene
DB06707	drugbank	Levonordefrin
DB06708	drugbank	Lumefantrine
DB06709	drugbank	Methacholine
DB06710	drugbank	Methyltestosterone
DB06711	drugbank	Naphazoline
DB06712	drugbank	Nilvadipine
DB06713	drugbank	Norelgestromin
DB06714	drugbank	Propylhexedrine
DB06715	drugbank	Potassium Iodide
DB06716	drugbank	Fospropofol
DB06717	drugbank	Fosaprepitant
DB06718	drugbank	Stanozolol
DB06719	drugbank	Buserelin
DB06720	drugbank	Velaglucerase alfa
DB06723	drugbank	Aluminum hydroxide
DB06724	drugbank	Calcium carbonate
DB06725	drugbank	Lornoxicam
DB06726	drugbank	Bufuralol
DB06727	drugbank	Sparteine
DB06728	drugbank	Aniline
DB06729	drugbank	Sulfaphenazole
DB06730	drugbank	Gestodene
DB06731	drugbank	Seproxetine
DB06732	drugbank	beta-Naphthoflavone
DB06733	drugbank	Bafilomycin A1
DB06734	drugbank	Bafilomycin B1
DB06735	drugbank	Enclomiphene
DB06737	drugbank	Zaltoprofen
DB06738	drugbank	Ketobemidone
DB06741	drugbank	Gavestinel
DB06742	drugbank	Ambroxol
DB06743	drugbank	ginkgolide-A
DB06744	drugbank	ginkgolide-B
DB06745	drugbank	ginkgolide-C
DB06746	drugbank	ginkgolide-J
DB06747	drugbank	ginkgolide-M
DB06748	drugbank	Ginsenoside C
DB06749	drugbank	ginsenoside Rb1
DB06750	drugbank	Ginsenoside Rg1
DB06751	drugbank	Drotaverine
DB06756	drugbank	Glycine betaine
DB06757	drugbank	Manganese
DB06760	drugbank	Sacrosidase
DB06761	drugbank	Beractant
DB06764	drugbank	Tetryzoline
DB06766	drugbank	Alcaftadine
DB06767	drugbank	Ammonium chloride
DB06768	drugbank	Ammonium lactate
DB06769	drugbank	Bendamustine
DB06770	drugbank	Benzyl alcohol
DB06771	drugbank	Besifloxacin
DB06772	drugbank	Cabazitaxel
DB06773	drugbank	Human calcitonin
DB06774	drugbank	Capsaicin
DB06775	drugbank	Carglumic Acid
DB06777	drugbank	Chenodeoxycholic acid
DB06779	drugbank	Dalteparin
DB06781	drugbank	Difluprednate
DB06782	drugbank	Dimercaprol
DB06783	drugbank	Prussian blue
DB06785	drugbank	Ganirelix
DB06786	drugbank	Halcinonide
DB06787	drugbank	Hexocyclium
DB06788	drugbank	Histrelin
DB06789	drugbank	Hydroxyprogesterone caproate
DB06790	drugbank	Iron sucrose
DB06791	drugbank	Lanreotide
DB06792	drugbank	Lanthanum carbonate
DB06793	drugbank	Levopropoxyphene
DB06794	drugbank	Lodoxamide
DB06795	drugbank	Mafenide
DB06796	drugbank	Mangafodipir
DB06799	drugbank	Hexamethylenetetramine
DB06800	drugbank	Methylnaltrexone
DB06802	drugbank	Nepafenac
DB06803	drugbank	Niclosamide
DB06804	drugbank	Nonoxynol-9
DB06809	drugbank	Plerixafor
DB06810	drugbank	Plicamycin
DB06811	drugbank	Polidocanol
DB06812	drugbank	Povidone-iodine
DB06813	drugbank	Pralatrexate
DB06816	drugbank	Pyrvinium
DB06817	drugbank	Raltegravir
DB06819	drugbank	Sodium phenylbutyrate
DB06820	drugbank	Sulconazole
DB06822	drugbank	Tinzaparin
DB06823	drugbank	Tiopronin
DB06824	drugbank	Triethylenetetramine
DB06825	drugbank	Triptorelin
DB06826	drugbank	Unoprostone
DB06827	drugbank	Viomycin
DB06828	drugbank	5-[2-(1H-pyrrol-1-yl)ethoxy]-1H-indole
DB06829	drugbank	4-BROMO-3-(CARBOXYMETHOXY)-5-[3-(CYCLOHEXYLAMINO)PHENYL]THIOPHENE-2-CARBOXYLIC ACID
DB06830	drugbank	(1-HYDROXYHEPTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)
DB06831	drugbank	2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4(3H)-ONE
DB06832	drugbank	2-(3-FLUORO-4-HYDROXYPHENYL)-7-VINYL-1,3-BENZOXAZOL-5-OL
DB06833	drugbank	1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE
DB06834	drugbank	N-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1H-pyrrolo[2,3-b]pyridin-2-yl)-1H-indole-5-carboxamide
DB06835	drugbank	(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-{(S)-HYDROXY[(1R)-2-METHYL-1-{[(2-PHENYLETHYL)SULFONYL]AMINO}PROPYL]PHOSPHORYL}PROPANOIC ACID
DB06836	drugbank	N-(5-(4-CHLORO-3-(2-HYDROXY-ETHYLSULFAMOYL)- PHENYLTHIAZOLE-2-YL)-ACETAMIDE
DB06837	drugbank	(2R)-N~4~-hydroxy-2-(3-hydroxybenzyl)-N~1~-[(1S,2R)-2-hydroxy-2,3-dihydro-1H-inden-1-yl]butanediamide
DB06838	drugbank	methyl L-phenylalaninate
DB06839	drugbank	N-(ethoxycarbonyl)-L-leucine
DB06840	drugbank	diethyl [(1R)-1,5-diaminopentyl]boronate
DB06841	drugbank	D-phenylalanyl-N-[(1S)-4-{[amino(iminio)methyl]amino}-1-(chloroacetyl)butyl]-L-prolinamide
DB06842	drugbank	(4R)-4-(3-butoxy-4-methoxybenzyl)imidazolidin-2-one
DB06843	drugbank	2',5'-DIDEOXY-ADENOSINE 3'-MONOPHOSPHATE
DB06844	drugbank	4-[(7-OXO-7H-THIAZOLO[5,4-E]INDOL-8-YLMETHYL)-AMINO]-N-PYRIDIN-2-YL-BENZENESULFONAMIDE
DB06845	drugbank	(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclopentylamino)ethanoyl)pyrrolidine-2-carboxamide
DB06846	drugbank	7-[3-(4-FLUORO-PHENYL)-1-ISOPROPYL-1H-INDOL-2-YL]-3,5-DIHYDROXY-HEPTANOIC ACID
DB06847	drugbank	5-[(3S)-3-(2-methoxybiphenyl-4-yl)but-1-yn-1-yl]-6-methylpyrimidine-2,4-diamine
DB06848	drugbank	1-(1'-{[3-(methylsulfanyl)-2-benzothiophen-1-yl]carbonyl}spiro[1-benzofuran-3,4'-piperidin]-5-yl)methanamine
DB06849	drugbank	1-[1'-(3-phenylacryloyl)spiro[1-benzofuran-3,4'-piperidin]-5-yl]methanamine
DB06850	drugbank	(S)-N-(4-carbamimidoylbenzyl)-1-(2-(cyclohexylamino)ethanoyl)pyrrolidine-2-carboxamide
DB06851	drugbank	N-(pyridin-3-ylmethyl)aniline
DB06852	drugbank	4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE
DB06853	drugbank	N-cycloheptylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide
DB06854	drugbank	2-(2-HYDROXY-BIPHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
DB06855	drugbank	6-FLUORO-2-(2-HYDROXY-3-ISOBUTOXY-PHENYL)-1H-BENZOIMIDAZOLE-5-CARBOXAMIDINE
DB06856	drugbank	6-FLUORO-2-[2-HYDROXY-3-(2-METHYL-CYCLOHEXYLOXY)-PHENYL]-1H-INDOLE-5-CARBOXAMIDINE
DB06857	drugbank	N-(4-CARBAMIMIDOYL-3-CHORO-PHENYL)-2-HYDROXY-3-IODO-5-METHYL-BENZAMIDE
DB06858	drugbank	N-cyclooctylglycyl-N-(4-carbamimidoylbenzyl)-L-prolinamide
DB06859	drugbank	N-ALLYL-5-AMIDINOAMINOOXY-PROPYLOXY-3-CHLORO-N-CYCLOPENTYLBENZAMIDE
DB06860	drugbank	2-(2-chloropyridin-4-yl)-4-methyl-1H-isoindole-1,3(2H)-dione
DB06861	drugbank	6-(2-HYDROXY-CYCLOPENTYL)-7-OXO-HEPTANAMIDINE
DB06862	drugbank	2-HYDROXY-5-(2-MERCAPTO-ETHYLSULFAMOYL)-BENZOIC ACID
DB06864	drugbank	2-(3-CARBOXYPROPIONYL)-6-HYDROXY-CYCLOHEXA-2,4-DIENE CARBOXYLIC ACID
DB06865	drugbank	6-CARBAMIMIDOYL-2-[2-HYDROXY-6-(4-HYDROXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID
DB06866	drugbank	6-CARBAMIMIDOYL-2-[2-HYDROXY-5-(3-METHOXY-PHENYL)-INDAN-1-YL]-HEXANOIC ACID
DB06867	drugbank	3,6,9,12,15,18-HEXAOXAICOSANE
DB06868	drugbank	N-(3-chlorobenzyl)-1-(4-methylpentanoyl)-L-prolinamide
DB06869	drugbank	1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE
DB06870	drugbank	17-HYDROXY-18A-HOMO-19-NOR-17ALPHA-PREGNA-4,9,11-TRIEN-3-ONE
DB06871	drugbank	17-METHYL-17-ALPHA-DIHYDROEQUILENIN
DB06872	drugbank	1-((2-HYDROXYETHOXY)METHYL)-5-(PHENYLTHIO)PYRIMIDINE-2,4(1H,3H)-DIONE
DB06873	drugbank	1-((2-HYDROXYETHOXY)METHYL)-5-(3-(BENZYLOXY)BENZYL)PYRIMIDINE-2,4(1H,3H)-DIONE
DB06874	drugbank	(6-[4-(AMINOMETHYL)-2,6-DIMETHYLPHENOXY]-2-{[4-(AMINOMETHYL)PHENYL]AMINO}-5-BROMOPYRIMIDIN-4-YL)METHANOL
DB06875	drugbank	3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE
DB06876	drugbank	N-{5-[4-(4-METHYLPIPERAZIN-1-YL)PHENYL]-1H-PYRROLO[2,3-B]PYRIDIN-3-YL}NICOTINAMIDE
DB06877	drugbank	N,N-DIMETHYL-4-(4-PHENYL-1H-PYRAZOL-3-YL)-1H-PYRROLE-2-CARBOXAMIDE
DB06878	drugbank	1-[(2R)-2-aminobutanoyl]-N-(3-chlorobenzyl)-L-prolinamide
DB06879	drugbank	5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE
DB06880	drugbank	(1S)-2-[(2S,5R)-2-(AMINOMETHYL)-5-PROP-1-YN-1-YLPYRROLIDIN-1-YL]-1-CYCLOPENTYL-2-OXOETHANAMINE
DB06881	drugbank	(1Z)-2-HYDROXY-3-OXOHEX-1-EN-1-YL DIHYDROGEN PHOSPHATE
DB06882	drugbank	1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-naphthalen-1-ylurea
DB06883	drugbank	1-[1-(3-aminophenyl)-3-tert-butyl-1H-pyrazol-5-yl]-3-phenylurea
DB06884	drugbank	4-HYDROXY-N'-(4-ISOPROPYLBENZYL)BENZOHYDRAZIDE
DB06885	drugbank	3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid
DB06886	drugbank	N-BENZYLOXYCARBONYL-ALA-PRO-3-AMINO-4-PHENYL-BUTAN-2-OL
DB06887	drugbank	3(S)-METHYLCARBAMOYL-7-SULFOAMINO-3,4-DIHYDRO-1H-ISOQUINOLINE-2-CARBOXYLIC ACID TERT-BUTYL ESTER
DB06888	drugbank	(13R,15S)-13-METHYL-16-OXA-8,9,12,22,24-PENTAAZAHEXACYCLO[15.6.2.16,9.1,12,15.0,2,7.0,21,25]HEPTACOSA-1(24),2,4,6,17(25),18,20-HEPTAENE-23,26-DIONE
DB06889	drugbank	3-(1H-tetrazol-5-ylmethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one
DB06890	drugbank	(2R)-2-PHENYL-N-PYRIDIN-4-YLBUTANAMIDE
DB06891	drugbank	5-{[(4-AMINO-3-CHLORO-5-FLUOROPHENYL)SULFONYL]AMINO}-1,3,4-THIADIAZOLE-2-SULFONAMIDE
DB06892	drugbank	(5S)-4,5-difluoro-6-[(2-fluoro-4-iodophenyl)imino]-N-(2-hydroxyethoxy)cyclohexa-1,3-diene-1-carboxamide
DB06893	drugbank	1-DECANE-SULFONIC-ACID
DB06894	drugbank	1-DODECANOL
DB06896	drugbank	1-(4-fluorophenyl)-N-[3-fluoro-4-(1H-pyrrolo[2,3-b]pyridin-4-yloxy)phenyl]-2-oxo-1,2-dihydropyridine-3-carboxamide
DB06897	drugbank	3-[3-chloro-5-(5-{[(1S)-1-phenylethyl]amino}isoxazolo[5,4-c]pyridin-3-yl)phenyl]propan-1-ol
DB06898	drugbank	4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol
DB06899	drugbank	N-{2-[6-(2,4-DIAMINO-6-ETHYLPYRIMIDIN-5-YL)-2,2-DIMETHYL-3-OXO-2,3-DIHYDRO-4H-1,4-BENZOTHIAZIN-4-YL]ETHYL}ACETAMIDE
DB06900	drugbank	1-[4-(hydroxymethyl)phenyl]guanidine
DB06901	drugbank	2-(2-HYDROXY-CYCLOPENTYL)-PENT-4-ENAL
DB06902	drugbank	4-(1-methyl-1-phenylethyl)phenol
DB06903	drugbank	(1S,3aS,5aR,8aS)-1,7,7-trimethyl-1,2,3,3a,5a,6,7,8-octahydrocyclopenta[c]pentalene-4-carboxylic acid
DB06904	drugbank	(5S,6S)-6-[(R)ACETOXYETH-2-YL]-PENEM-3-CARBOXYLATEPROPANE
DB06905	drugbank	(2S,3S,4E,6E,8S,9S)-3-amino-9-methoxy-2,6,8-trimethyl-10-phenyldeca-4,6-dienoic acid
DB06906	drugbank	2-AMINO-4-HYDROXYPYRIMIDINE-5-CARBOXYLIC ACID ETHYL ESTER
DB06907	drugbank	2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID
DB06908	drugbank	(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID
DB06909	drugbank	1-ethyl-N-(phenylmethyl)-4-(tetrahydro-2H-pyran-4-ylamino)-1H-pyrazolo[3,4-b]pyridine-5-carboxamide
DB06910	drugbank	[4-R-(4-ALPHA,6-BETA,7-BETA]-HEXAHYDRO-5,6-DI(HYDROXY)-1,3-DI(ALLYL)-4,7-BISPHENYLMETHYL)-2H-1,3-DIAZEPINONE
DB06911	drugbank	D-leucyl-N-(3-chlorobenzyl)-L-prolinamide
DB06912	drugbank	UNDECA-3,7-DIENE-1,3,7,11-TETRACARBALDEHYDE
DB06913	drugbank	(2R,3R)-3-{[3,5-BIS(TRIFLUOROMETHYL)PHENYL]AMINO}-2-CYANO-3-THIOXOPROPANAMIDE
DB06914	drugbank	1-({2-[2-(4-CHLOROPHENYL)ETHYL]-1,3-DIOXOLAN-2-YL}METHYL)-1H-IMIDAZOLE
DB06915	drugbank	naphthalene-1,2,4,5,7-pentol
DB06916	drugbank	N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE
DB06917	drugbank	(4-fluorophenyl)(pyridin-4-yl)methanone
DB06918	drugbank	2-(2-METHYLPHENYL)-1H-INDOLE-6-CARBOXIMIDAMIDE
DB06919	drugbank	D-phenylalanyl-N-(3-chlorobenzyl)-L-prolinamide
DB06920	drugbank	(2R,4R)-N~1~-(4-CHLOROPHENYL)-N~2~-[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]-4-METHOXYPYRROLIDINE-1,2-DICARBOXAMIDE
DB06921	drugbank	(2S)-2-[3-(AMINOMETHYL)PHENYL]-3-[(R)-HYDROXY{(1R)-2-METHYL-1-[(PHENYLSULFONYL)AMINO]PROPYL}PHOSPHORYL]PROPANOIC ACID
DB06922	drugbank	2-[(1R)-1-carboxy-2-naphthalen-1-ylethyl]-1,3-dioxo-2,3-dihydro-1H-isoindole-5-carboxylic acid
DB06923	drugbank	2-(3-METHYLPHENYL)-1H-INDOLE-5-CARBOXIMIDAMIDE
DB06924	drugbank	(2R)-2-benzyl-3-nitropropanoic acid
DB06925	drugbank	3-(2-AMINOQUINAZOLIN-6-YL)-4-METHYL-N-[3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE
DB06926	drugbank	(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid
DB06927	drugbank	[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE
DB06928	drugbank	(2S)-2-{[HYDROXY(4-IODOBENZYL)PHOSPHORYL]METHYL}PENTANEDIOIC ACID
DB06929	drugbank	1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide
DB06930	drugbank	N-[amino(imino)methyl]-2-(2,5-diphenyl-1H-pyrrol-1-yl)acetamide
DB06931	drugbank	(1-HYDROXYNONANE-1,1-DIYL)BIS(PHOSPHONIC ACID)
DB06932	drugbank	10,11-dimethoxy-4-methyldibenzo[c,f]-2,7-naphthyridine-3,6-diamine
DB06933	drugbank	N-(tert-butyl)-4-[5-(pyridin-2-ylamino)quinolin-3-yl]benzenesulfonamide
DB06934	drugbank	(1R)-3-chloro-1-phenylpropan-1-ol
DB06935	drugbank	2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID
DB06936	drugbank	N-(4-carbamimidoylbenzyl)-1-(4-methylpentanoyl)-L-prolinamide
DB06937	drugbank	4-(6-HYDROXY-BENZO[D]ISOXAZOL-3-YL)BENZENE-1,3-DIOL
DB06938	drugbank	4-[[2-[[4-chloro-3-(trifluoromethyl)phenyl]amino]-3H-benzimidazol-5-yl]oxy]-N-methyl-pyridine-2-carboxamide
DB06939	drugbank	N-(TRANS-4-{(1S,2S)-2-AMINO-3-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-1-METHYL-3-OXOPROPYL}CYCLOHEXYL)-N-METHYLACETAMIDE
DB06940	drugbank	N-ethyl-4-{[5-(methoxycarbamoyl)-2-methylphenyl]amino}-5-methylpyrrolo[2,1-f][1,2,4]triazine-6-carboxamide
DB06941	drugbank	(Z)-2-[2-(4-methylpiperazin-1-yl)benzyl]diazenecarbothioamide
DB06942	drugbank	N-(4-carbamimidoylbenzyl)-1-(3-phenylpropanoyl)-L-prolinamide
